,,,,,,Gemeentenaam,LON(east),LAT(north)
Gemeente De Bilt,,De Bilt,Gemeente,,03/06/2022,BILTHOVEN,52.122,5.197
Gemeente De Fryske Marren,,De Fryske Marren,Gemeente,01/07/2015,10/05/2022,JOURE,52.97,5.79
Gemeente De Ronde Venen,,De Ronde Venen,Gemeente,01/01/1989,16/06/2022,MIJDRECHT,52.207,4.867
Gemeente De Wolden,,De Wolden,Gemeente,01/01/1998,01/06/2022,ZUIDWOLDE DR,52.675,6.431
Gemeente Delft,,Delft,Gemeente,,20/04/2022,DELFT,52.007,4.356
Gemeente Den Haag,,Den Haag,Gemeente,,21/05/2022,'S-GRAVENHAGE,52.078,4.317
Gemeente Den Helder,,Den Helder,Gemeente,,18/05/2022,DEN HELDER,52.937,4.753
Gemeente Deurne,,Deurne,Gemeente,01/01/1926,18/05/2022,DEURNE,51.464,5.795
Gemeente Deventer,,Deventer,Gemeente,,11/05/2022,DEVENTER,52.252,6.157
Gemeente Diemen,,Diemen,Gemeente,,16/06/2022,DIEMEN,52.342,4.965
Gemeente Dijk en Waard,,Dijk en Waard,Gemeente,01/01/2022,02/06/2022,,,
Gemeente Dinkelland,,Dinkelland,Gemeente,01/06/2002,19/04/2022,DENEKAMP,52.374,7.005
Gemeente Doesburg,,Doesburg,Gemeente,,26/05/2022,DOESBURG,52.015,6.134
Gemeente Doetinchem,,Doetinchem,Gemeente,01/01/1920,11/06/2022,DOETINCHEM,51.963,6.292
Gemeente Dongen,,Dongen,Gemeente,,05/05/2022,DONGEN,51.63,4.937
Gemeente Dordrecht,,Dordrecht,Gemeente,,12/05/2022,DORDRECHT,51.812,4.661
Gemeente Drechterland,,Drechterland,Gemeente,01/01/1980,19/04/2022,HOOGKARSPEL,52.695,5.178
Gemeente Drimmelen,,Drimmelen,Gemeente,25/04/1998,25/05/2022,MADE,51.677,4.795
Gemeente Dronten,,Dronten,Gemeente,,14/06/2022,DRONTEN,52.524,5.717
Gemeente Druten,,Druten,Gemeente,,15/06/2022,DRUTEN,51.889,5.605
Gemeente Duiven,,Duiven,Gemeente,,16/06/2022,DUIVEN,51.949,6.025
Gemeente Echt-Susteren,,Echt-Susteren,Gemeente,01/01/2003,05/05/2022,ECHT,51.103,5.872
Gemeente Edam-Volendam,,Edam-Volendam,Gemeente,01/01/1975,27/04/2022,VOLENDAM,52.501,5.054
Gemeente Ede,,Ede,Gemeente,,02/06/2022,EDE GLD,52.046,5.675
Gemeente Eemnes,,Eemnes,Gemeente,,24/05/2022,EEMNES,52.247,5.252
Gemeente Eemsdelta,,Eemsdelta,Gemeente,01/01/2021,20/04/2022,APPINGEDAM,,
Gemeente Eersel,,Eersel,Gemeente,,30/04/2022,EERSEL,51.357,5.312
Gemeente Eijsden-Margraten,,Eijsden-Margraten,Gemeente,01/01/2011,19/04/2022,MARGRATEN,50.821,5.823
Gemeente Eindhoven,,Eindhoven,Gemeente,,17/06/2022,EINDHOVEN,51.436,5.481
Gemeente Elburg,,Elburg,Gemeente,,18/05/2022,ELBURG,52.442,5.855
Gemeente Emmen,,Emmen,Gemeente,,17/06/2022,EMMEN,52.785,6.892
Gemeente Enkhuizen,,Enkhuizen,Gemeente,,15/06/2022,ENKHUIZEN,52.704,5.296
Gemeente Enschede,,Enschede,Gemeente,,09/06/2022,ENSCHEDE,52.223,6.892
Gemeente Epe,,Epe,Gemeente,,16/06/2022,EPE,52.349,5.986
Gemeente Ermelo,,Ermelo,Gemeente,,02/06/2022,ERMELO,52.301,5.618
Gemeente Etten-Leur,,Etten-Leur,Gemeente,01/01/1968,25/05/2022,ETTEN-LEUR,51.569,4.634
Gemeente Geertruidenberg,,Geertruidenberg,Gemeente,,27/04/2022,RAAMSDONKSVEER,51.695,4.873
Gemeente Geldrop-Mierlo,,Geldrop-Mierlo,Gemeente,01/01/2004,19/04/2022,GELDROP,51.424,5.561
Gemeente Gemert-Bakel,,Gemert-Bakel,Gemeente,01/01/1997,14/06/2022,GEMERT,51.554,5.683
Gemeente Gennep,,Gennep,Gemeente,,08/06/2022,GENNEP,51.702,5.968
Gemeente Gilze en Rijen,,Gilze en Rijen,Gemeente,,31/05/2022,RIJEN,51.59,4.912
Gemeente Goeree-Overflakkee,,Goeree-Overflakkee,Gemeente,01/01/2013,10/06/2022,MIDDELHARNIS,51.755,4.161
Gemeente Goes,,Goes,Gemeente,,19/04/2022,GOES,51.499,3.886
