,,,,,,Gemeentenaam,LON(east),LAT(north)
Gemeente Someren,,Someren,Gemeente,,19/05/2022,SOMEREN,51.386,5.714
Gemeente Son en Breugel,,Son en Breugel,Gemeente,,30/04/2022,SON EN BREUGEL,51.511,5.491
Gemeente Stadskanaal,,Stadskanaal,Gemeente,01/01/1969,19/04/2022,STADSKANAAL,52.99,6.955
Gemeente Staphorst,,Staphorst,Gemeente,,15/06/2022,STAPHORST,52.644,6.211
Gemeente Stede Broec,,Stede Broec,Gemeente,01/01/1979,20/05/2022,BOVENKARSPEL,52.696,5.235
Gemeente Steenbergen,,Steenbergen,Gemeente,,10/06/2022,STEENBERGEN NB,51.591,4.315
Gemeente Steenwijkerland,,Steenwijkerland,Gemeente,01/01/2003,22/04/2022,STEENWIJK,52.783,6.117
Gemeente Stein,,Stein,Gemeente,,15/06/2022,STEIN LB,50.968,5.777
Gemeente Stichtse Vecht,,Stichtse Vecht,Gemeente,01/01/2011,23/04/2022,MAARSSEN,52.145,5.033
Gemeente Súdwest-Fryslân,,Súdwest-Fryslân,Gemeente,01/01/2011,03/06/2022,SNEEK,53.033,5.659
Gemeente Terneuzen,,Terneuzen,Gemeente,,18/05/2022,TERNEUZEN,51.338,3.83
Gemeente Terschelling,,Terschelling,Gemeente,,04/05/2022,WEST-TERSCHELLING,53.364,5.217
Gemeente Texel,,Texel,Gemeente,,15/06/2022,DEN BURG,53.051,4.803
Gemeente Teylingen,,Teylingen,Gemeente,01/01/2006,19/04/2022,SASSENHEIM,52.227,4.519
Gemeente Tholen,,Tholen,Gemeente,,31/05/2022,THOLEN,51.532,4.205
Gemeente Tiel,,Tiel,Gemeente,,02/06/2022,TIEL,51.886,5.434
Gemeente Tilburg,,Tilburg,Gemeente,,10/06/2022,TILBURG,51.561,5.078
Gemeente Tubbergen,,Tubbergen,Gemeente,,14/05/2022,TUBBERGEN,52.408,6.781
Gemeente Twenterand,,Twenterand,Gemeente,01/06/2002,26/04/2022,VRIEZENVEEN,52.409,6.625
Gemeente Tynaarlo,,Tynaarlo,Gemeente,01/12/1999,25/05/2022,VRIES,53.079,6.583
Gemeente Tytsjerksteradiel,,Tytsjerksteradiel,Gemeente,01/01/1989,20/04/2022,BURGUM,53.189,5.99
Gemeente Uitgeest,,Uitgeest,Gemeente,,03/06/2022,UITGEEST,52.528,4.713
Gemeente Uithoorn,,Uithoorn,Gemeente,,04/05/2022,UITHOORN,52.233,4.827
Gemeente Urk,,Urk,Gemeente,,19/05/2022,URK,52.664,5.602
Gemeente Utrecht,,Utrecht,Gemeente,,17/06/2022,UTRECHT,52.09,5.108
Gemeente Utrechtse Heuvelrug,,Utrechtse Heuvelrug,Gemeente,01/01/2006,15/06/2022,DOORN,52.033,5.344
Gemeente Vaals,,Vaals,Gemeente,,15/06/2022,VAALS,50.771,6.019
Gemeente Valkenburg aan de Geul,,Valkenburg aan de Geul,Gemeente,01/01/1982,26/04/2022,VALKENBURG LB,50.868,5.832
Gemeente Valkenswaard,,Valkenswaard,Gemeente,,20/05/2022,VALKENSWAARD,51.35,5.461
Gemeente Veendam,,Veendam,Gemeente,,31/05/2022,VEENDAM,53.104,6.878
Gemeente Veenendaal,,Veenendaal,Gemeente,,17/06/2022,VEENENDAAL,52.024,5.558
Gemeente Veere,,Veere,Gemeente,,21/05/2022,DOMBURG,51.56,3.501
Gemeente Veldhoven,,Veldhoven,Gemeente,01/01/1921,10/05/2022,VELDHOVEN,51.421,5.405
Gemeente Velsen,,Velsen,Gemeente,,27/04/2022,IJMUIDEN,52.461,4.624
Gemeente Venlo,,Venlo,Gemeente,,06/04/2022,VENLO,51.367,6.164
Gemeente Venray,,Venray,Gemeente,,19/04/2022,VENRAY,51.529,5.976
Gemeente Vijfheerenlanden,,Vijfheerenlanden,Gemeente,01/01/2019,16/06/2022,LEERDAM,,
Gemeente Vlaardingen,,Vlaardingen,Gemeente,,30/04/2022,VLAARDINGEN,51.908,4.341
Gemeente Vlieland,,Vlieland,Gemeente,,04/05/2022,VLIELAND,53.295,5.066
Gemeente Vlissingen,,Vlissingen,Gemeente,,01/06/2022,VLISSINGEN,51.448,3.569
Gemeente Voerendaal,,Voerendaal,Gemeente,,04/05/2022,VOERENDAAL,50.879,5.93
Gemeente Voorschoten,,Voorschoten,Gemeente,,23/04/2022,VOORSCHOTEN,52.127,4.449
Gemeente Voorst,,Voorst,Gemeente,,27/04/2022,TWELLO,52.237,6.11
Gemeente Vught,,Vught,Gemeente,,19/04/2022,VUGHT,51.657,5.299
Gemeente Waadhoeke,,Waadhoeke,Gemeente,01/01/2018,17/06/2022,FRANEKER,53.185,5.532
Gemeente Waalre,,Waalre,Gemeente,,12/05/2022,WAALRE,51.392,5.461
Gemeente Waalwijk,,Waalwijk,Gemeente,,02/06/2022,WAALWIJK,51.692,5.066
Gemeente Waddinxveen,,Waddinxveen,Gemeente,,02/06/2022,WADDINXVEEN,52.044,4.655
Gemeente Wageningen,,Wageningen,Gemeente,,04/05/2022,WAGENINGEN,51.964,5.663
Gemeente Wassenaar,,Wassenaar,Gemeente,,26/04/2022,WASSENAAR,52.146,4.399
Gemeente Waterland,,Waterland,Gemeente,01/01/1991,19/04/2022,MONNICKENDAM,52.454,5.037
Gemeente Weert,,Weert,Gemeente,,27/04/2022,WEERT,51.251,5.704
Gemeente West Betuwe,,West Betuwe,Gemeente,01/01/2019,18/05/2022,GELDERMALSEN,51.882,5.282
Gemeente West Maas en Waal,,West Maas en Waal,Gemeente,01/07/1985,17/05/2022,BENEDEN-LEEUWEN,51.884,5.517
Gemeente Westerkwartier,,Westerkwartier,Gemeente,01/01/2019,03/05/2022,ZUIDHORN,,
Gemeente Westerveld,,Westerveld,Gemeente,01/01/1998,27/04/2022,DIEVER,52.859,6.31
Gemeente Westervoort,,Westervoort,Gemeente,,31/05/2022,WESTERVOORT,51.963,5.968
Gemeente Westerwolde,,Westerwolde,Gemeente,01/01/2018,20/05/2022,SELLINGEN,53.069,7.071
Gemeente Westland,,Westland,Gemeente,01/01/2004,31/05/2022,NAALDWIJK,51.994,4.211
Gemeente Weststellingwerf,,Weststellingwerf,Gemeente,,08/06/2022,WOLVEGA,52.876,6.006
Gemeente Westvoorne,,Westvoorne,Gemeente,01/01/1980,26/04/2022,ROCKANJE,51.874,4.064
Gemeente Wierden,,Wierden,Gemeente,,19/04/2022,WIERDEN,52.356,6.593
Gemeente Wijchen,,Wijchen,Gemeente,,29/04/2022,WIJCHEN,51.808,5.731
Gemeente Wijdemeren,,Wijdemeren,Gemeente,01/01/2002,08/06/2022,LOOSDRECHT,52.208,5.141
Gemeente Wijk bij Duurstede,,Wijk bij Duurstede,Gemeente,,23/04/2022,WIJK BIJ DUURSTEDE,51.975,5.341
Gemeente Winterswijk,,Winterswijk,Gemeente,,19/04/2022,WINTERSWIJK,51.969,6.715
Gemeente Woensdrecht,,Woensdrecht,Gemeente,,03/05/2022,HOOGERHEIDE,51.423,4.326
Gemeente Woerden,,Woerden,Gemeente,,13/05/2022,WOERDEN,52.079,4.889
Gemeente Wormerland,,Wormerland,Gemeente,01/01/1991,19/04/2022,WORMER,52.49,4.809
Gemeente Woudenberg,,Woudenberg,Gemeente,,03/06/2022,WOUDENBERG,52.081,5.415
Gemeente Zaanstad,,Zaanstad,Gemeente,01/01/1974,17/06/2022,ZAANDAM,52.438,4.815
Gemeente Zaltbommel,,Zaltbommel,Gemeente,,17/06/2022,ZALTBOMMEL,51.799,5.257
Gemeente Zandvoort,,Zandvoort,Gemeente,,12/04/2022,ZANDVOORT,52.373,4.529
Gemeente Zeewolde,,Zeewolde,Gemeente,01/01/1984,20/04/2022,ZEEWOLDE,52.332,5.545
Gemeente Zeist,,Zeist,Gemeente,,19/04/2022,ZEIST,52.082,5.239
Gemeente Zevenaar,,Zevenaar,Gemeente,,19/04/2022,ZEVENAAR,51.924,6.075
Gemeente Zoetermeer,,Zoetermeer,Gemeente,,14/06/2022,ZOETERMEER,52.061,4.493
Gemeente Zoeterwoude,,Zoeterwoude,Gemeente,,17/05/2022,ZOETERWOUDE,52.125,4.498
Gemeente Zuidplas,,Zuidplas,Gemeente,01/01/2010,10/06/2022,NIEUWERKERK AD IJSSEL,51.968,4.617
Gemeente Zundert,,Zundert,Gemeente,,17/06/2022,ZUNDERT,51.473,4.664
Gemeente Zutphen,,Zutphen,Gemeente,,19/04/2022,ZUTPHEN,52.14,6.195
Gemeente Zwartewaterland,,Zwartewaterland,Gemeente,01/01/2001,17/05/2022,HASSELT,52.592,6.096
Gemeente Zwijndrecht,,Zwijndrecht,Gemeente,,19/05/2022,ZWIJNDRECHT,51.818,4.647
Gemeente Zwolle,,Zwolle,Gemeente,,15/06/2022,ZWOLLE,52.503,6.091
