Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam,GemiddeldAardgasverbruik,GemiddeldElektriciteitsverbruik,Unnamed: 0,distance,WeerStation,pctzon_gemiddeld,FG_gemiddeld,Inwoneraantal,"Groot, middelgroot en klein",Kleur,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
209,BEUNINGEN,25,GELDERLAND,388730.0,900110.0,1974.0,22.819342387441893,VOLKEL,37.2,3.7,,,NO DATA,4773.0,17721.0
375,BEVERWIJK,27,NOORD-HOLLAND,407010.0,917000.0,3919.0,21.053338192488454,SCHIPHOL,37.7,5.0,41077.0,Klein,NO DATA,6150.0,18838.0
310,DE BILT,26,UTRECHT,423390.0,807570.0,3124.0,4.206464693369935,DE BILT,36.4,3.6,42846.0,Klein,NO DATA,4663.0,15417.0
1728,BLADEL,30,NOORD-BRABANT,178240.0,414740.0,10537.0,12.226618041940055,EINDHOVEN,36.9,3.8,,,ROOD,3482.0,15051.0
376,BLARICUM,27,NOORD-HOLLAND,76480.0,167630.0,3930.0,21.11666802108689,DE BILT,36.4,3.6,,,NO DATA,1269.0,4599.0
377,BLOEMENDAAL,27,NOORD-HOLLAND,392880.0,685130.0,3971.0,14.31652751711163,SCHIPHOL,37.7,5.0,,,NO DATA,2365.0,7431.0
1901,BODEGRAVEN-REEUWIJK,28,ZUID-HOLLAND,381360.0,908920.0,,,,,,33948.0,Klein,NO DATA,6290.0,21008.0
755,BOEKEL,30,NOORD-BRABANT,112170.0,276950.0,7486.0,6.047260962521936,VOLKEL,37.2,3.7,,,ROOD,1974.0,9978.0
1681,BORGER-ODOORN,22,DRENTHE,538850.0,911130.0,9994.0,27.293579228661017,HOOGEVEEN,36.3,4.0,,,ROOD,7379.0,29732.0
147,BORNE,23,OVERIJSSEL,175480.0,409680.0,1347.0,10.509868652977891,TWENTHE,35.7,3.5,,,GEEL,4665.0,17479.0
654,BORSELE,29,ZEELAND,384480.0,811870.0,6835.0,14.063571860395134,VLISSINGEN,40.2,6.4,,,NO DATA,8331.0,24539.0
756,BOXMEER,30,NOORD-BRABANT,413560.0,944210.0,7512.0,17.22108942156742,VOLKEL,37.2,3.7,,,ROOD,6058.0,27107.0
757,BOXTEL,30,NOORD-BRABANT,206950.0,465680.0,7521.0,15.391283566980327,EINDHOVEN,36.9,3.8,30672.0,Klein,ROOD,6668.0,25871.0
758,BREDA,30,NOORD-BRABANT,597810.0,1489390.0,7548.0,12.260087917163364,GILZE-RIJEN,36.9,3.7,183448.0,Groot,ROOD,17476.0,61714.0
501,BRIELLE,28,ZUID-HOLLAND,160700.0,405030.0,5270.0,20.09706075526189,ROTTERDAM,37.1,4.4,,,NO DATA,2461.0,7500.0
1876,BRONCKHORST,25,GELDERLAND,535860.0,1072460.0,10906.0,25.79559693375777,HUPSEL,   36.3,3.4,36352.0,Klein,NO DATA,8130.0,32303.0
213,BRUMMEN,25,GELDERLAND,459970.0,901220.0,1979.0,18.31348289567905,DEELEN,35.0,3.8,,,NO DATA,4154.0,15981.0
899,BRUNSSUM,31,LIMBURG,429980.0,901530.0,8855.0,15.100246678693226,MAASTRICHT,36.1,4.2,,,WIT,5849.0,20775.0
312,BUNNIK,26,UTRECHT,127070.0,252630.0,3176.0,6.841831070253027,DE BILT,36.4,3.6,,,NO DATA,3534.0,12165.0
313,BUNSCHOTEN,26,UTRECHT,127450.0,286270.0,3202.0,19.67662202480934,DE BILT,36.4,3.6,,,NO DATA,2926.0,10177.0
214,BUREN,25,GELDERLAND,458630.0,1008340.0,2011.0,20.032481196164547,HERWIJNEN,37.6,4.1,,,NO DATA,4970.0,19542.0
