Gemeentenaam,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
Medemblik,11998.0,37299.0
Meerssen,4668.0,18729.0
Meierijstad,18674.0,71632.0
Meppel,7478.0,25114.0
Middelburg,11616.0,30928.0
Midden-Delfland,4850.0,14509.0
Midden-Drenthe,12505.0,42912.0
Midden-Groningen,19292.0,66631.0
Mill en Sint Hubert,2190.0,10410.0
Moerdijk,6777.0,24151.0
Molenlanden,6517.0,23451.0
Montferland,9504.0,37957.0
Montfoort,2544.0,8585.0
Mook en Middelaar,1929.0,7768.0
Neder-Betuwe,3503.0,12828.0
Nederland,960248.0,3236417.0
Nederweert,5034.0,21928.0
Nieuwegein,7430.0,22245.0
Nieuwkoop,4682.0,16446.0
Nijkerk,9574.0,33522.0
Nijmegen,28139.0,83485.0
Nissewaard,11458.0,30438.0
Noardeast-Frysl̢n,8521.0,30595.0
Noord-Beveland,2553.0,8502.0
Noordenveld,9410.0,33756.0
Noordoostpolder,8387.0,34802.0
Noordwijk,6126.0,19413.0
"Nuenen, Gerwen en Nederwetten",4863.0,18682.0
Nunspeet,4143.0,15694.0
Oegstgeest,4197.0,12062.0
Oirschot,2964.0,13530.0
Oisterwijk,3649.0,14185.0
Oldambt,6065.0,24106.0
Oldebroek,4654.0,19701.0
Oldenzaal,5697.0,20935.0
Olst-Wijhe,5688.0,20216.0
Ommen,3841.0,15255.0
Onbekend,704.0,1584.0
Oost Gelre,6445.0,27556.0
Oosterhout,8830.0,29874.0
Ooststellingwerf,9857.0,30998.0
Oostzaan,1545.0,5313.0
Opmeer,2952.0,9886.0
Opsterland,6915.0,27723.0
Oss,15117.0,58893.0
Oude IJsselstreek,9876.0,40484.0
Ouder-Amstel,1823.0,5586.0
Oudewater,1725.0,6199.0
Overbetuwe,8750.0,33484.0
Papendrecht,3521.0,10283.0
Peel en Maas,13554.0,53701.0
Pekela,1758.0,6966.0
Pijnacker-Nootdorp,9694.0,31009.0
Purmerend,8669.0,26154.0
Putten,3633.0,14318.0
Raalte,12228.0,43644.0
Reimerswaal,6024.0,16944.0
Renkum,5711.0,20010.0
Renswoude,780.0,2868.0
Reusel-De Mierden,2247.0,11345.0
Rheden,6117.0,21962.0
Rhenen,3837.0,12418.0
Ridderkerk,6321.0,17125.0
Rijssen-Holten,6551.0,22830.0
Rijswijk,7445.0,21168.0
Roerdalen,6055.0,23814.0
