,Gemeentenaam,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
167,Langedijk,8133.0,23388.0
168,Lansingerland,12697.0,36323.0
169,Laren,573.0,2214.0
170,Leeuwarden,28214.0,90692.0
171,Leiden,10607.0,28411.0
172,Leiderdorp,3300.0,11184.0
173,Leidschendam-Voorburg,6369.0,19273.0
174,Lelystad,18866.0,60992.0
175,Leudal,8979.0,39504.0
176,Leusden,6822.0,22724.0
177,Lingewaard,9638.0,34493.0
178,Lisse,5328.0,12724.0
179,Lochem,8041.0,30242.0
180,Loon op Zand,3098.0,11599.0
181,Lopik,2448.0,9226.0
182,Loppersum,4536.0,17710.0
183,Losser,4723.0,17848.0
184,Maasdriel,6523.0,22768.0
185,Maasgouw,6580.0,26106.0
186,Maassluis,2774.0,7996.0
187,Maastricht,15204.0,48914.0
188,Medemblik,11998.0,37299.0
189,Meerssen,4668.0,18729.0
190,Meierijstad,18674.0,71632.0
191,Meppel,7478.0,25114.0
192,Middelburg,11616.0,30928.0
193,Midden-Delfland,4850.0,14509.0
194,Midden-Drenthe,12505.0,42912.0
195,Midden-Groningen,19292.0,66631.0
196,Mill en Sint Hubert,2190.0,10410.0
197,Moerdijk,6777.0,24151.0
198,Molenlanden,6517.0,23451.0
199,Montferland,9504.0,37957.0
200,Montfoort,2544.0,8585.0
201,Mook en Middelaar,1929.0,7768.0
202,Neder-Betuwe,3503.0,12828.0
203,Nederland,960248.0,3236417.0
204,Nederweert,5034.0,21928.0
205,Nieuwegein,7430.0,22245.0
206,Nieuwkoop,4682.0,16446.0
207,Nijkerk,9574.0,33522.0
208,Nijmegen,28139.0,83485.0
209,Nissewaard,11458.0,30438.0
210,Noardeast-Frysl̢n,8521.0,30595.0
211,Noord-Beveland,2553.0,8502.0
212,Noordenveld,9410.0,33756.0
213,Noordoostpolder,8387.0,34802.0
214,Noordwijk,6126.0,19413.0
215,"Nuenen, Gerwen en Nederwetten",4863.0,18682.0
216,Nunspeet,4143.0,15694.0
217,Oegstgeest,4197.0,12062.0
218,Oirschot,2964.0,13530.0
219,Oisterwijk,3649.0,14185.0
220,Oldambt,6065.0,24106.0
221,Oldebroek,4654.0,19701.0
222,Oldenzaal,5697.0,20935.0
223,Olst-Wijhe,5688.0,20216.0
224,Ommen,3841.0,15255.0
225,Onbekend,704.0,1584.0
226,Oost Gelre,6445.0,27556.0
227,Oosterhout,8830.0,29874.0
228,Ooststellingwerf,9857.0,30998.0
229,Oostzaan,1545.0,5313.0
230,Opmeer,2952.0,9886.0
231,Opsterland,6915.0,27723.0
232,Oss,15117.0,58893.0
233,Oude IJsselstreek,9876.0,40484.0
234,Ouder-Amstel,1823.0,5586.0
235,Oudewater,1725.0,6199.0
236,Overbetuwe,8750.0,33484.0
237,Papendrecht,3521.0,10283.0
238,Peel en Maas,13554.0,53701.0
239,Pekela,1758.0,6966.0
240,Pijnacker-Nootdorp,9694.0,31009.0
241,Purmerend,8669.0,26154.0
242,Putten,3633.0,14318.0
243,Raalte,12228.0,43644.0
244,Reimerswaal,6024.0,16944.0
245,Renkum,5711.0,20010.0
246,Renswoude,780.0,2868.0
247,Reusel-De Mierden,2247.0,11345.0
248,Rheden,6117.0,21962.0
249,Rhenen,3837.0,12418.0
250,Ridderkerk,6321.0,17125.0
251,Rijssen-Holten,6551.0,22830.0
252,Rijswijk,7445.0,21168.0
253,Roerdalen,6055.0,23814.0
254,Roermond,11325.0,42699.0
255,Roosendaal,11141.0,42960.0
256,Rotterdam,27201.0,75146.0
257,Rozendaal,200.0,890.0
258,Rucphen,3045.0,12782.0
259,Schagen,9564.0,33611.0
260,Scherpenzeel,1239.0,4539.0
261,Schiedam,4002.0,12009.0
262,Schiermonnikoog,315.0,1242.0
263,Schouwen-Duiveland,9787.0,30188.0
264,Simpelveld,2760.0,10476.0
265,Sint Anthonis,2307.0,11654.0
266,Sint-Michielsgestel,6309.0,25785.0
267,Sittard-Geleen,18923.0,69711.0
268,Sliedrecht,2957.0,8907.0
269,Sluis,6087.0,19926.0
270,Smallingerland,12156.0,42407.0
271,Soest,7240.0,25506.0
272,Someren,4651.0,21424.0
273,Son en Breugel,3972.0,15738.0
274,Stadskanaal,5790.0,25401.0
275,Staphorst,3065.0,10898.0
276,Stede Broec,6018.0,16772.0
277,Steenbergen,5146.0,17113.0
278,Steenwijkerland,8580.0,30311.0
279,Stein,9075.0,34366.0
280,Stichtse Vecht,9378.0,28347.0
