Gemeentenaam,GemiddeldAardgasverbruik,GemiddeldElektriciteitsverbruik
LANDERD,164930.0,384430.0
LANDGRAAF,327760.0,674800.0
LANDSMEER,117390.0,254590.0
LANGEDIJK,79430.0,189130.0
LANSINGERLAND,637030.0,1636700.0
LAREN,176910.0,327510.0
LEEUWARDEN,1152690.0,2174630.0
LEIDEN,495220.0,1150540.0
LEIDERDORP,180260.0,421900.0
LEIDSCHENDAM-VOORBURG,539730.0,1111310.0
LELYSTAD,721630.0,1967790.0
LEUDAL,501730.0,1089610.0
LEUSDEN,345670.0,748960.0
LINGEWAARD,274670.0,602590.0
LISSE,262000.0,590660.0
LOCHEM,472280.0,896500.0
LOON OP ZAND,362660.0,843280.0
LOPIK,171420.0,380420.0
LOPPERSUM,258630.0,404700.0
LOSSER,210310.0,426170.0
MAASDRIEL,311440.0,678400.0
MAASGOUW,278580.0,547750.0
MAASSLUIS,216070.0,524520.0
MAASTRICHT,535380.0,1063410.0
MEDEMBLIK,635230.0,1379320.0
MEERSSEN,215560.0,417500.0
MEIERIJSTAD,973390.0,2166120.0
MEPPEL,456790.0,938430.0
MIDDELBURG,239730.0,480830.0
MIDDEN-DELFLAND,145190.0,308170.0
MIDDEN-DRENTHE,605140.0,1093740.0
MIDDEN-GRONINGEN,938150.0,1673030.0
MILL EN SINT HUBERT,202940.0,460840.0
MOERDIJK,443300.0,1051880.0
MOLENLANDEN,910680.0,1869380.0
MONTFERLAND,310910.0,691750.0
MONTFOORT,158470.0,349850.0
MOOK EN MIDDELAAR,94590.0,187650.0
NEDER-BETUWE,217040.0,478910.0
NEDERLAND,10250.0,23000.0
NEDERWEERT,209550.0,487150.0
NIEUWEGEIN,238120.0,857710.0
NIEUWKOOP,286580.0,673150.0
NIJKERK,387560.0,873800.0
NIJMEGEN,483560.0,1042100.0
NISSEWAARD,693350.0,1926700.0
NOARDEAST-FRYSL̢N,944520.0,1598340.0
NOORD-BEVELAND,156480.0,305310.0
NOORDENVELD,366990.0,633030.0
NOORDOOSTPOLDER,495430.0,1089900.0
NOORDWIJK,203390.0,424660.0
"NUENEN, GERWEN EN NEDERWETTEN",160500.0,335420.0
NUNSPEET,185060.0,375360.0
OEGSTGEEST,142350.0,336980.0
OIRSCHOT,201870.0,488210.0
OISTERWIJK,428300.0,915420.0
OLDAMBT,608780.0,1030200.0
OLDEBROEK,261530.0,548880.0
OLDENZAAL,296250.0,637160.0
OLST-WIJHE,349870.0,716120.0
OMMEN,497370.0,975890.0
OOST GELRE,478120.0,1031360.0
OOSTERHOUT,509210.0,1221460.0
OOSTSTELLINGWERF,680270.0,1175890.0
OOSTZAAN,65380.0,142900.0
OPMEER,124990.0,268320.0
OPSTERLAND,603170.0,1115110.0
OSS,1188910.0,2528370.0
OUDE IJSSELSTREEK,366810.0,786740.0
OUDER-AMSTEL,64290.0,184320.0
OUDEWATER,196340.0,431400.0
OVERBETUWE,358700.0,825540.0
PAPENDRECHT,82140.0,217330.0
PEEL EN MAAS,374600.0,839040.0
PEKELA,83010.0,141810.0
PIJNACKER-NOOTDORP,265650.0,729200.0
PURMEREND,132760.0,696200.0
PUTTEN,166140.0,361640.0
RAALTE,572530.0,1142360.0
REIMERSWAAL,286800.0,637470.0
RENKUM,608840.0,1070000.0
RENSWOUDE,43880.0,100400.0
REUSEL-DE MIERDEN,163180.0,375110.0
RHEDEN,233100.0,439540.0
RHENEN,442100.0,934610.0
RIDDERKERK,212400.0,474270.0
RIJSSEN-HOLTEN,424160.0,797580.0
RIJSWIJK,346480.0,750670.0
ROERDALEN,250480.0,510790.0
ROERMOND,471970.0,997880.0
ROOSENDAAL,663300.0,1431740.0
ROTTERDAM,655650.0,1755990.0
ROZENDAAL,43740.0,93570.0
RUCPHEN,175250.0,403320.0
SCHAGEN,780940.0,1648920.0
SCHERPENZEEL,54090.0,123160.0
SCHIEDAM,475700.0,1077650.0
SCHIERMONNIKOOG,40180.0,64840.0
SCHOUWEN-DUIVELAND,587020.0,1174200.0
SIMPELVELD,138880.0,255960.0
SINT ANTHONIS,197780.0,480590.0
SINT-MICHIELSGESTEL,311890.0,690510.0
SITTARD-GELEEN,459980.0,990530.0
SLIEDRECHT,281930.0,621210.0
