Gemeentenaam,geometry
'S-GRAVENHAGE,"MULTIPOLYGON (((4.30286212394516 52.1283555028135, 4.3298852859839 52.1085193036654, 4.33306027893762 52.105731272547, 4.33031723783732 52.1043424985748, 4.33226414982509 52.1030405714222, 4.3232819226305 52.0992169919986, 4.32748436314732 52.0955675717542, 4.33600411726022 52.0980837926471, 4.33725281394425 52.0987699910121, 4.33857325953713 52.0974352864273, 4.34136192110651 52.0983429683949, 4.3423179755294 52.0974823051756, 4.35004564645408 52.1010479046726, 4.35848911975289 52.1057618012977, 4.36098207691451 52.1040685578958, 4.3650758780714 52.1000368155457, 4.37007285753651 52.0960646635061, 4.37045617215743 52.0962335864752, 4.3727091647332 52.0947730434373, 4.3714666188624 52.0938350996724, 4.37351433787651 52.0922972405701, 4.34711602030546 52.0802809598154, 4.34712555595172 52.0800032752084, 4.34523901872677 52.079579924137, 4.34548373922687 52.0791512053752, 4.33521313476365 52.0750008362242, 4.34006544562175 52.0733439687256, 4.34057939664801 52.0734887231931, 4.34093513252981 52.073047579332, 4.35551861584134 52.0680402058583, 4.34219569121829 52.0611349626562, 4.34800355696764 52.0564984975451, 4.35228141032824 52.0593944825005, 4.35331621002312 52.0586687308366, 4.35392802092176 52.0590208745222, 4.35757487391106 52.0565539828583, 4.35734971862615 52.0562550811939, 4.35838030925747 52.0570859429938, 4.35947489802018 52.057180628713, 4.35982263973017 52.0573666990213, 4.35957689842773 52.0581991676741, 4.36082602677654 52.0584687067268, 4.35601104503765 52.0615678510244, 4.36253460621244 52.064336534811, 4.37999568576973 52.0747453933967, 4.3845824954105 52.0762346479257, 4.38865076875227 52.0729741403626, 4.39462132805181 52.0759072706321, 4.39709211570126 52.0747635466019, 4.40392333261851 52.0778456014463, 4.41194961608814 52.0720771145669, 4.41715176839056 52.0663061941778, 4.42069040141923 52.0634554887374, 4.42083220765513 52.0625802945326, 4.42029686761913 52.0621930761611, 4.42248932988951 52.0571942654356, 4.41539432276171 52.0574415711343, 4.41523058730389 52.0570131422892, 4.42207208090043 52.0516732971675, 4.40491811908152 52.052988231541, 4.40162453453563 52.0535366750254, 4.39854931086219 52.0512181287332, 4.39444478671892 52.0540541792275, 4.39312392556865 52.0528437165631, 4.39258656421212 52.0531533990953, 4.3911307890028 52.0519519585852, 4.39143972372511 52.0517616906607, 4.38967599201358 52.0499616232821, 4.38790434104688 52.0511697735436, 4.37264548538086 52.040920022398, 4.37985809736015 52.0359525284699, 4.38613174210793 52.038505271683, 4.38743602980139 52.0386471536739, 4.39393932018523 52.0329837207635, 4.37973522061643 52.0267328843514, 4.37349912299196 52.0325990531859, 4.35976951473567 52.0265462841456, 4.35884865955269 52.0273341764045, 4.35779028319923 52.0268634445962, 4.35776511954694 52.0278816904166, 4.35483389800813 52.0304385978999, 4.35377785729633 52.0306762571486, 4.35040560925276 52.0394733034801, 4.34639474317734 52.0428920152394, 4.34683680153051 52.0435733681556, 4.34606269492222 52.0440185189504, 4.34754890700529 52.0461090040614, 4.34951448647235 52.0472302827492, 4.35231414693703 52.0481587865335, 4.35263866797255 52.0490955325769, 4.34450382732081 52.0540568905042, 4.34657617770165 52.055607158053, 4.34679956620483 52.0568507367375, 4.34470114118017 52.0588660040184, 4.34004714755094 52.0618063001557, 4.32870865649097 52.0565573327106, 4.32775677425316 52.056975282842, 4.32762826341598 52.0564531471485, 4.32537742943951 52.0553883565103, 4.32468192254048 52.0553241070335, 4.32425704949563 52.0556966241092, 4.32136056565853 52.054621205858, 4.32215433260894 52.0537142371749, 4.32190800607167 52.0530521342542, 4.31988202241889 52.0519939778259, 4.31304289879572 52.0501205536264, 4.30915440147016 52.0482989709214, 4.30892871333691 52.0485317550194, 4.30419499332549 52.046594935157, 4.30339033508423 52.0470097360486, 4.29836677755367 52.0455574371221, 4.29873713909384 52.0450095769158, 4.29724699416578 52.0445703407974, 4.29759270153647 52.0440749753097, 4.29345295208745 52.0430629367332, 4.29386569970186 52.0425407257723, 4.29095174942753 52.041573278255, 4.29861674030214 52.0298216102283, 4.29792998672873 52.0294102814479, 4.30763862727886 52.0181515582114, 4.30266409791618 52.0164882277009, 4.30107540298641 52.0178691373005, 4.29861453821295 52.0168770388289, 4.29551217529048 52.0148485863352, 4.28973611854898 52.0176479743072, 4.29434462120936 52.0193588308222, 4.28673376018553 52.022984771527, 4.28825459386823 52.0237578248182, 4.28514229761933 52.0256204248182, 4.28565035865495 52.0259138951897, 4.28504622975686 52.0262677677693, 4.28588390078597 52.02648104125, 4.285249910173 52.0274225354876, 4.28347487026592 52.0267004280107, 4.28280042035976 52.0276264195738, 4.28171082656298 52.0274311900234, 4.27787438249598 52.0324984350028, 4.27589608505566 52.0315573965493, 4.27266273638235 52.0359173472695, 4.26773659285983 52.0332542397653, 4.25619894274681 52.0282687961785, 4.25506909914001 52.0283697376688, 4.24821711539114 52.0252258912571, 4.24502091787348 52.0285677069489, 4.24369446965263 52.0293680287362, 4.23501473673044 52.0392951202468, 4.22832625317028 52.0346421867883, 4.22323174488859 52.0343958990074, 4.2192266900374 52.0337368443371, 4.21378110357314 52.0317837058076, 4.21229217634234 52.0307116620057, 4.20958447760711 52.0336547370232, 4.21243430566606 52.0340331076148, 4.20218519331552 52.047112376691, 4.19885346390161 52.0500024314225, 4.19973753923553 52.0508171829488, 4.19632915513193 52.0556763708558, 4.19878534422172 52.0575202138744, 4.20593737749137 52.0609505659984, 4.21234939115493 52.0663226557838, 4.22509304608178 52.0746271469835, 4.23379008265918 52.0812560729145, 4.24686159034385 52.0902728080679, 4.25502286142742 52.0983070550405, 4.25590875127844 52.0997719472857, 4.25383405793467 52.1010963677848, 4.25310737777744 52.1025170520957, 4.25350091515891 52.1027670812871, 4.2541160057314 52.1014901030116, 4.25612705108183 52.1001346386851, 4.25676379103112 52.1004947372101, 4.25666616303211 52.0998205617671, 4.25790132367271 52.0988844275485, 4.25993392396779 52.0989719650684, 4.26051912154619 52.0986837101626, 4.26082137820857 52.0981975566008, 4.2590897409076 52.0978068176078, 4.25944502714846 52.0970094694277, 4.26118591601868 52.097297724476, 4.26385685759486 52.0969022653911, 4.26460509460692 52.0974566342669, 4.26348961263899 52.0982182833119, 4.26421960670721 52.0986216182639, 4.26482053915004 52.0983418975369, 4.26871173602583 52.1011399273263, 4.26726404563067 52.1018681702542, 4.26341194219519 52.0991554545127, 4.26121244178183 52.0991919572723, 4.2606548570993 52.0995487600512, 4.26125519295185 52.1005110168301, 4.25788071897769 52.1015574273034, 4.25856599912103 52.1017475672761, 4.25795836980822 52.1031227159266, 4.25668941418832 52.1038836626731, 4.25788996136505 52.1038422217888, 4.25892272659349 52.1024360951787, 4.26084674965089 52.1028307577917, 4.28262127930986 52.1174566563921, 4.29193949056338 52.1217060843217, 4.30286212394516 52.1283555028135)), ((4.19239627322434 52.0576811976014, 4.19066341124374 52.0585642598953, 4.19592883819621 52.0594513718035, 4.20227152464065 52.0618148482384, 4.20348242028685 52.0614008388636, 4.1981118055355 52.059135848157, 4.19239627322434 52.0576811976014)))"
'S-HERTOGENBOSCH,"POLYGON ((5.29145468371966 51.6748278449193, 5.29056068385397 51.6774347460734, 5.28916903139308 51.6779923181149, 5.28869908931225 51.6818784752646, 5.28803633081858 51.6822469403465, 5.28552232448682 51.6821466322121, 5.26563336400827 51.6847249769296, 5.25903069256146 51.6838589293707, 5.25381358686234 51.6843966778403, 5.24686728124438 51.6831686442614, 5.2342714408727 51.6854991401721, 5.23190148904353 51.6892569473153, 5.22606131492585 51.6900433019501, 5.22681867106355 51.6908506278193, 5.22874042013115 51.6913522397655, 5.24766695443767 51.6945491955581, 5.24892329872628 51.6955014164194, 5.24897902744406 51.6973373377657, 5.25160243332178 51.6995130027618, 5.25049564169059 51.700572134819, 5.25007438270975 51.7002268440154, 5.24899739511131 51.7012194457936, 5.24817374798631 51.7011026817202, 5.24701232127431 51.7027351457368, 5.2411200574794 51.7010252938309, 5.23898907141268 51.7020406012237, 5.23727373495431 51.7047610164125, 5.23575621579191 51.7046528210649, 5.23629510587163 51.7063240277788, 5.24120402378036 51.7139886497211, 5.22997724776683 51.7105693110937, 5.22853550055849 51.7147675111909, 5.23103172830855 51.724086061381, 5.22751727007145 51.7271505823766, 5.2248839048772 51.7266552054639, 5.22174366984181 51.729385968152, 5.21934602222353 51.72815043475, 5.21650755552884 51.7306444177979, 5.21001536391546 51.733945877285, 5.21053116909821 51.7343853393504, 5.21006864527215 51.735413950234, 5.21044087087181 51.7354799482717, 5.20949521749743 51.7373678107233, 5.21037481651378 51.7377108831664, 5.2064940545651 51.7414769790222, 5.21634732899715 51.7434509808171, 5.22069093473295 51.7434931824978, 5.22503658015507 51.7429689511791, 5.23228330370485 51.7408664521064, 5.23663349415081 51.7388586971201, 5.24388547205859 51.7347151041465, 5.24823176161237 51.7336147518259, 5.25112652137156 51.7337619620689, 5.25546602806172 51.7348994649338, 5.26414120587239 51.7388278609601, 5.2728246815577 51.7400680682138, 5.28295986800642 51.739834820111, 5.29165208222411 51.7372625277393, 5.29454846455837 51.7367974490324, 5.29744384501065 51.7368086867758, 5.30033833260439 51.7372872525392, 5.30323193443156 51.7382780886236, 5.32204086097864 51.7465234565436, 5.35351397602905 51.7554770920318, 5.35478168767093 51.7536181985325, 5.35578790927132 51.7531359180197, 5.35590435095213 51.7514348237429, 5.36122253397111 51.7512213299879, 5.36377894307703 51.7514624059604, 5.37429223395567 51.7533239488525, 5.39126211735568 51.7600740339346, 5.43881591063565 51.7650301694154, 5.44402579029781 51.7533121339043, 5.44364615543729 51.7507805805886, 5.45139834869878 51.7396821675668, 5.45053798264921 51.7393770105708, 5.45199675362858 51.7373545743901, 5.45236851203547 51.7374521805124, 5.45420801903311 51.7354681901902, 5.45192913206595 51.7340012341146, 5.45313906484666 51.7323930810249, 5.45471424160226 51.7328694618607, 5.45784342837922 51.7299745975129, 5.46007304229986 51.7307074993717, 5.46259165965052 51.7281991017291, 5.46318732737346 51.7258661811267, 5.46543307492732 51.7267876836896, 5.46629333111435 51.7266568448466, 5.46633218209502 51.7269874506089, 5.46655017875937 51.7267359314291, 5.46673001880005 51.7270561945719, 5.47424376303527 51.7289646404554, 5.48013647105596 51.7244639399165, 5.4786970319647 51.7238954467843, 5.48454649898853 51.7132974329848, 5.48612330023784 51.7133416104907, 5.48620402498816 51.7130258032069, 5.48777240604717 51.7128993189546, 5.48781923425822 51.7120676356714, 5.49770591536788 51.7117105020383, 5.49732119960382 51.7107656605181, 5.49891822584985 51.7105656803898, 5.49823116783005 51.7091772056297, 5.49965538921771 51.70900826366, 5.49904749691933 51.7070251453684, 5.49238517071734 51.7061005379792, 5.48307424507525 51.7014634463169, 5.47829071347638 51.7014311345595, 5.47100529521601 51.6910680844725, 5.46940050618114 51.691268688037, 5.46984891428709 51.6891365733863, 5.46032597061378 51.6896512461434, 5.45982901638832 51.6913434918057, 5.45876756234031 51.6920292152264, 5.45755355814125 51.6891102478155, 5.45687184353798 51.6875906613442, 5.45271787666065 51.6884747838022, 5.4516779266588 51.6867510856447, 5.44516661421944 51.6885810272411, 5.44754639350425 51.6949600665102, 5.44504242240808 51.6953154889274, 5.44135254856605 51.6946559186517, 5.44299220758947 51.6962794066633, 5.44245611967488 51.6964631797429, 5.44334935336958 51.6976178759919, 5.43949368605678 51.6986573967215, 5.4393295810968 51.7004342094459, 5.43793403450047 51.7006311413251, 5.42845161959556 51.7014843219862, 5.40620778391113 51.6990859366181, 5.39771452061934 51.6984883270152, 5.39505388840443 51.6987689709699, 5.38609403562102 51.7009333357341, 5.38102249763722 51.7007907697466, 5.37402964302778 51.7000878659513, 5.37273108904729 51.6994489378014, 5.37154397431227 51.6979688756556, 5.36682829880943 51.6969081688684, 5.3624623188871 51.6984957612895, 5.35943660983471 51.6987068369266, 5.36342510877313 51.6918536219191, 5.36636981292804 51.6880610228864, 5.3696167564308 51.6844831917815, 5.37007128445444 51.6846069044417, 5.36974226890289 51.6843378302825, 5.37713465965273 51.6788153488471, 5.37642784427066 51.6784307762873, 5.37246395348524 51.6801035163966, 5.37213352040072 51.6801597429036, 5.36771976310256 51.6808072596637, 5.36692557003861 51.6805713484142, 5.35735045180542 51.6820025480236, 5.35702346255553 51.6810659161087, 5.35278263676176 51.6814174069068, 5.35212615892312 51.6810186446031, 5.35093847040536 51.6771446060407, 5.35596122399292 51.6740036898667, 5.35387752741005 51.6731418032577, 5.3546123513734 51.6725064581206, 5.35293152985272 51.6718140629578, 5.3536920248077 51.6710732507571, 5.34395880463627 51.6674456810573, 5.34148478441066 51.66618556151, 5.34230111276595 51.6654247374218, 5.33888232825173 51.6639964280582, 5.32747394370425 51.6733669471277, 5.31905663346195 51.6703719212805, 5.31875833906346 51.6708705921119, 5.30994372674481 51.6693676791575, 5.30321577229725 51.6672042129742, 5.30059873307646 51.6682554760693, 5.29893007464611 51.6671235761253, 5.29306405383355 51.6737499281707, 5.29145468371966 51.6748278449193))"
AA EN HUNZE,"POLYGON ((6.64859361235337 53.0263336609094, 6.64465878143421 53.0393880078363, 6.64333303519742 53.0401016450329, 6.64334606572213 53.0407640125493, 6.64157658105486 53.0409189189842, 6.6405178749085 53.0417257140256, 6.6413428776342 53.0426819043822, 6.64223487154052 53.0425738651381, 6.64137479728982 53.0435776812626, 6.6426808513025 53.0444327752936, 6.64233009009385 53.045933319804, 6.64414851870919 53.0474913592965, 6.64537378104114 53.0476289878262, 6.644606558598 53.048368817914, 6.64651334960449 53.0491520597104, 6.64724563730368 53.0508050473969, 6.65116039577443 53.0527154849296, 6.65149107143497 53.0536865045812, 6.65375141534482 53.0555145428304, 6.65774320589465 53.0560648420094, 6.6614927695189 53.0559837986549, 6.664488045634 53.0575623752627, 6.66649682497923 53.0577036298557, 6.66692055552369 53.058263780212, 6.6652974836677 53.058893084503, 6.66419947926717 53.0599280011453, 6.6644734710125 53.0615194956063, 6.66562916694215 53.0622535625462, 6.66771748187915 53.0625413265314, 6.66863599105726 53.0633410538862, 6.66984675931358 53.063276599122, 6.66942788245003 53.0641184050571, 6.67165708414787 53.0647540332054, 6.67140069364356 53.0651888697696, 6.67048482111784 53.065202493653, 6.67008070363339 53.0646374457012, 6.66956143844063 53.0648526313424, 6.66937579357506 53.0656019509966, 6.67049197148707 53.0666134376077, 6.67017602210057 53.0672870021592, 6.66867533210361 53.0671000878381, 6.66441995962027 53.069055983282, 6.66630678328461 53.0721307710052, 6.6636456787419 53.0713347459795, 6.66208428984026 53.0720969695261, 6.66121736971968 53.0731895493501, 6.66214518081752 53.0750434582468, 6.66107861233646 53.0743503877372, 6.6600360436625 53.0743903605953, 6.65937923743087 53.0751643054768, 6.65967397107994 53.0763657738778, 6.65763526531895 53.0764309840776, 6.6555090252475 53.0780434944312, 6.65529284949462 53.0768880878934, 6.65445057579714 53.0768687328466, 6.65383135582536 53.0776629984935, 6.65476518921718 53.0781230692449, 6.65409198823503 53.0800300659341, 6.65124871004429 53.0800483703986, 6.64964409472092 53.0795783615902, 6.64885525692921 53.0821897531253, 6.6577743607711 53.0840314332496, 6.66368670188796 53.0814186620729, 6.67329391211277 53.0793202302857, 6.68778645836656 53.0720843992116, 6.69182039398651 53.0702785111512, 6.69244832829746 53.0703849294694, 6.69901486553798 53.065174785446, 6.7114331300242 53.070114265233, 6.71368735318262 53.0686981642069, 6.72613862011802 53.0736671889076, 6.72717378063259 53.0732224479038, 6.73365597012083 53.0755163988664, 6.74365147264191 53.0798253414531, 6.7481996305732 53.0812291831595, 6.7489160122314 53.0818231897406, 6.74999174496807 53.08165076449, 6.75021526935548 53.0823682017452, 6.74925195380956 53.0837469873635, 6.74795208863031 53.0835125289818, 6.74523315859791 53.0844996937065, 6.74640753257497 53.0860815800175, 6.74811408632878 53.0869182040316, 6.74877249103662 53.0868411591605, 6.77650932204204 53.094762031904, 6.8612874847798 53.0408754227547, 6.93568497177785 52.9933537361283, 6.8377679013166 52.977895563306, 6.78875912017258 52.9627756469137, 6.72771189206399 52.9547207281301, 6.73142248009045 52.9375559289912, 6.72417522955604 52.9372884845, 6.72634725963018 52.9274094828652, 6.72700172219519 52.915889039998, 6.72826233705177 52.9068661305896, 6.73223391818963 52.8921831867209, 6.73633708087637 52.8786919917883, 6.71456394040834 52.868159512759, 6.68637389071655 52.8753315450371, 6.67498565538656 52.9050180535713, 6.66673375263304 52.9094502419641, 6.64170553356846 52.9120015763931, 6.62545001118395 52.9128114176091, 6.61482476657883 52.9183274766376, 6.58582786811103 52.9194528646912, 6.57526166493821 52.9317078770038, 6.56507139303241 52.9449817741223, 6.56150491908365 52.9466531281506, 6.56283287282627 52.9471521902625, 6.5628566346528 52.949342324334, 6.56550745274081 52.9503050902255, 6.56810857126418 52.9538444930925, 6.56847933187236 52.9545995857106, 6.56856289261949 52.9548411068983, 6.57013676308619 52.957029891819, 6.56991598675496 52.9578009995795, 6.57046643346024 52.9585468742055, 6.57121198433517 52.9587047974512, 6.58126554417295 52.9674501295681, 6.59604370992458 52.9726590671812, 6.59536384644102 52.9760482313699, 6.59620210099003 52.9789558952971, 6.59928425570156 52.9814706992823, 6.60476901398976 52.9832912598335, 6.6060687075399 52.9859488290179, 6.6074708328209 52.9874639480224, 6.60822482833755 52.9912284676846, 6.60750536363998 52.9946372501931, 6.60786328609864 52.9953538751437, 6.60931390934385 52.9961016982791, 6.60917141524081 52.996943321761, 6.61015338467764 52.9972419237485, 6.60978381506049 52.9976161425486, 6.61048929379217 52.9979679866843, 6.61080682825293 52.9991663997594, 6.61247224053099 52.999142683015, 6.61088244419037 52.9996696118175, 6.612260035077 53.0008720833004, 6.61127820976546 53.0013863324946, 6.61228071472616 53.0016720980573, 6.61141914498387 53.0024655212626, 6.61220948182641 53.0023744303515, 6.61324059516837 53.0034353619199, 6.61394571311316 53.0033616607516, 6.61295233229034 53.0040677446323, 6.61322206811963 53.004327922472, 6.61138867161211 53.0050790551023, 6.61212590349267 53.0052998116809, 6.61316427432384 53.0049162150523, 6.61384634418741 53.0052284218327, 6.61409165546543 53.0060225539092, 6.61568171731706 53.0062220066663, 6.61505720371207 53.0065659396785, 6.61553490456849 53.0075258747256, 6.6163865886904 53.007798498058, 6.61594814655433 53.0081938334047, 6.61817704257237 53.0089032092164, 6.61823012903173 53.0093495978842, 6.6186813971561 53.0090476324565, 6.61942110268476 53.0094929596167, 6.61973202576652 53.0090060807519, 6.62076093655668 53.0091860142213, 6.6220501287404 53.0101694174168, 6.62135877742403 53.0113466964801, 6.62231999334652 53.0118702256381, 6.62114561999632 53.0117337398356, 6.62124759277079 53.0121162818769, 6.62595895316937 53.0141353284862, 6.6259035358984 53.0148511641638, 6.62778131340402 53.0149150534937, 6.62973212860965 53.0155306698959, 6.63064878259431 53.0172303897896, 6.63223810891573 53.0171085076756, 6.63195971647817 53.0178392311538, 6.6309522451627 53.0177815554104, 6.6306347560507 53.0183185797827, 6.63180912417905 53.0190536548218, 6.63133886137814 53.0196553507561, 6.63223671200418 53.0202599930928, 6.63189171414614 53.0207144462144, 6.63264463642077 53.022053334316, 6.62966927877943 53.0236065409543, 6.63122174999352 53.0261063670304, 6.64859361235337 53.0263336609094))"
AALSMEER,"POLYGON ((4.74669927256716 52.2722537857388, 4.75016075736998 52.2733431306364, 4.75573192663972 52.2740961155538, 4.76401255308139 52.276418130185, 4.77991042846123 52.2831307167882, 4.78956238735408 52.2895334471469, 4.7926873888517 52.2930656666261, 4.79576147110984 52.2994283833465, 4.8012881518185 52.3025279693972, 4.80988357113736 52.3057764316154, 4.81149973267919 52.3033959117711, 4.82213314787818 52.2926509100977, 4.82386055817676 52.289937922309, 4.80990691209183 52.2765138627057, 4.79868656931635 52.263955446514, 4.79454593829713 52.2608486726758, 4.79508578120115 52.2602565650699, 4.78293147132982 52.2551488023341, 4.78088882728887 52.2535201885241, 4.77957390359367 52.2536901376278, 4.77086699421907 52.2499093630514, 4.76888206550245 52.2483110821068, 4.76788861683231 52.2469779462152, 4.76806552809373 52.2453947826573, 4.77327183503616 52.2410345036365, 4.72330168918565 52.2163542930007, 4.72368414534898 52.2181284461625, 4.7228963470286 52.2203643352483, 4.72415435355871 52.2323717696064, 4.70371389662905 52.2337896098161, 4.69649369358881 52.2322168925551, 4.68730892460717 52.2271051355092, 4.68483273732837 52.2264256299509, 4.67997460550869 52.2267635081184, 4.67669847983565 52.2259259180847, 4.67332167538466 52.2287141836844, 4.67029283758016 52.2307956711698, 4.67732674284584 52.234561971469, 4.68124821903959 52.2391432927794, 4.6865429241223 52.2405431978231, 4.69271322411047 52.2427201074271, 4.7017565318574 52.2444023803196, 4.70526687139467 52.2467556185592, 4.71321995557533 52.2554013219413, 4.72078548938116 52.2587819282917, 4.72594079925181 52.2633714614627, 4.7305411116039 52.2654202412575, 4.73957918815069 52.2677489214705, 4.74388202913831 52.2699032382469, 4.74669927256716 52.2722537857388))"
AALTEN,"POLYGON ((6.47606464717077 51.901972777202, 6.47376325108724 51.9050626428172, 6.47334414279391 51.905042957939, 6.47234854624215 51.9073567099075, 6.47871796094236 51.9097703867702, 6.48297087048473 51.9102076927344, 6.4846517962635 51.9114028682443, 6.48779498578659 51.912240416653, 6.48866396866392 51.9128657786568, 6.48710046726961 51.9140958627411, 6.49117505929897 51.9156415676137, 6.49084717110011 51.9173073761159, 6.49257687145206 51.9174099434541, 6.49327573415273 51.9180102288605, 6.49241778738236 51.9192142249693, 6.49332981022129 51.9200596829854, 6.49283126789237 51.92434622563, 6.49202601126651 51.9250290646928, 6.49235937712872 51.9259301988373, 6.49253851542262 51.9263201169625, 6.49360997288469 51.9260712085422, 6.49708978459988 51.9295997696844, 6.49558031192278 51.9302877788511, 6.50312793833954 51.9393132898103, 6.50077682479694 51.9395224735287, 6.50291459786026 51.9411978209783, 6.50331574012233 51.9437252145795, 6.50478103442599 51.945984459365, 6.51506081608994 51.9475505929971, 6.51616932898219 51.9482586462897, 6.51745761165742 51.9479073762664, 6.51864225254796 51.9511713993641, 6.51861493778086 51.9537309210955, 6.51983275856574 51.9555627913237, 6.52764930899821 51.9591799663687, 6.53282951075189 51.9623536042744, 6.52726997967226 51.9660236609615, 6.54696251627973 51.9727072030105, 6.55925670088422 51.9743684567576, 6.56968401789998 51.9721580624853, 6.57510456915979 51.9732246719529, 6.57648138892231 51.9729728532981, 6.57672356540824 51.9725850549928, 6.5854120096642 51.9723580566799, 6.58944185410981 51.9717095308378, 6.59186512795363 51.972161031733, 6.59254139937904 51.9708415448981, 6.59843335336438 51.9711433237488, 6.61111485636667 51.9692717030578, 6.62872087737359 51.9672816088847, 6.63392838875373 51.9656697205396, 6.63891573286191 51.9625471776317, 6.63922572757394 51.9593976780823, 6.63655220164113 51.9568358941317, 6.63447185272616 51.9557821326714, 6.6290712251251 51.9500922403301, 6.63306829766268 51.9476853737485, 6.6345193426656 51.9445891862984, 6.63370586137406 51.9397154712717, 6.63339026606422 51.9391985818429, 6.63246856171048 51.9390575763353, 6.63200780622543 51.937817159268, 6.63347954335919 51.9373076467642, 6.6339522101543 51.9377188389072, 6.63428561851226 51.9373792525983, 6.63340716620941 51.9364474995115, 6.63415256845849 51.9353001597328, 6.64355713797551 51.930095001147, 6.65129238918493 51.9285425873458, 6.65323330503642 51.9290404938678, 6.65365291818663 51.9302672534163, 6.65664860634576 51.9301801885096, 6.65641948335678 51.9297247733572, 6.65760098042442 51.928449344255, 6.65787338297875 51.9291062668215, 6.65897184323031 51.929044108215, 6.65926502386377 51.9258445754889, 6.65795795405225 51.9260299517488, 6.65803032784855 51.9243321127794, 6.65894972471851 51.9240491021717, 6.65964052459592 51.9225521079075, 6.66092955076152 51.9219900450051, 6.66217828281431 51.9205380799471, 6.66175516663761 51.9202564365687, 6.6631262770208 51.9197940203687, 6.66293738799193 51.9184399442198, 6.6607664684603 51.9183691800937, 6.66161310441713 51.9169061788579, 6.66058738669432 51.9167065391594, 6.66100951059971 51.9156037272234, 6.66294238324075 51.915736929889, 6.66437557688435 51.916580070556, 6.66679308104783 51.9143968357111, 6.66873306615175 51.9138637474044, 6.66205402847622 51.9111933371287, 6.65463169758236 51.9089405721598, 6.6377168026818 51.9044550391025, 6.63417347549456 51.9010057517232, 6.62769522082706 51.9008578940429, 6.62530970299594 51.9019422458527, 6.60432116537006 51.8972589206888, 6.58577985181105 51.8940823543302, 6.56951733836148 51.8883054409222, 6.56386994875582 51.8854894625136, 6.56277838377577 51.8844117439087, 6.56099808831695 51.8841241747815, 6.56061098444471 51.8822196330435, 6.55877746623739 51.8825273796056, 6.5577820633465 51.8823966001172, 6.55754090389688 51.8818391185935, 6.55586283535166 51.8818050877565, 6.55532884631585 51.8834380628857, 6.55271720767227 51.8840516827087, 6.55242553278383 51.8861918102832, 6.54836300490623 51.8853470484996, 6.54895637137165 51.8840648492572, 6.54989764064525 51.8833903962741, 6.54958622890224 51.8831498843718, 6.54753158804356 51.8832687779937, 6.54574194297002 51.8844894089309, 6.54415064033276 51.8846101879486, 6.54250119320032 51.8836419715279, 6.5422815394684 51.8827418194435, 6.53989861470969 51.8809165885704, 6.53882891166689 51.8807852995294, 6.53713284213885 51.8795503018738, 6.53346286957243 51.8785952391193, 6.53167128384178 51.8776241339552, 6.52934793890208 51.8769768822936, 6.52990965872864 51.8760045815993, 6.52449295115476 51.8741123187135, 6.52457250856706 51.8736926580086, 6.51811601680412 51.8731090514367, 6.51548930835955 51.8734934702063, 6.512502272211 51.8720007476753, 6.51160712518409 51.8708853870582, 6.50450868837573 51.8685708938048, 6.50315497992344 51.8676168718332, 6.50275440513067 51.8679832601802, 6.50115022393817 51.8681147013268, 6.50105189666727 51.8668751659654, 6.50209346207012 51.8656816938763, 6.50220793458548 51.8647056549582, 6.50084272407745 51.8626602114384, 6.49883670253386 51.8616738885326, 6.49019788823282 51.8593120606793, 6.48763965485339 51.8589935863357, 6.48253587836989 51.8568987188405, 6.47719979756771 51.8567071819456, 6.47389521813951 51.8554748596402, 6.47250787260488 51.8538234114844, 6.46789051769277 51.8543023263063, 6.46438382159428 51.8552876689085, 6.46807007714046 51.860178074727, 6.46840223140729 51.8641766491423, 6.4712855977556 51.8645263689874, 6.47186730837422 51.8660740709587, 6.4718349263908 51.8689629286538, 6.47427805833581 51.8694300116172, 6.47538202524832 51.8707221563011, 6.47766056530222 51.8715829737143, 6.48116816201401 51.8741993963116, 6.48425193766883 51.8788469235228, 6.48319965397237 51.880777757427, 6.48140668446237 51.88240276619, 6.48210409704277 51.8827073748049, 6.48213669743577 51.8837604702034, 6.48195495721841 51.8841137498767, 6.48087559452398 51.8839340845949, 6.4806090896543 51.8842629912699, 6.48063040584435 51.8855839819235, 6.47993922530311 51.8867069425087, 6.48025026556803 51.8879468621993, 6.47902330782559 51.8882287874983, 6.47945007459665 51.8886764969723, 6.47909984583632 51.8892018139428, 6.4799867718958 51.8895345889262, 6.48041570690872 51.8939847591473, 6.47880127528203 51.8973130622503, 6.47567880428618 51.9017618946693, 6.47606464717077 51.901972777202))"
