Gemeentenaam,distance,WeerStation
Groningen,179.19902305744986,HERWIJNEN
Groningen,52.305793126959344,HOOGEVEEN
Groningen,83.04679004052285,HOORN (TERSCHELLING)
Groningen,128.24775438600602,HUPSEL
Groningen,53.85191785836593,LEEUWARDEN
Groningen,109.92452662808047,LELYSTAD
Groningen,263.1885740844916,MAASTRICHT
Groningen,73.05785408477578,MARKNESSE
Groningen,39.62777374714427,NIEUW BEERTA
Groningen,200.14751330427998,ROTTERDAM
Groningen,155.93170570222313,SCHIPHOL
Groningen,86.49392246164278,STAVOREN
Groningen,107.63448349641412,TWENTHE
Groningen,187.0595202309329,VOORSCHOTEN
Groningen,282.65116345213943,VLISSINGEN
Groningen,183.0805608948208,VOLKEL
Groningen,288.3982627682472,WESTDORPE
Grootegast,190.58205339114028,ARCEN
Grootegast,107.73152727715906,BERKHOUT
Grootegast,165.6545524117638,CABAUW
Grootegast,131.31979529434946,DEELEN
Grootegast,144.16559148074256,DE BILT
Grootegast,105.17758050541065,DE KOOY
Grootegast,22.56492119255069,EELDE
Grootegast,205.15030653233947,EINDHOVEN
Grootegast,204.49409339716752,GILZE-RIJEN
Grootegast,168.83829520367794,HERWIJNEN
Grootegast,54.90013688524484,HOOGEVEEN
Grootegast,65.39583768724702,HOORN (TERSCHELLING)
Grootegast,129.52628845482332,HUPSEL
Grootegast,35.21595302884691,LEEUWARDEN
Grootegast,98.06698702115209,LELYSTAD
Grootegast,258.79791812010484,MAASTRICHT
Grootegast,62.23066644770923,MARKNESSE
Grootegast,58.24450007219307,NIEUW BEERTA
Grootegast,186.26331488185008,ROTTERDAM
Grootegast,141.2430786135434,SCHIPHOL
Grootegast,69.31333494894493,STAVOREN
Grootegast,112.06733909432867,TWENTHE
Grootegast,172.23527239486154,VOORSCHOTEN
Grootegast,268.5802938560998,VLISSINGEN
Grootegast,176.9116126735344,VOLKEL
Grootegast,275.7154097230355,WESTDORPE
Haren,186.9665729233774,ARCEN
Haren,124.11250800262806,BERKHOUT
Haren,174.97041425812418,CABAUW
Haren,132.60082104611908,DEELEN
Haren,152.71300839622387,DE BILT
Haren,125.6800126813569,DE KOOY
Haren,4.256111593013767,EELDE
Haren,207.93154374128554,EINDHOVEN
Haren,210.92127479397652,GILZE-RIJEN
Haren,175.6819491506952,HERWIJNEN
Haren,45.553917437853926,HOOGEVEEN
Haren,88.5776168396179,HOORN (TERSCHELLING)
Haren,121.27968520614343,HUPSEL
Haren,58.16998977723172,LEEUWARDEN
Haren,107.3984472180454,LELYSTAD
Haren,257.38704894439945,MAASTRICHT
Haren,70.44951502767141,MARKNESSE
Haren,35.98297511232825,NIEUW BEERTA
Haren,198.36660383837625,ROTTERDAM
Haren,154.75477822403138,SCHIPHOL
Haren,87.5617740947693,STAVOREN
Haren,100.18208403804435,TWENTHE
Haren,185.88807661073932,VOORSCHOTEN
Haren,280.86738539710046,VLISSINGEN
Haren,177.94525565098652,VOLKEL
Haren,285.82606224145934,WESTDORPE
Hoogezand-Sappemeer,188.35690108556867,ARCEN
Hoogezand-Sappemeer,131.7455938876217,BERKHOUT
Hoogezand-Sappemeer,180.6637275068356,CABAUW
Hoogezand-Sappemeer,135.9968562868672,DEELEN
Hoogezand-Sappemeer,158.26008296232467,DE BILT
Hoogezand-Sappemeer,134.06040792262647,DE KOOY
Hoogezand-Sappemeer,11.187376787820005,EELDE
Hoogezand-Sappemeer,211.49880144930745,EINDHOVEN
Hoogezand-Sappemeer,215.65433269056817,GILZE-RIJEN
Hoogezand-Sappemeer,180.64130295459134,HERWIJNEN
Hoogezand-Sappemeer,46.73616476426351,HOOGEVEEN
Hoogezand-Sappemeer,96.80201747916242,HOORN (TERSCHELLING)
Hoogezand-Sappemeer,121.24927805143369,HUPSEL
Hoogezand-Sappemeer,66.67301286593371,LEEUWARDEN
Hoogezand-Sappemeer,113.4060760080962,LELYSTAD
Hoogezand-Sappemeer,259.3889966795793,MAASTRICHT
Hoogezand-Sappemeer,76.57775320512934,MARKNESSE
Hoogezand-Sappemeer,27.5316404527978,NIEUW BEERTA
Hoogezand-Sappemeer,204.7862352271148,ROTTERDAM
Hoogezand-Sappemeer,161.6387501064357,SCHIPHOL
Hoogezand-Sappemeer,95.65676264994752,STAVOREN
Hoogezand-Sappemeer,98.80324040352971,TWENTHE
Hoogezand-Sappemeer,192.7412372320576,VOORSCHOTEN
Hoogezand-Sappemeer,287.230074442082,VLISSINGEN
Hoogezand-Sappemeer,181.02310721666348,VOLKEL
Hoogezand-Sappemeer,291.55665040445496,WESTDORPE
Leek,186.39443904950122,ARCEN
Leek,110.75812206701572,BERKHOUT
Leek,165.81070305420587,CABAUW
Leek,128.52311481539797,DEELEN
Leek,143.98077003677125,DE BILT
Leek,110.35621824759627,DE KOOY
Leek,14.76396348181797,EELDE
Leek,203.01483353252732,EINDHOVEN
Leek,203.63278975287741,GILZE-RIJEN
Leek,168.0713458643061,HERWIJNEN
Leek,48.5191148247136,HOOGEVEEN
Leek,73.09815324548593,HOORN (TERSCHELLING)
Leek,123.91679292870751,HUPSEL
Leek,42.21516826309826,LEEUWARDEN
Leek,98.02011944886799,LELYSTAD
Leek,255.36085717077614,MAASTRICHT
Leek,61.449987661987386,MARKNESSE
Leek,51.754830200844374,NIEUW BEERTA
Leek,187.5578340880788,ROTTERDAM
Leek,143.0541831414412,SCHIPHOL
Leek,73.15098267997371,STAVOREN
Leek,105.52377410500101,TWENTHE
Leek,174.15768082901482,VOORSCHOTEN
Leek,270.02338254191386,VLISSINGEN
Leek,174.1496745043029,VOLKEL
Leek,276.300420962427,WESTDORPE
Loppersum,208.64428993314738,ARCEN
Loppersum,141.0651388687675,BERKHOUT
Loppersum,195.68393934202965,CABAUW
Loppersum,154.64535179704944,DEELEN
Loppersum,173.62327692879927,DE BILT
Loppersum,138.4258568180197,DE KOOY
Loppersum,26.278444579172465,EELDE
Loppersum,229.9378167939682,EINDHOVEN
Loppersum,232.44742978766885,GILZE-RIJEN
Loppersum,197.07797721393473,HERWIJNEN
Loppersum,66.98320964909705,HOOGEVEEN
Loppersum,92.27768688247791,HOORN (TERSCHELLING)
Loppersum,142.02498750325185,HUPSEL
Loppersum,66.59422123054497,LEEUWARDEN
Loppersum,127.91194904939428,LELYSTAD
Loppersum,279.30661185040043,MAASTRICHT
Loppersum,91.04269369642384,MARKNESSE
Loppersum,32.53021007493332,NIEUW BEERTA
Loppersum,218.01346022726602,ROTTERDAM
Loppersum,173.61533665678704,SCHIPHOL
Loppersum,102.905346781812,STAVOREN
Loppersum,119.62210802177452,TWENTHE
Loppersum,204.72226275632397,VOORSCHOTEN
Loppersum,300.50319925721095,VLISSINGEN
Loppersum,200.00504475713214,VOLKEL
Loppersum,306.3818537289122,WESTDORPE
Marum,184.77067135672658,ARCEN
Marum,104.64362897341363,BERKHOUT
Marum,160.98285837175632,CABAUW
Marum,125.68111031965053,DEELEN
Marum,139.3405640511418,DE BILT
Marum,103.83804788987558,DE KOOY
Marum,20.628064701698168,EELDE
Marum,199.6776246784986,EINDHOVEN
Marum,199.42074326833875,GILZE-RIJEN
Marum,163.79203027351434,HERWIJNEN
Marum,49.44476212543097,HOOGEVEEN
Marum,67.63977146617003,HOORN (TERSCHELLING)
Marum,123.78903253488598,HUPSEL
Marum,36.15795434159578,LEEUWARDEN
Marum,93.27464893120413,LELYSTAD
Marum,253.0648277642702,MAASTRICHT
Marum,57.10441548707058,MARKNESSE
Marum,58.22102156119446,NIEUW BEERTA
Marum,182.15103222533585,ROTTERDAM
Marum,137.40372528008416,SCHIPHOL
Marum,66.7972198081519,STAVOREN
Marum,106.61326326489956,TWENTHE
Marum,168.46963253213488,VOORSCHOTEN
Marum,264.5603703092649,VLISSINGEN
Marum,171.2888643678953,VOLKEL
Marum,271.25959237739136,WESTDORPE
Almere,116.96499959683422,ARCEN
Almere,35.72142040314327,BERKHOUT
Almere,47.83028404762603,CABAUW
Almere,55.843913318502445,DEELEN
Almere,29.002680757123155,DE BILT
Almere,69.97149143256833,DE KOOY
Almere,125.41690241708069,EELDE
Almere,101.62856294706708,EINDHOVEN
Almere,90.43931199348336,GILZE-RIJEN
Almere,55.91855185896674,HERWIJNEN
Almere,101.46755656892581,HOOGEVEEN
Almere,115.21852558414767,HOORN (TERSCHELLING)
Almere,103.25068078003552,HUPSEL
Almere,102.6421083212403,LEEUWARDEN
Almere,23.046987373088133,LELYSTAD
Almere,165.96264729654916,MAASTRICHT
Almere,59.19183302702041,MARKNESSE
Almere,159.96549114253602,NIEUW BEERTA
Almere,69.05755449752398,ROTTERDAM
Almere,29.81568633378029,SCHIPHOL
Almere,60.93283950900304,STAVOREN
Almere,114.19212541322818,TWENTHE
Almere,58.872342470011105,VOORSCHOTEN
Almere,151.47561380664865,VLISSINGEN
Almere,84.73839690022679,VOLKEL
Almere,157.22520487634688,WESTDORPE
Stadskanaal,176.8357525330249,ARCEN
Stadskanaal,142.62085958171244,BERKHOUT
Stadskanaal,182.54152415220946,CABAUW
Stadskanaal,130.91231459532264,DEELEN
Stadskanaal,159.89102052120393,DE BILT
Stadskanaal,149.8880768673393,DE KOOY
Stadskanaal,31.24337103945376,EELDE
Stadskanaal,205.92039195360354,EINDHOVEN
Stadskanaal,213.7886688335831,GILZE-RIJEN
Stadskanaal,179.8944425229579,HERWIJNEN
Stadskanaal,40.91321701617663,HOOGEVEEN
Stadskanaal,119.0377547415266,HOORN (TERSCHELLING)
Stadskanaal,107.0915484772451,HUPSEL
Stadskanaal,87.49557898951814,LEEUWARDEN
Stadskanaal,117.64500637978503,LELYSTAD
Stadskanaal,248.99011719956727,MAASTRICHT
Stadskanaal,82.7011773719144,MARKNESSE
Stadskanaal,23.053309917601414,NIEUW BEERTA
Stadskanaal,209.2654896425679,ROTTERDAM
Stadskanaal,168.53092402392818,SCHIPHOL
Stadskanaal,109.83089821270788,STAVOREN
Stadskanaal,81.98207696001005,TWENTHE
Stadskanaal,199.17347159301477,VOORSCHOTEN
Stadskanaal,290.9806430334759,VLISSINGEN
Stadskanaal,174.27616249973485,VOLKEL
Stadskanaal,292.79159715888466,WESTDORPE
Slochteren,197.23236152995273,ARCEN
Slochteren,138.8995801348718,BERKHOUT
Slochteren,189.3493602776387,CABAUW
Slochteren,145.12284660231285,DEELEN
Slochteren,167.00069284518653,DE BILT
Slochteren,139.57045551184157,DE KOOY
Slochteren,18.72371729156898,EELDE
Slochteren,220.62313381816645,EINDHOVEN
Slochteren,224.64458677375154,GILZE-RIJEN
Slochteren,189.57404626443662,HERWIJNEN
Slochteren,55.71571403387363,HOOGEVEEN
Slochteren,98.67315857621676,HOORN (TERSCHELLING)
Slochteren,129.72165562310357,HUPSEL
Slochteren,70.12301743685735,LEEUWARDEN
Slochteren,121.92993790494155,LELYSTAD
Slochteren,268.38221398821855,MAASTRICHT
Slochteren,85.01870467463688,MARKNESSE
Slochteren,23.583251601344347,NIEUW BEERTA
Slochteren,213.09227831673175,ROTTERDAM
Slochteren,169.59834803209853,SCHIPHOL
Slochteren,102.03646907861817,STAVOREN
Slochteren,106.70936719916907,TWENTHE
Slochteren,200.72842895849905,VOORSCHOTEN
Slochteren,295.5777907144564,VLISSINGEN
Slochteren,190.14393437237305,VOLKEL
Slochteren,300.23706939367185,WESTDORPE
Veendam,183.0670745164799,ARCEN
Veendam,137.67142866533945,BERKHOUT
Veendam,182.16736916812013,CABAUW
Veendam,133.8365907602014,DEELEN
Veendam,159.58120040584484,DE BILT
Veendam,142.49146203546698,DE KOOY
Veendam,20.660030911961393,EELDE
Veendam,209.2803424781222,EINDHOVEN
Veendam,215.32864400366375,GILZE-RIJEN
Veendam,180.81559505875623,HERWIJNEN
Veendam,43.09974624763943,HOOGEVEEN
Veendam,108.32218963441161,HOORN (TERSCHELLING)
Veendam,114.44602533841297,HUPSEL
Veendam,77.43844386922183,LEEUWARDEN
Veendam,115.87332239104839,LELYSTAD
Veendam,254.76577870588324,MAASTRICHT
Veendam,79.72785863279964,MARKNESSE
Veendam,21.30678105688766,NIEUW BEERTA
Veendam,207.65134135715252,ROTTERDAM
Veendam,165.633090354572,SCHIPHOL
Veendam,103.12606423612179,STAVOREN
Veendam,90.56671094666996,TWENTHE
Veendam,196.56975818673556,VOORSCHOTEN
Veendam,289.82777505412326,VLISSINGEN
Veendam,178.15296210098708,VOLKEL
Veendam,292.8902792667869,WESTDORPE
Vlagtwedde,174.44454004519494,ARCEN
Vlagtwedde,146.64358265830094,BERKHOUT
Vlagtwedde,184.07220643480764,CABAUW
Vlagtwedde,130.68752413391312,DEELEN
Vlagtwedde,161.4349799315,DE BILT
Vlagtwedde,155.06534966551905,DE KOOY
Vlagtwedde,37.96377693427378,EELDE
Vlagtwedde,205.25777196397402,EINDHOVEN
Vlagtwedde,214.1838755952536,GILZE-RIJEN
Vlagtwedde,180.7017508830912,HERWIJNEN
Vlagtwedde,42.186793826229696,HOOGEVEEN
Vlagtwedde,125.62454910683252,HOORN (TERSCHELLING)
Vlagtwedde,104.14954796643714,HUPSEL
Vlagtwedde,93.88010697862106,LEEUWARDEN
Vlagtwedde,120.12003966044131,LELYSTAD
Vlagtwedde,246.7970145521561,MAASTRICHT
Vlagtwedde,85.99808775787099,MARKNESSE
Vlagtwedde,25.78424086463763,NIEUW BEERTA
Vlagtwedde,211.43350245298583,ROTTERDAM
Vlagtwedde,171.45210367879065,SCHIPHOL
Vlagtwedde,114.77453400735409,STAVOREN
Vlagtwedde,78.29835477116802,TWENTHE
Vlagtwedde,201.88747234200696,VOORSCHOTEN
Vlagtwedde,292.8138834952439,VLISSINGEN
Vlagtwedde,173.35773146966406,VOLKEL
Vlagtwedde,293.9263189552644,WESTDORPE
Zeewolde,106.79577861697359,ARCEN
Zeewolde,47.399256243307796,BERKHOUT
Zeewolde,57.16596387402703,CABAUW
Zeewolde,42.182515578496975,DEELEN
Zeewolde,34.909770895551496,DE BILT
Zeewolde,79.97846837106191,DE KOOY
Zeewolde,113.68222874099472,EELDE
Zeewolde,100.44655452152722,EINDHOVEN
Zeewolde,95.19937062043726,GILZE-RIJEN
Zeewolde,59.51916620728001,HERWIJNEN
Zeewolde,86.11397245444728,HOOGEVEEN
Zeewolde,116.20204550180613,HOORN (TERSCHELLING)
Zeewolde,85.98596479476058,HUPSEL
Zeewolde,98.7664044473674,LEEUWARDEN
Zeewolde,12.102810703401651,LELYSTAD
Zeewolde,161.92997216152784,MAASTRICHT
Zeewolde,47.71351488253009,MARKNESSE
Zeewolde,146.44730586027146,NIEUW BEERTA
Zeewolde,83.25645092142763,ROTTERDAM
Zeewolde,47.584633055652674,SCHIPHOL
Zeewolde,61.2330690168192,STAVOREN
Zeewolde,96.20406150013028,TWENTHE
Zeewolde,75.36752907289414,VOORSCHOTEN
Zeewolde,164.79501181942715,VLISSINGEN
Zeewolde,78.50540905064884,VOLKEL
Zeewolde,168.0587303169729,WESTDORPE
Skarsterl�n,165.76869977552326,ARCEN
Skarsterl�n,65.4333549047639,BERKHOUT
Skarsterl�n,125.49196121326321,CABAUW
Skarsterl�n,101.49327003897551,DEELEN
Skarsterl�n,104.95175713521682,DE BILT
Skarsterl�n,67.96794064310903,DE KOOY
Skarsterl�n,56.14528145624384,EELDE
Skarsterl�n,170.99831896303368,EINDHOVEN
Skarsterl�n,166.4040466501262,GILZE-RIJEN
Skarsterl�n,130.81597127577308,HERWIJNEN
Skarsterl�n,58.044279830474814,HOOGEVEEN
Skarsterl�n,55.87672419942878,HOORN (TERSCHELLING)
Skarsterl�n,115.93330884397378,HUPSEL
Skarsterl�n,28.750869135624967,LEEUWARDEN
Skarsterl�n,59.47658868586513,LELYSTAD
Skarsterl�n,229.2914312882222,MAASTRICHT
Skarsterl�n,30.07484348283651,MARKNESSE
Skarsterl�n,94.63132302168178,NIEUW BEERTA
Skarsterl�n,144.32579342158994,ROTTERDAM
Skarsterl�n,98.96131720638445,SCHIPHOL
Skarsterl�n,28.357749657919275,STAVOREN
Skarsterl�n,107.2358005533786,TWENTHE
Skarsterl�n,129.86137765033322,VOORSCHOTEN
Skarsterl�n,226.4344060240874,VLISSINGEN
Skarsterl�n,145.61961307277707,VOLKEL
Skarsterl�n,234.48252693074855,WESTDORPE
Winsum,205.75592225714303,ARCEN
Winsum,127.93441171013973,BERKHOUT
Winsum,185.7004539083787,CABAUW
Winsum,148.77557026132996,DEELEN
