,Gemeentenaam,distance,WeerStation
10465,FERWERDERADIEL,12.244114931530945,LEEUWARDEN
715,FRANEKERADEEL,14.789007408863652,LEEUWARDEN
6806,GAASTERL�N-SLEAT,10.832889347993516,STAVOREN
7730,GEERTRUIDENBERG,15.234487213725323,GILZE-RIJEN
2271,GELDERMALSEN,6.935558256534955,HERWIJNEN
10745,GELDROP-MIERLO,14.836321562829088,EINDHOVEN
9696,GEMERT-BAKEL,13.531414274709984,VOLKEL
8916,GENNEP,20.021338024622505,VOLKEL
6996,GIESSENLANDEN,10.723835849274716,CABAUW
7756,GILZE EN RIJEN,1.783831794363955,GILZE-RIJEN
5400,GOEDEREEDE,37.5965279850801,ROTTERDAM
6861,GOES,19.60714976735718,VLISSINGEN
7782,GOIRLE,9.210986457791012,GILZE-RIJEN
5417,GORINCHEM,11.82160484689685,HERWIJNEN
5436,GOUDA,15.857141436378956,CABAUW
7022,GRAAFSTROOM,12.699009286038942,CABAUW
3797,GRAFT-DE RIJP,14.758074766879783,BERKHOUT
7824,GRAVE,9.763948405334231,VOLKEL
2312,GROESBEEK,21.09404178859507,VOLKEL
136,GRONINGEN,10.713731633452534,EELDE
162,GROOTEGAST,22.564921192551044,EELDE
10571,GULPEN-WITTEM,15.048113936689038,MAASTRICHT
1442,HAAKSBERGEN,11.667267732573189,HUPSEL
7834,HAAREN,21.574571476511583,GILZE-RIJEN
4127,HAARLEM,12.374101786198189,SCHIPHOL
4153,HAARLEMMERLIEDE EN SPAARNWOUDE,10.356982693580203,SCHIPHOL
4179,HAARLEMMERMEER,8.54164615903554,SCHIPHOL
9706,HALDERBERGE,28.935321405720455,GILZE-RIJEN
1466,HARDENBERG,18.416249172212535,HOOGEVEEN
2328,HARDERWIJK,15.35403275797571,LELYSTAD
5488,HARDINXVELD-GIESSENDAM,16.09463737270554,CABAUW
188,HAREN,4.256111593013767,EELDE
4187,HARENKARSPEL,17.47299550020725,BERKHOUT
741,HARLINGEN,21.358375423786445,LEEUWARDEN
2356,HATTEM,27.13753414432823,MARKNESSE
4231,HEEMSKERK,22.39404108840171,SCHIPHOL
4257,HEEMSTEDE,12.24876174917908,SCHIPHOL
2382,HEERDE,35.600961208493,MARKNESSE
767,HEERENVEEN,31.836894164813547,LEEUWARDEN
4265,HEERHUGOWAARD,9.719580586758378,BERKHOUT
8933,HEERLEN,14.688493426840038,MAASTRICHT
9731,HEEZE-LEENDE,16.62416153721738,EINDHOVEN
4291,HEILOO,18.83026329188159,BERKHOUT
1503,HELLENDOORN,31.515796929771533,TWENTHE
5530,HELLEVOETSLUIS,25.12673928843029,ROTTERDAM
7859,HELMOND,19.73291549834647,EINDHOVEN
5556,HENDRIK-IDO-AMBACHT,18.97218225025246,ROTTERDAM
1529,HENGELO,6.86842741232978,TWENTHE
663,HET BILDT,7.896291027019213,LEEUWARDEN
2416,HEUMEN,15.524795123258194,VOLKEL
7913,HEUSDEN,17.74670926259156,HERWIJNEN
5609,HILLEGOM,14.475478118551935,SCHIPHOL
7937,HILVARENBEEK,16.487143830123316,EINDHOVEN
4346,HILVERSUM,16.153728220375793,DE BILT
10672,HOF VAN TWENTE,18.57328787802796,HUPSEL
1232,HOOGEVEEN,5.396157242362325,HOOGEVEEN
214,HOOGEZAND-SAPPEMEER,11.187376787820355,EELDE
4369,HOORN,5.944139756227819,BERKHOUT
9412,HORST AAN DE MAAS,9.53231239754752,ARCEN
3254,HOUTEN,10.463169801860529,DE BILT
4398,HUIZEN,21.8646055466008,DE BILT
6915,HULST,21.760476243206,WESTDORPE
3590,IJSSELSTEIN,9.618732511764607,CABAUW
10968,KAAG EN BRAASSEM,14.373443332887096,VOORSCHOTEN
1550,KAMPEN,15.708216223236592,MARKNESSE
6939,KAPELLE,26.289816779583035,VLISSINGEN
5638,KATWIJK,5.416380857705905,VOORSCHOTEN
8959,KERKRADE,20.635598415135124,MAASTRICHT
9543,KOGGENLAND,2.1277554668051057,BERKHOUT
793,KOLLUMERLAND EN NIEUWKRUISLAND,29.87165570245427,LEEUWARDEN
6076,KORENDIJK,22.63675127979544,ROTTERDAM
5660,KRIMPEN AAN DEN IJSSEL,11.321263814737383,ROTTERDAM
9774,LAARBEEK,15.61013626760321,VOLKEL
10060,LANDERD,7.272382724803503,VOLKEL
8751,LANDGRAAF,19.2339552321987,MAASTRICHT
4465,LANDSMEER,17.475504436166318,SCHIPHOL
4473,LANGEDIJK,13.92502306470524,BERKHOUT
9586,LANSINGERLAND,5.878760486470607,ROTTERDAM
4502,LAREN,17.010648490909904,DE BILT
240,LEEK,14.76396348181868,EELDE
5677,LEERDAM,6.078426241490252,HERWIJNEN
819,LEEUWARDEN,4.697423395920725,LEEUWARDEN
845,LEEUWARDERADEEL,4.391917619472506,LEEUWARDEN
5716,LEIDEN,3.672740900774641,VOORSCHOTEN
5742,LEIDERDORP,7.094386541077499,VOORSCHOTEN
11124,LEIDSCHENDAM-VOORBURG,6.351016525087891,VOORSCHOTEN
9400,LELYSTAD,10.958978248906044,LELYSTAD
874,LEMSTERLAND,19.684889472877952,MARKNESSE
9609,LEUDAL,36.38174843761891,MAASTRICHT
3280,LEUSDEN,18.40053286692452,DE BILT
7048,LIESVELD,7.994224313372224,CABAUW
7263,LINGEWAAL,4.685887494954476,HERWIJNEN
10247,LINGEWAARD,17.733316926325575,DEELEN
5768,LISSE,14.653352511152754,VOORSCHOTEN
7965,LITH,21.79818083109385,HERWIJNEN
1287,LITTENSERADIEL,13.020626681591784,LEEUWARDEN
2430,LOCHEM,26.035306020732275,HUPSEL
3321,LOENEN,18.453843630000588,SCHIPHOL
7990,LOON OP ZAND,12.114993591341053,GILZE-RIJEN
3330,LOPIK,2.490235845260842,CABAUW
266,LOPPERSUM,26.278444579172117,EELDE
1581,LOSSER,7.210507317383553,TWENTHE
3358,MAARSSEN,9.57346345699018,DE BILT
9878,MAASDONK,18.824731626379386,VOLKEL
2453,MAASDRIEL,13.275126154083202,HERWIJNEN
9635,MAASGOUW,29.077108336395508,MAASTRICHT
5790,MAASSLUIS,14.140054594551785,ROTTERDAM
8985,MAASTRICHT,6.975905130427596,MAASTRICHT
9011,MARGRATEN,10.738068273206428,MAASTRICHT
292,MARUM,20.628064701698168,EELDE
4525,MEDEMBLIK,10.087604919862171,BERKHOUT
9037,MEERSSEN,0.5487136220726804,MAASTRICHT
897,MENALDUMADEEL,5.307747668483953,LEEUWARDEN
11197,MENTERWOLDE,18.415107914407887,NIEUW BEERTA
1264,MEPPEL,21.51488257748152,MARKNESSE
6991,MIDDELBURG,8.375489558913543,VLISSINGEN
5816,MIDDELHARNIS,31.418114962008094,ROTTERDAM
10860,MIDDEN-DELFLAND,9.12455221537344,ROTTERDAM
10618,MIDDEN-DRENTHE,14.264914462194133,HOOGEVEEN
8032,MILL EN SINT HUBERT,5.429553336932003,VOLKEL
2473,MILLINGEN AAN DE RIJN,24.027841683863137,DEELEN
10330,MOERDIJK,28.261492135056837,GILZE-RIJEN
11157,MONTFERLAND,28.82823821047136,DEELEN
3382,MONTFOORT,9.194054755281368,CABAUW
9072,MOOK EN MIDDELAAR,16.7629748607471,VOLKEL
4569,MUIDEN,19.001979068173497,SCHIPHOL
4580,NAARDEN,22.02868964561021,DE BILT
10689,NEDER-BETUWE,24.58853510975852,DEELEN
6752,NEDERLEK,16.26779070423939,ROTTERDAM
9081,NEDERWEERT,34.01965663821251,EINDHOVEN
3025,NEERIJNEN,10.236187542597555,HERWIJNEN
4421,NIEDORP,15.33829336204837,BERKHOUT
5894,NIEUW-LEKKERLAND,17.214306186605832,ROTTERDAM
3644,NIEUWEGEIN,9.74234834188758,DE BILT
5869,NIEUWKOOP,16.69656483526941,SCHIPHOL
1138,NIJEFURD,5.233224739975079,STAVOREN
2500,NIJKERK,25.136043880919683,DE BILT
2546,NIJMEGEN,22.10130962880246,VOLKEL
10111,NOORD-BEVELAND,19.31691988981859,VLISSINGEN
10146,NOORDENVELD,8.909540043488654,EELDE
1602,NOORDOOSTPOLDER,6.730122155657996,MARKNESSE
5924,NOORDWIJK,12.252919370138134,VOORSCHOTEN
5950,NOORDWIJKERHOUT,15.019040427951186,VOORSCHOTEN
8041,"NUENEN, GERWEN EN NEDERWETTEN",11.958793791085087,EINDHOVEN
2978,NUNSPEET,21.465805569465942,LELYSTAD
9115,NUTH,7.2956087952257,MAASTRICHT
5976,OEGSTGEEST,5.364826753562608,VOORSCHOTEN
8067,OIRSCHOT,7.384040841520639,EINDHOVEN
8093,OISTERWIJK,17.201232997507883,EINDHOVEN
11067,OLDAMBT,6.70532926597294,NIEUW BEERTA
2564,OLDEBROEK,26.53661595936814,MARKNESSE
1633,OLDENZAAL,4.649598239403505,TWENTHE
10767,OLST-WIJHE,39.922601458301,DEELEN
1648,OMMEN,27.31954606361562,HOOGEVEEN
8725,ONDERBANKEN,15.711466079973018,MAASTRICHT
9528,OOST GELRE,7.733447409175299,HUPSEL
8120,OOSTERHOUT,9.209068937874257,GILZE-RIJEN
5998,OOSTFLAKKEE,31.3222783936803,ROTTERDAM
916,OOSTSTELLINGWERF,27.71060406450316,EELDE
4621,OOSTZAAN,15.723672224802106,SCHIPHOL
4629,OPMEER,7.769728404923322,BERKHOUT
949,OPSTERLAND,30.169568368381032,LEEUWARDEN
8162,OSS,15.842520974719504,VOLKEL
6024,OUD-BEIJERLAND,16.642883535827412,ROTTERDAM
9450,OUDE IJSSELSTREEK,25.99002637084482,HUPSEL
4673,OUDER-AMSTEL,8.97450826549602,SCHIPHOL
6778,OUDERKERK,15.43040853290433,ROTTERDAM
6086,OUDEWATER,7.911168658689373,CABAUW
10637,OVERBETUWE,15.914835650165683,DEELEN
6112,PAPENDRECHT,21.53386429165113,CABAUW
11024,PEEL EN MAAS,22.82092029399707,ARCEN
7609,PEKELA,17.761292137415253,NIEUW BEERTA
11146,PIJNACKER-NOOTDORP,6.8288084420851884,ROTTERDAM
4681,PURMEREND,15.344112303673036,BERKHOUT
2588,PUTTEN,23.340902402102785,LELYSTAD
1680,RAALTE,42.018413822073,MARKNESSE
6138,REEUWIJK,15.430844898668491,CABAUW
7097,REIMERSWAAL,30.006553152308783,WESTDORPE
2603,RENKUM,8.931710695504254,DEELEN
