Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam,GemiddeldAardgasverbruik,GemiddeldElektriciteitsverbruik,WeerStation,pctzon_gemiddeld,FG_gemiddeld,Kleur,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
1681,BORGER-ODOORN,22,DRENTHE,538850.0,911130.0,HOOGEVEEN,36.3,4.0,ROOD,7379.0,29732.0
147,BORNE,23,OVERIJSSEL,175480.0,409680.0,TWENTHE,35.7,3.5,GEEL,4665.0,17479.0
654,BORSELE,29,ZEELAND,384480.0,811870.0,VLISSINGEN,40.2,6.4,NO RESTRICTIONS,8331.0,24539.0
756,BOXMEER,30,NOORD-BRABANT,413560.0,944210.0,VOLKEL,37.2,3.7,ROOD,6058.0,27107.0
757,BOXTEL,30,NOORD-BRABANT,206950.0,465680.0,EINDHOVEN,36.9,3.8,ROOD,6668.0,25871.0
758,BREDA,30,NOORD-BRABANT,597810.0,1489390.0,GILZE-RIJEN,36.9,3.7,ROOD,17476.0,61714.0
501,BRIELLE,28,ZUID-HOLLAND,160700.0,405030.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,2461.0,7500.0
1876,BRONCKHORST,25,GELDERLAND,535860.0,1072460.0,HUPSEL,   36.3,3.4,NO RESTRICTIONS,8130.0,32303.0
213,BRUMMEN,25,GELDERLAND,459970.0,901220.0,DEELEN,35.0,3.8,NO RESTRICTIONS,4154.0,15981.0
899,BRUNSSUM,31,LIMBURG,429980.0,901530.0,MAASTRICHT,36.1,4.2,WIT,5849.0,20775.0
312,BUNNIK,26,UTRECHT,127070.0,252630.0,DE BILT,36.4,3.6,NO RESTRICTIONS,3534.0,12165.0
313,BUNSCHOTEN,26,UTRECHT,127450.0,286270.0,DE BILT,36.4,3.6,NO RESTRICTIONS,2926.0,10177.0
214,BUREN,25,GELDERLAND,458630.0,1008340.0,HERWIJNEN,37.6,4.1,NO RESTRICTIONS,4970.0,19542.0
502,CAPELLE AAN DEN IJSSEL,28,ZUID-HOLLAND,440560.0,1411130.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,5543.0,13962.0
383,CASTRICUM,27,NOORD-HOLLAND,300400.0,584060.0,BERKHOUT,   38.6,,NO RESTRICTIONS,10408.0,29881.0
109,COEVORDEN,22,DRENTHE,642850.0,1212390.0,HOOGEVEEN,36.3,4.0,ROOD,11855.0,39609.0
1706,CRANENDONCK,30,NOORD-BRABANT,228070.0,512690.0,EINDHOVEN,36.9,3.8,ROOD,4399.0,18354.0
1684,CUIJK,30,NOORD-BRABANT,256880.0,580590.0,VOLKEL,37.2,3.7,ROOD,5190.0,19143.0
216,CULEMBORG,25,GELDERLAND,91090.0,216680.0,HERWIJNEN,37.6,4.1,NO RESTRICTIONS,6615.0,19788.0
148,DALFSEN,23,OVERIJSSEL,395300.0,794440.0,HOOGEVEEN,36.3,4.0,ROOD,9435.0,34710.0
1891,DANTUMADIEL,21,FRIESLAND,197180.0,336070.0,LEEUWARDEN,38.0,4.7,NO RESTRICTIONS,4053.0,14206.0
503,DELFT,28,ZUID-HOLLAND,566810.0,1417260.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,10476.0,25756.0
10,DELFZIJL,20,GRONINGEN,473330.0,805680.0,NIEUW BEERTA,36.6,5.0,ROOD,7774.0,26415.0
762,DEURNE,30,NOORD-BRABANT,251670.0,567460.0,VOLKEL,37.2,3.7,ROOD,5301.0,21832.0
150,DEVENTER,23,OVERIJSSEL,760360.0,1607220.0,DEELEN,35.0,3.8,ORANJE,15112.0,50088.0
384,DIEMEN,27,NOORD-HOLLAND,196690.0,609060.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,3059.0,10009.0
1774,DINKELLAND,23,OVERIJSSEL,612780.0,1289620.0,TWENTHE,35.7,3.5,GEEL,5301.0,23487.0
221,DOESBURG,25,GELDERLAND,85550.0,181290.0,DEELEN,35.0,3.8,NO RESTRICTIONS,1845.0,6548.0
222,DOETINCHEM,25,GELDERLAND,821220.0,1743140.0,HUPSEL,   36.3,3.4,NO RESTRICTIONS,13163.0,44752.0
766,DONGEN,30,NOORD-BRABANT,176990.0,409310.0,GILZE-RIJEN,36.9,3.7,ORANJE,4287.0,15913.0
505,DORDRECHT,28,ZUID-HOLLAND,909800.0,2111670.0,CABAUW,      -,4.3,NO RESTRICTIONS,9634.0,29680.0
498,DRECHTERLAND,27,NOORD-HOLLAND,229160.0,468980.0,BERKHOUT,   38.6,,NO RESTRICTIONS,5352.0,18490.0
1719,DRIMMELEN,30,NOORD-BRABANT,206560.0,486670.0,GILZE-RIJEN,36.9,3.7,ORANJE,4033.0,14846.0
303,DRONTEN,24,FLEVOLAND,365050.0,846110.0,LELYSTAD,37.6,4.4,NO RESTRICTIONS,11522.0,42935.0
225,DRUTEN,25,GELDERLAND,182940.0,394250.0,VOLKEL,37.2,3.7,NO RESTRICTIONS,3401.0,13107.0
226,DUIVEN,25,GELDERLAND,116880.0,448020.0,DEELEN,35.0,3.8,NO RESTRICTIONS,4568.0,17246.0
1711,ECHT-SUSTEREN,31,LIMBURG,531220.0,1102280.0,MAASTRICHT,36.1,4.2,ROOD,7827.0,31521.0
385,EDAM-VOLENDAM,27,NOORD-HOLLAND,387190.0,783580.0,BERKHOUT,   38.6,,NO RESTRICTIONS,4765.0,17036.0
228,EDE,25,GELDERLAND,838060.0,1888470.0,DEELEN,35.0,3.8,NO RESTRICTIONS,19902.0,68192.0
317,EEMNES,26,UTRECHT,103100.0,198150.0,DE BILT,36.4,3.6,NO RESTRICTIONS,3002.0,8584.0
770,EERSEL,30,NOORD-BRABANT,309690.0,650770.0,EINDHOVEN,36.9,3.8,ROOD,3793.0,16859.0
1903,EIJSDEN-MARGRATEN,31,LIMBURG,456170.0,876410.0,,,,WIT,7647.0,31486.0
772,EINDHOVEN,30,NOORD-BRABANT,1164080.0,2470070.0,EINDHOVEN,36.9,3.8,GEEL,36473.0,116556.0
230,ELBURG,25,GELDERLAND,214280.0,452310.0,LELYSTAD,37.6,4.4,NO RESTRICTIONS,5493.0,18683.0
114,EMMEN,22,DRENTHE,1042450.0,1979910.0,HOOGEVEEN,36.3,4.0,ROOD,24494.0,92379.0
388,ENKHUIZEN,27,NOORD-HOLLAND,105300.0,219980.0,STAVOREN,40.0,5.9,NO RESTRICTIONS,2850.0,8479.0
153,ENSCHEDE,23,OVERIJSSEL,756140.0,1738070.0,TWENTHE,35.7,3.5,GEEL,19383.0,67151.0
232,EPE,25,GELDERLAND,372060.0,725620.0,DEELEN,35.0,3.8,NO RESTRICTIONS,5377.0,20871.0
233,ERMELO,25,GELDERLAND,178540.0,391720.0,LELYSTAD,37.6,4.4,NO RESTRICTIONS,6715.0,23604.0
777,ETTEN-LEUR,30,NOORD-BRABANT,450830.0,1069730.0,GILZE-RIJEN,36.9,3.7,ORANJE,5745.0,22605.0
1940,DE FRYSKE MARREN,21,FRIESLAND,1023840.0,1939250.0,,,,NO RESTRICTIONS,12226.0,43707.0
779,GEERTRUIDENBERG,30,NOORD-BRABANT,110980.0,274260.0,GILZE-RIJEN,36.9,3.7,ORANJE,3063.0,11017.0
1771,GELDROP-MIERLO,30,NOORD-BRABANT,156700.0,336220.0,EINDHOVEN,36.9,3.8,GEEL,8613.0,31657.0
1652,GEMERT-BAKEL,30,NOORD-BRABANT,326900.0,779650.0,VOLKEL,37.2,3.7,ROOD,6918.0,26121.0
907,GENNEP,31,LIMBURG,208940.0,485640.0,VOLKEL,37.2,3.7,ROOD,3558.0,13680.0
784,GILZE EN RIJEN,30,NOORD-BRABANT,139540.0,343190.0,GILZE-RIJEN,36.9,3.7,ORANJE,4614.0,18772.0
1924,GOEREE-OVERFLAKKEE,28,ZUID-HOLLAND,609830.0,1346730.0,,,,NO RESTRICTIONS,12899.0,40603.0
664,GOES,29,ZEELAND,315730.0,685490.0,VLISSINGEN,40.2,6.4,NO RESTRICTIONS,11826.0,33848.0
785,GOIRLE,30,NOORD-BRABANT,443340.0,1073910.0,GILZE-RIJEN,36.9,3.7,ORANJE,3960.0,15497.0
1942,GOOISE MEREN,27,NOORD-HOLLAND,763060.0,1425580.0,,,,NO RESTRICTIONS,4993.0,15118.0
512,GORINCHEM,28,ZUID-HOLLAND,315290.0,771590.0,HERWIJNEN,37.6,4.1,NO RESTRICTIONS,3858.0,11697.0
513,GOUDA,28,ZUID-HOLLAND,477740.0,1065250.0,CABAUW,      -,4.3,NO RESTRICTIONS,9593.0,25731.0
786,GRAVE,30,NOORD-BRABANT,210730.0,454950.0,VOLKEL,37.2,3.7,ROOD,2263.0,8970.0
518,'S-GRAVENHAGE,28,ZUID-HOLLAND,1344290.0,3002430.0,VOORSCHOTEN,,,NO RESTRICTIONS,29805.0,76786.0
14,GRONINGEN,20,GRONINGEN,1195430.0,2297760.0,EELDE,   35.6,4.2,GEEL,39344.0,115059.0
1729,GULPEN-WITTEM,31,LIMBURG,395740.0,748790.0,MAASTRICHT,36.1,4.2,GEEL,3206.0,12506.0
158,HAAKSBERGEN,23,OVERIJSSEL,388070.0,824750.0,HUPSEL,   36.3,3.4,WIT,4487.0,16233.0
788,HAAREN,30,NOORD-BRABANT,193410.0,419180.0,GILZE-RIJEN,36.9,3.7,ORANJE,2948.0,11910.0
392,HAARLEM,27,NOORD-HOLLAND,1038760.0,2095650.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,14269.0,38835.0
394,HAARLEMMERMEER,27,NOORD-HOLLAND,1072340.0,2420350.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,27774.0,84633.0
1655,HALDERBERGE,30,NOORD-BRABANT,258310.0,572160.0,GILZE-RIJEN,36.9,3.7,GEEL,5562.0,20569.0
160,HARDENBERG,23,OVERIJSSEL,934010.0,1995920.0,HOOGEVEEN,36.3,4.0,ROOD,11928.0,48567.0
243,HARDERWIJK,25,GELDERLAND,641060.0,1380970.0,LELYSTAD,37.6,4.4,NO RESTRICTIONS,7587.0,23408.0
523,HARDINXVELD-GIESSENDAM,28,ZUID-HOLLAND,58010.0,137630.0,CABAUW,      -,4.3,NO RESTRICTIONS,4170.0,11022.0
72,HARLINGEN,21,FRIESLAND,140880.0,254500.0,LEEUWARDEN,38.0,4.7,NO RESTRICTIONS,7275.0,20091.0
244,HATTEM,25,GELDERLAND,144030.0,259340.0,MARKNESSE,38.2,4.2,NO RESTRICTIONS,2187.0,7694.0
396,HEEMSKERK,27,NOORD-HOLLAND,400770.0,867460.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,7531.0,23785.0
397,HEEMSTEDE,27,NOORD-HOLLAND,239170.0,439090.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,3099.0,8644.0
246,HEERDE,25,GELDERLAND,164470.0,323970.0,MARKNESSE,38.2,4.2,NO RESTRICTIONS,3457.0,13341.0
74,HEERENVEEN,21,FRIESLAND,369330.0,703280.0,LEEUWARDEN,38.0,4.7,NO RESTRICTIONS,12123.0,42175.0
398,HEERHUGOWAARD,27,NOORD-HOLLAND,445260.0,1163620.0,BERKHOUT,   38.6,,NO RESTRICTIONS,15886.0,48343.0
917,HEERLEN,31,LIMBURG,787740.0,1640560.0,MAASTRICHT,36.1,4.2,WIT,14637.0,51453.0
1658,HEEZE-LEENDE,30,NOORD-BRABANT,164670.0,348180.0,EINDHOVEN,36.9,3.8,ROOD,3289.0,14170.0
399,HEILOO,27,NOORD-HOLLAND,295130.0,546490.0,BERKHOUT,   38.6,,NO RESTRICTIONS,6020.0,18089.0
400,DEN HELDER,27,NOORD-HOLLAND,552920.0,1080000.0,DE KOOY,,,NO RESTRICTIONS,9942.0,26074.0
163,HELLENDOORN,23,OVERIJSSEL,508350.0,1033360.0,TWENTHE,35.7,3.5,ORANJE,6410.0,26443.0
530,HELLEVOETSLUIS,28,ZUID-HOLLAND,362290.0,1022550.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,4963.0,16126.0
794,HELMOND,30,NOORD-BRABANT,484830.0,1223600.0,EINDHOVEN,36.9,3.8,ORANJE,13356.0,44195.0
531,HENDRIK-IDO-AMBACHT,28,ZUID-HOLLAND,166610.0,413820.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,4201.0,12389.0
164,HENGELO,23,OVERIJSSEL,642800.0,1379150.0,TWENTHE,35.7,3.5,GEEL,9984.0,36847.0
796,'S-HERTOGENBOSCH,30,NOORD-BRABANT,985580.0,2318090.0,HERWIJNEN,37.6,4.1,GEEL,18673.0,66087.0
252,HEUMEN,25,GELDERLAND,199840.0,446440.0,VOLKEL,37.2,3.7,NO RESTRICTIONS,4226.0,16687.0
797,HEUSDEN,30,NOORD-BRABANT,303800.0,695920.0,HERWIJNEN,37.6,4.1,ORANJE,7156.0,27598.0
534,HILLEGOM,28,ZUID-HOLLAND,241350.0,579530.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,4039.0,10746.0
