Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam,GemiddeldAardgasverbruik,GemiddeldElektriciteitsverbruik,WeerStation,pctzon_gemiddeld,FG_gemiddeld,Kleur,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
944,MOOK EN MIDDELAAR,31,LIMBURG,94590.0,187650.0,VOLKEL,37.2,3.7,ROOD,1929.0,7768.0
1740,NEDER-BETUWE,25,GELDERLAND,217040.0,478910.0,DEELEN,35.0,3.8,NO RESTRICTIONS,3503.0,12828.0
946,NEDERWEERT,31,LIMBURG,209550.0,487150.0,EINDHOVEN,36.9,3.8,ROOD,5034.0,21928.0
356,NIEUWEGEIN,26,UTRECHT,238120.0,857710.0,DE BILT,36.4,3.6,NO RESTRICTIONS,7430.0,22245.0
569,NIEUWKOOP,28,ZUID-HOLLAND,286580.0,673150.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,4682.0,16446.0
267,NIJKERK,25,GELDERLAND,387560.0,873800.0,DE BILT,36.4,3.6,NO RESTRICTIONS,9574.0,33522.0
268,NIJMEGEN,25,GELDERLAND,483560.0,1042100.0,VOLKEL,37.2,3.7,NO RESTRICTIONS,28139.0,83485.0
1930,NISSEWAARD,28,ZUID-HOLLAND,693350.0,1926700.0,,,,NO RESTRICTIONS,11458.0,30438.0
1970,NOARDEAST-FRYSLÂN,21,FRIESLAND,,,,,,NO RESTRICTIONS,,
1695,NOORD-BEVELAND,29,ZEELAND,156480.0,305310.0,VLISSINGEN,40.2,6.4,NO RESTRICTIONS,2553.0,8502.0
1699,NOORDENVELD,22,DRENTHE,366990.0,633030.0,EELDE,   35.6,4.2,GEEL,9410.0,33756.0
171,NOORDOOSTPOLDER,24,FLEVOLAND,495430.0,1089900.0,MARKNESSE,38.2,4.2,NO RESTRICTIONS,8387.0,34802.0
575,NOORDWIJK,28,ZUID-HOLLAND,203390.0,424660.0,VOORSCHOTEN,,,NO RESTRICTIONS,6126.0,19413.0
820,"NUENEN, GERWEN EN NEDERWETTEN",30,NOORD-BRABANT,160500.0,335420.0,EINDHOVEN,36.9,3.8,GEEL,4863.0,18682.0
302,NUNSPEET,25,GELDERLAND,185060.0,375360.0,LELYSTAD,37.6,4.4,NO RESTRICTIONS,4143.0,15694.0
579,OEGSTGEEST,28,ZUID-HOLLAND,142350.0,336980.0,VOORSCHOTEN,,,NO RESTRICTIONS,4197.0,12062.0
823,OIRSCHOT,30,NOORD-BRABANT,201870.0,488210.0,EINDHOVEN,36.9,3.8,ORANJE,2964.0,13530.0
824,OISTERWIJK,30,NOORD-BRABANT,428300.0,915420.0,EINDHOVEN,36.9,3.8,ORANJE,3649.0,14185.0
1895,OLDAMBT,20,GRONINGEN,608780.0,1030200.0,NIEUW BEERTA,36.6,5.0,GEEL,6065.0,24106.0
269,OLDEBROEK,25,GELDERLAND,261530.0,548880.0,MARKNESSE,38.2,4.2,NO RESTRICTIONS,4654.0,19701.0
173,OLDENZAAL,23,OVERIJSSEL,296250.0,637160.0,TWENTHE,35.7,3.5,NO RESTRICTIONS,5697.0,20935.0
1773,OLST-WIJHE,23,OVERIJSSEL,349870.0,716120.0,DEELEN,35.0,3.8,ORANJE,5688.0,20216.0
175,OMMEN,23,OVERIJSSEL,497370.0,975890.0,HOOGEVEEN,36.3,4.0,ROOD,3841.0,15255.0
1586,OOST GELRE,25,GELDERLAND,478120.0,1031360.0,HUPSEL,   36.3,3.4,NO RESTRICTIONS,6445.0,27556.0
826,OOSTERHOUT,30,NOORD-BRABANT,509210.0,1221460.0,GILZE-RIJEN,36.9,3.7,ORANJE,8830.0,29874.0
85,OOSTSTELLINGWERF,21,FRIESLAND,680270.0,1175890.0,EELDE,   35.6,4.2,NO RESTRICTIONS,9857.0,30998.0
431,OOSTZAAN,27,NOORD-HOLLAND,65380.0,142900.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,1545.0,5313.0
432,OPMEER,27,NOORD-HOLLAND,124990.0,268320.0,BERKHOUT,   38.6,,NO RESTRICTIONS,2952.0,9886.0
86,OPSTERLAND,21,FRIESLAND,603170.0,1115110.0,LEEUWARDEN,38.0,4.7,NO RESTRICTIONS,6915.0,27723.0
828,OSS,30,NOORD-BRABANT,1188910.0,2528370.0,VOLKEL,37.2,3.7,GEEL,15117.0,58893.0
1509,OUDE IJSSELSTREEK,25,GELDERLAND,366810.0,786740.0,HUPSEL,   36.3,3.4,NO RESTRICTIONS,9876.0,40484.0
437,OUDER-AMSTEL,27,NOORD-HOLLAND,64290.0,184320.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,1823.0,5586.0
589,OUDEWATER,26,UTRECHT,196340.0,431400.0,CABAUW,      -,4.3,NO RESTRICTIONS,1725.0,6199.0
1734,OVERBETUWE,25,GELDERLAND,358700.0,825540.0,DEELEN,35.0,3.8,NO RESTRICTIONS,8750.0,33484.0
590,PAPENDRECHT,28,ZUID-HOLLAND,82140.0,217330.0,CABAUW,      -,4.3,NO RESTRICTIONS,3521.0,10283.0
1894,PEEL EN MAAS,31,LIMBURG,374600.0,839040.0,ARCEN,35.8,3.1,ORANJE,13554.0,53701.0
765,PEKELA,20,GRONINGEN,83010.0,141810.0,NIEUW BEERTA,36.6,5.0,GEEL,1758.0,6966.0
1926,PIJNACKER-NOOTDORP,28,ZUID-HOLLAND,265650.0,729200.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,9694.0,31009.0
439,PURMEREND,27,NOORD-HOLLAND,132760.0,696200.0,BERKHOUT,   38.6,,NO RESTRICTIONS,8669.0,26154.0
273,PUTTEN,25,GELDERLAND,166140.0,361640.0,LELYSTAD,37.6,4.4,NO RESTRICTIONS,3633.0,14318.0
177,RAALTE,23,OVERIJSSEL,572530.0,1142360.0,MARKNESSE,38.2,4.2,ORANJE,12228.0,43644.0
703,REIMERSWAAL,29,ZEELAND,286800.0,637470.0,WESTDORPE,37.7,4.2,NO RESTRICTIONS,6024.0,16944.0
274,RENKUM,25,GELDERLAND,608840.0,1070000.0,DEELEN,35.0,3.8,NO RESTRICTIONS,5711.0,20010.0
339,RENSWOUDE,26,UTRECHT,43880.0,100400.0,DEELEN,35.0,3.8,NO RESTRICTIONS,780.0,2868.0
1667,REUSEL-DE MIERDEN,30,NOORD-BRABANT,163180.0,375110.0,EINDHOVEN,36.9,3.8,ROOD,2247.0,11345.0
275,RHEDEN,25,GELDERLAND,233100.0,439540.0,DEELEN,35.0,3.8,NO RESTRICTIONS,6117.0,21962.0
340,RHENEN,26,UTRECHT,442100.0,934610.0,DEELEN,35.0,3.8,NO RESTRICTIONS,3837.0,12418.0
597,RIDDERKERK,28,ZUID-HOLLAND,212400.0,474270.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,6321.0,17125.0
1742,RIJSSEN-HOLTEN,23,OVERIJSSEL,424160.0,797580.0,HUPSEL,   36.3,3.4,ORANJE,6551.0,22830.0
603,RIJSWIJK,28,ZUID-HOLLAND,346480.0,750670.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,7445.0,21168.0
1669,ROERDALEN,31,LIMBURG,250480.0,510790.0,MAASTRICHT,36.1,4.2,ROOD,6055.0,23814.0
957,ROERMOND,31,LIMBURG,471970.0,997880.0,ARCEN,35.8,3.1,WIT,11325.0,42699.0
736,DE RONDE VENEN,26,UTRECHT,359600.0,790520.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,10172.0,31057.0
1674,ROOSENDAAL,30,NOORD-BRABANT,663300.0,1431740.0,GILZE-RIJEN,36.9,3.7,GEEL,11141.0,42960.0
599,ROTTERDAM,28,ZUID-HOLLAND,655650.0,1755990.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,27201.0,75146.0
277,ROZENDAAL,25,GELDERLAND,43740.0,93570.0,DEELEN,35.0,3.8,NO RESTRICTIONS,200.0,890.0
840,RUCPHEN,30,NOORD-BRABANT,175250.0,403320.0,GILZE-RIJEN,36.9,3.7,ORANJE,3045.0,12782.0
441,SCHAGEN,27,NOORD-HOLLAND,780940.0,1648920.0,DE KOOY,,,NO RESTRICTIONS,9564.0,33611.0
279,SCHERPENZEEL,25,GELDERLAND,54090.0,123160.0,DE BILT,36.4,3.6,NO RESTRICTIONS,1239.0,4539.0
606,SCHIEDAM,28,ZUID-HOLLAND,475700.0,1077650.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,4002.0,12009.0
88,SCHIERMONNIKOOG,21,FRIESLAND,40180.0,64840.0,LEEUWARDEN,38.0,4.7,NO RESTRICTIONS,315.0,1242.0
1676,SCHOUWEN-DUIVELAND,29,ZEELAND,587020.0,1174200.0,VLISSINGEN,40.2,6.4,NO RESTRICTIONS,9787.0,30188.0
965,SIMPELVELD,31,LIMBURG,138880.0,255960.0,MAASTRICHT,36.1,4.2,WIT,2760.0,10476.0
1702,SINT ANTHONIS,30,NOORD-BRABANT,197780.0,480590.0,VOLKEL,37.2,3.7,ROOD,2307.0,11654.0
845,SINT-MICHIELSGESTEL,30,NOORD-BRABANT,311890.0,690510.0,EINDHOVEN,36.9,3.8,ROOD,6309.0,25785.0
1883,SITTARD-GELEEN,31,LIMBURG,459980.0,990530.0,MAASTRICHT,36.1,4.2,WIT,18923.0,69711.0
610,SLIEDRECHT,28,ZUID-HOLLAND,281930.0,621210.0,CABAUW,      -,4.3,NO RESTRICTIONS,2957.0,8907.0
1714,SLUIS,29,ZEELAND,426130.0,780440.0,VLISSINGEN,40.2,6.4,NO RESTRICTIONS,6087.0,19926.0
90,SMALLINGERLAND,21,FRIESLAND,319630.0,618970.0,LEEUWARDEN,38.0,4.7,NO RESTRICTIONS,12156.0,42407.0
342,SOEST,26,UTRECHT,406740.0,839970.0,DE BILT,36.4,3.6,NO RESTRICTIONS,7240.0,25506.0
847,SOMEREN,30,NOORD-BRABANT,191580.0,435240.0,EINDHOVEN,36.9,3.8,ORANJE,4651.0,21424.0
848,SON EN BREUGEL,30,NOORD-BRABANT,116720.0,254590.0,EINDHOVEN,36.9,3.8,ORANJE,3972.0,15738.0
37,STADSKANAAL,20,GRONINGEN,330600.0,598130.0,NIEUW BEERTA,36.6,5.0,ROOD,5790.0,25401.0
180,STAPHORST,23,OVERIJSSEL,320730.0,646280.0,MARKNESSE,38.2,4.2,ROOD,3065.0,10898.0
532,STEDE BROEC,27,NOORD-HOLLAND,97950.0,216450.0,BERKHOUT,   38.6,,NO RESTRICTIONS,6018.0,16772.0
851,STEENBERGEN,30,NOORD-BRABANT,203220.0,496860.0,ROTTERDAM,37.1,4.4,ROOD,5146.0,17113.0
1708,STEENWIJKERLAND,23,OVERIJSSEL,1017010.0,1932370.0,MARKNESSE,38.2,4.2,ROOD,8580.0,30311.0
971,STEIN,31,LIMBURG,184740.0,394790.0,MAASTRICHT,36.1,4.2,WIT,9075.0,34366.0
1904,STICHTSE VECHT,26,UTRECHT,945310.0,1967190.0,,,,NO RESTRICTIONS,9378.0,28347.0
1900,SÚDWEST-FRYSLÂN,21,FRIESLAND,,,,,,NO RESTRICTIONS,,
715,TERNEUZEN,29,ZEELAND,578510.0,1134150.0,WESTDORPE,37.7,4.2,NO RESTRICTIONS,13225.0,40898.0
93,TERSCHELLING,21,FRIESLAND,179300.0,320780.0,HOORN,   39.4,6.3,NO RESTRICTIONS,654.0,2851.0
448,TEXEL,27,NOORD-HOLLAND,177710.0,335830.0,DE KOOY,,,NO RESTRICTIONS,3201.0,10409.0
1525,TEYLINGEN,28,ZUID-HOLLAND,153830.0,339680.0,VOORSCHOTEN,,,NO RESTRICTIONS,6924.0,20253.0
716,THOLEN,29,ZEELAND,233420.0,522320.0,VLISSINGEN,40.2,6.4,NO RESTRICTIONS,7023.0,20368.0
281,TIEL,25,GELDERLAND,338430.0,722070.0,HERWIJNEN,37.6,4.1,NO RESTRICTIONS,5478.0,18613.0
855,TILBURG,30,NOORD-BRABANT,1737750.0,5099460.0,GILZE-RIJEN,36.9,3.7,ORANJE,25762.0,82619.0
183,TUBBERGEN,23,OVERIJSSEL,339770.0,745020.0,TWENTHE,35.7,3.5,ROOD,3165.0,14334.0
1700,TWENTERAND,23,OVERIJSSEL,366670.0,803500.0,TWENTHE,35.7,3.5,ROOD,6370.0,24077.0
1730,TYNAARLO,22,DRENTHE,547110.0,959590.0,EELDE,   35.6,4.2,GEEL,10319.0,36768.0
737,TYTSJERKSTERADIEL,21,FRIESLAND,401510.0,699970.0,LEEUWARDEN,38.0,4.7,NO RESTRICTIONS,8993.0,31063.0
856,UDEN,30,NOORD-BRABANT,301050.0,701430.0,VOLKEL,37.2,3.7,ROOD,11271.0,38672.0
450,UITGEEST,27,NOORD-HOLLAND,83770.0,188420.0,BERKHOUT,   38.6,,NO RESTRICTIONS,3951.0,11558.0
451,UITHOORN,27,NOORD-HOLLAND,223270.0,494230.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,4248.0,13673.0
184,URK,24,FLEVOLAND,123280.0,269410.0,MARKNESSE,38.2,4.2,NO RESTRICTIONS,2388.0,8923.0
344,UTRECHT,26,UTRECHT,744070.0,2079740.0,DE BILT,36.4,3.6,NO RESTRICTIONS,41682.0,116340.0
1581,UTRECHTSE HEUVELRUG,26,UTRECHT,442820.0,844220.0,DE BILT,36.4,3.6,NO RESTRICTIONS,9417.0,29377.0
981,VAALS,31,LIMBURG,107950.0,229030.0,MAASTRICHT,36.1,4.2,GEEL,2195.0,7119.0
994,VALKENBURG AAN DE GEUL,31,LIMBURG,330790.0,599830.0,MAASTRICHT,36.1,4.2,GEEL,3324.0,14176.0
858,VALKENSWAARD,30,NOORD-BRABANT,246550.0,549150.0,EINDHOVEN,36.9,3.8,GEEL,6780.0,24700.0
47,VEENDAM,20,GRONINGEN,235470.0,404060.0,EELDE,   35.6,4.2,ROOD,3882.0,15435.0
345,VEENENDAAL,26,UTRECHT,396700.0,929860.0,DEELEN,35.0,3.8,NO RESTRICTIONS,11183.0,36644.0
717,VEERE,29,ZEELAND,416840.0,819640.0,VLISSINGEN,40.2,6.4,NO RESTRICTIONS,8096.0,25823.0
861,VELDHOVEN,30,NOORD-BRABANT,216210.0,489470.0,EINDHOVEN,36.9,3.8,ORANJE,8532.0,30777.0
453,VELSEN,27,NOORD-HOLLAND,680410.0,1419260.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,6931.0,19367.0
983,VENLO,31,LIMBURG,1132190.0,2385600.0,ARCEN,35.8,3.1,GEEL,21877.0,71713.0
984,VENRAY,31,LIMBURG,596150.0,1328570.0,ARCEN,35.8,3.1,ROOD,13280.0,45806.0
1961,VIJFHEERENLANDEN,26,UTRECHT,544030.0,1171460.0,,,,NO RESTRICTIONS,11002.0,32833.0
622,VLAARDINGEN,28,ZUID-HOLLAND,293090.0,715550.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,5774.0,13661.0
96,VLIELAND,21,FRIESLAND,32950.0,69600.0,HOORN,   39.4,6.3,NO RESTRICTIONS,182.0,608.0
718,VLISSINGEN,29,ZEELAND,324690.0,704030.0,VLISSINGEN,40.2,6.4,NO RESTRICTIONS,14830.0,33841.0
986,VOERENDAAL,31,LIMBURG,233760.0,460640.0,MAASTRICHT,36.1,4.2,GEEL,3315.0,13440.0
626,VOORSCHOTEN,28,ZUID-HOLLAND,156500.0,332600.0,VOORSCHOTEN,,,NO RESTRICTIONS,2916.0,9284.0
285,VOORST,25,GELDERLAND,361360.0,740810.0,DEELEN,35.0,3.8,NO RESTRICTIONS,4870.0,19301.0
865,VUGHT,30,NOORD-BRABANT,238730.0,498360.0,EINDHOVEN,36.9,3.8,GEEL,3122.0,11482.0
1949,WAADHOEKE,21,FRIESLAND,1139670.0,2122820.0,,,,NO RESTRICTIONS,9263.0,31823.0
866,WAALRE,30,NOORD-BRABANT,87630.0,173620.0,EINDHOVEN,36.9,3.8,GEEL,3789.0,14541.0
867,WAALWIJK,30,NOORD-BRABANT,227090.0,514440.0,GILZE-RIJEN,36.9,3.7,ROOD,5388.0,20407.0
627,WADDINXVEEN,28,ZUID-HOLLAND,245630.0,564780.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,4859.0,15838.0
289,WAGENINGEN,25,GELDERLAND,357090.0,789960.0,DEELEN,35.0,3.8,NO RESTRICTIONS,8190.0,23476.0
629,WASSENAAR,28,ZUID-HOLLAND,375660.0,621160.0,VOORSCHOTEN,,,NO RESTRICTIONS,2387.0,6971.0
852,WATERLAND,27,NOORD-HOLLAND,263200.0,556850.0,BERKHOUT,   38.6,,NO RESTRICTIONS,2491.0,7346.0
988,WEERT,31,LIMBURG,534690.0,1133530.0,EINDHOVEN,36.9,3.8,ROOD,11204.0,43772.0
457,WEESP,27,NOORD-HOLLAND,222890.0,535830.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,3027.0,8708.0
1960,WEST BETUWE,25,GELDERLAND,742480.0,1647740.0,,,,NO RESTRICTIONS,10747.0,39883.0
668,WEST MAAS EN WAAL,25,GELDERLAND,275630.0,565980.0,VOLKEL,37.2,3.7,NO RESTRICTIONS,6690.0,22364.0
1969,WESTERKWARTIER,20,GRONINGEN,935750.0,1672860.0,,,,GEEL,15129.0,59129.0
1701,WESTERVELD,22,DRENTHE,572030.0,1034060.0,HOOGEVEEN,36.3,4.0,ROOD,8113.0,26823.0
293,WESTERVOORT,25,GELDERLAND,45910.0,167740.0,DEELEN,35.0,3.8,NO RESTRICTIONS,2484.0,8962.0
1950,WESTERWOLDE,20,GRONINGEN,603680.0,1040720.0,,,,GEEL,4362.0,19032.0
1783,WESTLAND,28,ZUID-HOLLAND,764260.0,1854560.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,15800.0,61091.0
98,WESTSTELLINGWERF,21,FRIESLAND,701050.0,1264220.0,MARKNESSE,38.2,4.2,NO RESTRICTIONS,4931.0,21142.0
614,WESTVOORNE,28,ZUID-HOLLAND,181760.0,393120.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,3449.0,12055.0
189,WIERDEN,23,OVERIJSSEL,350350.0,736260.0,TWENTHE,35.7,3.5,ROOD,4765.0,21209.0
296,WIJCHEN,25,GELDERLAND,608090.0,1389740.0,VOLKEL,37.2,3.7,NO RESTRICTIONS,8519.0,31417.0
1696,WIJDEMEREN,27,NOORD-HOLLAND,293260.0,582690.0,DE BILT,36.4,3.6,NO RESTRICTIONS,3946.0,12610.0
352,WIJK BIJ DUURSTEDE,26,UTRECHT,229840.0,528840.0,DE BILT,36.4,3.6,NO RESTRICTIONS,4374.0,14315.0
294,WINTERSWIJK,25,GELDERLAND,212340.0,435070.0,HUPSEL,   36.3,3.4,NO RESTRICTIONS,6294.0,24696.0
873,WOENSDRECHT,30,NOORD-BRABANT,178270.0,413220.0,WESTDORPE,37.7,4.2,GEEL,3790.0,14116.0
632,WOERDEN,26,UTRECHT,395850.0,836650.0,CABAUW,      -,4.3,NO RESTRICTIONS,9801.0,28943.0
1690,DE WOLDEN,22,DRENTHE,536390.0,1004170.0,HOOGEVEEN,36.3,4.0,ROOD,9435.0,31342.0
880,WORMERLAND,27,NOORD-HOLLAND,185050.0,384810.0,BERKHOUT,   38.6,,NO RESTRICTIONS,3773.0,10961.0
351,WOUDENBERG,26,UTRECHT,142860.0,311390.0,DE BILT,36.4,3.6,NO RESTRICTIONS,3249.0,9131.0
479,ZAANSTAD,27,NOORD-HOLLAND,655650.0,1382440.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,16539.0,47841.0
297,ZALTBOMMEL,25,GELDERLAND,296440.0,699510.0,HERWIJNEN,37.6,4.1,NO RESTRICTIONS,6615.0,22461.0
473,ZANDVOORT,27,NOORD-HOLLAND,212710.0,438040.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,924.0,3300.0
50,ZEEWOLDE,24,FLEVOLAND,98140.0,202610.0,LELYSTAD,37.6,4.4,NO RESTRICTIONS,5121.0,18988.0
355,ZEIST,26,UTRECHT,446130.0,896730.0,DE BILT,36.4,3.6,NO RESTRICTIONS,7497.0,22214.0
299,ZEVENAAR,25,GELDERLAND,467130.0,1044910.0,DEELEN,35.0,3.8,NO RESTRICTIONS,8403.0,31566.0
637,ZOETERMEER,28,ZUID-HOLLAND,302180.0,771790.0,VOORSCHOTEN,,,NO RESTRICTIONS,16293.0,50008.0
638,ZOETERWOUDE,28,ZUID-HOLLAND,217240.0,479390.0,VOORSCHOTEN,,,NO RESTRICTIONS,1830.0,5905.0
1892,ZUIDPLAS,28,ZUID-HOLLAND,432820.0,1062900.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,6820.0,21745.0
879,ZUNDERT,30,NOORD-BRABANT,186160.0,404530.0,GILZE-RIJEN,36.9,3.7,ORANJE,3513.0,15257.0
301,ZUTPHEN,25,GELDERLAND,370140.0,756230.0,DEELEN,35.0,3.8,NO RESTRICTIONS,8097.0,23831.0
1896,ZWARTEWATERLAND,23,OVERIJSSEL,361420.0,742320.0,MARKNESSE,38.2,4.2,ROOD,3404.0,11751.0
642,ZWIJNDRECHT,28,ZUID-HOLLAND,656700.0,1468820.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,4229.0,13015.0
193,ZWOLLE,23,OVERIJSSEL,772210.0,1698240.0,MARKNESSE,38.2,4.2,ROOD,28684.0,87308.0
