Gemeente;Inwoneraantal;Groot, middelgroot en klein
?Noord-Beveland;7314;Klein
?Noordenveld;32370;Klein
?Noordoostpolder;46625;Klein
?Noordwijk;42661;Klein
?Nordeast-Fryslƒn;45287;Klein
?Nuenen, Gerwen en Nede;23019;Klein
?Nunspeet;27114;Klein
?Oegstgeest;23887;Klein
?Oirschot;18558;Klein
?Oisterwijk;26132;Klein
?Oldambt;38075;Klein
?Oldebroek;23504;Klein
?Oldenzaal;31915;Klein
?Olst-Wijhe;18023;Klein
?Ommen;17630;Klein
?Oost Gelre;29675;Klein
?Oosterhout;55147;Middelgroot
?Ooststellingwerf;25459;Klein
?Oostzaan;9735;Klein
?Opmeer;11526;Klein
?Opsterland;29753;Klein
?Oss;90951;Middelgroot
?Oude IJsselstreek;39520;Klein
?Ouder-Amstel;13496;Klein
?Oudewater;10180;Klein
?Overbetuwe;47481;Klein
?Papendrecht;32264;Klein
?Peel en Maas;43312;Klein
?Pekela;12245;Klein
?Pijnacker-Nootdorp;53634;Middelgroot
?Purmerend;79983;Middelgroot
?Putten;24313;Klein
?Raalte;37158;Klein
?Reimerswaal;22555;Klein
?Renkum;31338;Klein
?Renswoude;5175;Klein
?Reusel-De Mierden;13040;Klein
?Rheden;43527;Klein
?Rhenen;19816;Klein
?Ridderkerk;45789;Klein
?Rijssen-Holten;38097;Klein
?Rijswijk;52208;Middelgroot
?Roerdalen;20728;Klein
?Roermond;57761;Middelgroot
?Roosendaal;77000;Middelgroot
?Rotterdam;638712;Groot
?Rozendaal;1575;Klein
?Rucphen;22401;Klein
?Schagen;46379;Klein
?Scherpenzeel;9751;Klein
?Schiedam;77907;Middelgroot
?Schiermonnikoog;932;Klein
?Schouwen-Duiveland;33687;Klein
?'s-Gravenhage;532561;Groot
?'s-Hertogenbosch;153434;Groot
?Simpelveld;10561;Klein
?Sint Anthonis;11577;Klein
?Sint-Michielsgestel;28673;Klein
?Sittard-Geleen;92956;Middelgroot
?Sliedrecht;25020;Klein
?Sluis;23526;Klein
?Smallingerland;55889;Middelgroot
?Soest;46089;Klein
?Someren;19120;Klein
?Son en Breugel;16753;Klein
?Stadskanaal;32258;Klein
?Staphorst;16797;Klein
?Stede Broec;21670;Klein
?Steenbergen;24781;Klein
?Steenwijkerland;43768;Klein
?Stein;24987;Klein
?Stichtse Vecht;64513;Middelgroot
?S£dwest Fryslƒn;89583;Middelgroot
?Terneuzen;54440;Middelgroot
?Terschelling;4906;Klein
?Texel;13584;Klein
?Teylingen;36584;Klein
?Tholen;25583;Klein
?Tiel;41465;Klein
?Tilburg;215521;Groot
?Tubbergen;21213;Klein
?Twenterand;33903;Klein
?Tynaarlo;33462;Klein
?Tytsjerksteradiel;31870;Klein
?Uden;41725;Klein
?Uitgeest;13520;Klein
?Uithoorn;29445;Klein
?Urk;20524;Klein
?Utrecht;347483;Groot
?Utrechtse Heuvelrug;49314;Klein
?Vaals;9874;Klein
?Valkenburg aan de Geul;16431;Klein
?Valkenswaard;30654;Klein
?Veendam;27508;Klein
?Veenendaal;64918;Middelgroot
?Veere;21867;Klein
?Veldhoven;44925;Klein
?Velsen;67831;Middelgroot
?Venlo;101192;Groot
?Venray;43341;Klein
?Vijfheerenlanden;55001;Middelgroot
?Vlaardingen;72050;Middelgroot
?Vlieland;1132;Klein
?Vlissingen;44485;Klein
?Voerendaal;12390;Klein
?Voorschoten;25453;Klein
?Voorst;24310;Klein
?Vught;26418;Klein
?Waadhoeke;46112;Klein
?Waalre;17075;Klein
?Waalwijk;47725;Klein
?Waddinxveen;27578;Klein
?Wageningen;38412;Klein
?Wassenaar;26084;Klein
?Waterland;17259;Klein
?Weert;49855;Klein
?Weesp;19147;Klein
?West Betuwe;50349;Middelgroot
?West Maas en Waal;18891;Klein
?Westerkwartier;62844;Middelgroot
?Westerveld;19152;Klein
?Westervoort;15015;Klein
?Westerwolde;24684;Klein
?Westland;107492;Groot
?Weststellingwerf;25720;Klein
?Westvoorne;14508;Klein
?Wierden;24258;Klein
?Wijchen;40847;Klein
?Wijdemeren;23659;Klein
?Wijk bij Duurstede;23678;Klein
?Winterswijk;28987;Klein
?Woensdrecht;21800;Klein
?Woerden;51758;Middelgroot
?Wormerland;15995;Klein
?Woudenberg;13021;Klein
?Zaanstad;154865;Groot
?Zaltbommel;28014;Klein
?Zandvoort;16970;Klein
?Zeewolde;22407;Klein
?Zeist;63322;Middelgroot
?Zevenaar;43402;Klein
?Zoetermeer;124695;Groot
?Zoeterwoude;8430;Klein
?Zuidplas;41882;Klein
?Zundert;21525;Klein
?Zutphen;47537;Klein
?Zwartewaterland;22468;Klein
?Zwijndrecht;44586;Klein
?Zwolle;126116;Groot
