# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.447       51.962      -4.30  ROTTERDAM
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_344_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
                   TX_max,   11.9,   12.7,   16.9,   22.4,   26.2,   29.2,   30.7,   30.2,   25.4,   20.9,   15.7,   12.5,   14.0,   26.6,   32.5,   25.7,   32.6
             TX_beneden_0,    2.1,    1.3,    0.1,      .,      .,      .,      .,      .,      .,      .,    0.3,    1.7,    5.0,    0.1,      .,    0.3,    5.4
           TX_minstens_15,      .,    0.4,    3.0,   11.5,   22.1,   28.5,   30.9,   31.0,   28.4,   16.1,    1.7,    0.0,    0.4,   36.6,   90.4,   46.3,  173.6
           TX_minstens_20,      .,      .,    0.1,    3.6,    9.5,   15.1,   22.0,   23.9,   10.7,    1.9,      .,      .,      .,   13.2,   61.1,   12.6,   86.9
           TX_minstens_25,      .,      .,      .,    0.4,    2.3,    4.3,    8.3,    6.6,    1.5,    0.1,      .,      .,      .,    2.7,   19.2,    1.6,   23.6
           TX_minstens_30,      .,      .,      .,      .,    0.1,    0.7,    1.6,    1.4,    0.1,      .,      .,      .,      .,    0.1,    3.7,    0.1,    3.9
           TX_minstens_35,      .,      .,      .,      .,      .,      .,    0.2,      .,      .,      .,      .,      .,      .,      .,    0.2,      .,    0.2
           T10N_beneden_0,   13.5,   13.5,   13.4,    8.4,    2.6,    0.3,      .,      .,    0.1,    2.6,    7.7,   12.6,   39.5,   24.5,    0.3,   10.4,   74.7
       W1_code_minstens_1,    4.4,    4.7,    6.7,    6.3,    6.2,    5.1,    4.4,    5.9,    9.3,    8.1,    6.8,    6.8,   15.9,   19.1,   15.4,   24.2,   74.6
       W3_code_minstens_1,    4.1,    5.1,    2.5,    0.1,      .,      .,      .,      .,      .,    0.1,    0.8,    3.6,   12.8,    2.6,      .,    0.9,   16.3
             UG_gemiddeld,   86.6,   84.1,   80.6,   76.2,   75.4,   76.5,   77.2,   78.8,   82.4,   84.9,   88.4,   88.4,   86.4,   77.4,   77.5,   85.2,   81.6
            U12_gemiddeld,   83.2,   78.7,   72.3,   64.2,   63.4,   64.9,   65.7,   65.8,   70.5,   76.2,   83.1,   85.0,   82.3,   66.6,   65.5,   76.6,   72.8
            EEG_gemiddeld,    7.3,    7.2,    8.0,    9.2,   11.4,   13.8,   15.9,   16.1,   14.1,   11.7,    9.4,    7.8,    7.4,    9.5,   15.3,   11.7,   11.0
           EV24_gemiddeld,    0.3,    0.6,    1.2,    2.1,    2.9,    3.3,    3.3,    2.7,    1.8,    0.9,    0.4,    0.2,    0.4,    2.1,    3.1,    1.0,    1.6
                 EV24_som,    9.0,   16.2,   36.8,   64.0,   90.0,   97.9,  101.6,   85.1,   53.2,   28.6,   11.8,    6.9,   32.1,  190.8,  284.6,   93.6,  601.1
             PG_gemiddeld, 1016.3, 1016.1, 1015.8, 1014.6, 1016.0, 1016.3, 1015.4, 1015.2, 1015.9, 1014.6, 1013.5, 1015.3, 1015.9, 1015.5, 1015.6, 1014.7, 1015.4
                DR24_duur,   69.9,   64.4,   54.2,   39.7,   42.1,   41.5,   41.8,   42.8,   54.3,   62.8,   77.1,   79.9,  214.2,  136.0,  126.1,  194.2,  670.5
            DR24_duur_pct,    9.4,    9.5,    7.3,    5.5,    5.7,    5.8,    5.6,    5.8,    7.5,    8.4,   10.7,   10.7,    9.9,    6.2,    5.7,    8.9,    7.6
             DR24_boven_0,   17.5,   15.7,   15.0,   12.8,   12.5,   13.3,   14.8,   15.3,   15.6,   16.6,   18.9,   19.0,   52.3,   40.2,   43.5,   51.1,  187.1
                 RH24_som,   70.8,   65.9,   56.5,   42.1,   55.7,   68.6,   78.6,   91.9,   90.3,   87.3,   87.6,   86.2,  222.9,  154.3,  239.1,  265.2,  881.5
                  RHX_max,    4.0,    3.7,    4.0,    4.5,    6.8,    8.4,    9.8,    9.8,    8.0,    6.2,    4.6,    4.4,    5.3,    8.0,   13.7,    9.4,   14.8
