# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 269:         5.520       52.458      -3.70  LELYSTAD
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_269_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
                   TX_max,   11.7,   12.3,   17.1,   22.9,   26.4,   29.2,   30.5,   30.4,   25.5,   20.4,   15.5,   12.3,   13.8,   26.9,   32.7,   25.7,   32.8
             TX_beneden_0,    3.1,    1.8,    0.2,      .,      .,      .,      .,      .,      .,      .,    0.4,    2.3,    7.2,    0.2,      .,    0.4,    7.8
           TX_minstens_15,      .,    0.4,    3.1,   11.6,   21.9,   28.2,   30.8,   30.9,   28.0,   13.8,    1.3,      .,    0.4,   36.6,   89.9,   43.1,  169.9
           TX_minstens_20,      .,      .,    0.2,    4.0,    9.9,   14.9,   21.5,   23.3,    9.8,    1.6,      .,      .,      .,   14.1,   59.7,   11.4,   85.1
           TX_minstens_25,      .,      .,      .,    0.5,    3.1,    3.8,    7.9,    6.7,    1.8,    0.1,      .,      .,      .,    3.6,   18.4,    1.9,   24.0
           TX_minstens_30,      .,      .,      .,      .,    0.2,    0.7,    1.8,    1.5,    0.2,      .,      .,      .,      .,    0.2,    4.0,    0.2,    4.3
           TX_minstens_35,      .,      .,      .,      .,      .,      .,    0.2,      .,      .,      .,      .,      .,      .,      .,    0.2,      .,    0.2
           T10N_beneden_0,   14.5,   14.1,   13.6,    7.1,    1.3,    0.1,      .,      .,    0.1,    2.9,    6.9,   13.5,   42.0,   22.0,    0.1,    9.8,   73.9
       W1_code_minstens_1,    6.0,    5.9,    6.3,    3.7,    2.2,    2.9,    3.6,    3.9,    7.5,    7.1,    7.4,    7.7,   19.6,   12.2,   10.5,   22.0,   64.3
       W3_code_minstens_1,    5.4,    6.0,    3.0,    0.6,    0.1,      .,      .,      .,      .,    0.1,    1.0,    4.2,   15.7,    3.6,      .,    1.1,   20.3
             UG_gemiddeld,   88.9,   86.5,   82.0,   76.1,   75.3,   78.0,   79.6,   80.8,   84.4,   87.3,   90.4,   90.5,   88.6,   77.8,   79.5,   87.4,   83.3
            U12_gemiddeld,   86.2,   81.2,   72.7,   62.9,   62.6,   66.5,   67.3,   66.8,   71.3,   77.7,   85.7,   88.0,   85.1,   66.1,   66.9,   78.2,   74.1
            EEG_gemiddeld,    7.1,    7.0,    7.8,    9.0,   11.3,   14.0,   16.1,   16.1,   14.0,   11.5,    9.2,    7.6,    7.2,    9.4,   15.4,   11.6,   10.9
           EV24_gemiddeld,    0.3,    0.5,    1.2,    2.1,    2.9,    3.2,    3.3,    2.7,    1.8,    0.9,    0.4,    0.2,    0.3,    2.1,    3.1,    1.0,    1.6
                 EV24_som,    8.3,   15.5,   35.9,   63.1,   89.0,   96.2,  100.9,   83.9,   52.5,   28.0,   11.2,    6.4,   30.2,  188.0,  281.0,   91.7,  590.9
             PG_gemiddeld, 1015.3, 1015.5, 1015.7, 1014.5, 1015.6, 1016.1, 1015.2, 1014.9, 1015.8, 1014.5, 1013.4, 1014.6, 1015.1, 1015.3, 1015.4, 1014.6, 1015.1
                DR24_duur,   69.4,   62.4,   54.3,   37.5,   42.8,   39.6,   42.2,   43.0,   50.3,   58.8,   66.8,   76.1,  207.9,  134.6,  124.8,  175.9,  643.2
            DR24_duur_pct,    9.3,    9.2,    7.3,    5.2,    5.8,    5.5,    5.7,    5.8,    7.0,    7.9,    9.3,   10.2,    9.6,    6.1,    5.7,    8.1,    7.3
             DR24_boven_0,   17.7,   15.9,   15.0,   12.8,   13.6,   13.9,   15.3,   15.1,   14.7,   16.4,   17.9,   19.0,   52.6,   41.4,   44.3,   49.1,  187.3
                 RH24_som,   67.7,   57.2,   55.1,   42.3,   57.2,   67.0,   91.4,   92.1,   74.2,   76.3,   69.7,   73.9,  198.8,  154.6,  250.5,  220.2,  824.1
                  RHX_max,    4.3,    3.3,    4.2,    4.5,    7.7,    9.7,   13.1,    9.8,    6.9,    5.9,    3.9,    3.9,    5.5,    8.6,   16.2,    8.2,   17.6
            RH24_gelijk_0,    9.2,    9.7,   12.4,   13.7,   14.4,   12.8,   12.5,   12.0,   12.1,   11.5,    8.4,    8.6,   27.6,   40.5,   37.3,   32.0,  137.4
        RH24_minstens_0.1,   17.8,   15.9,   15.0,   13.0,   13.5,   13.9,   15.2,   15.4,   14.6,   16.6,   18.2,   18.8,   52.5,   41.4,   44.5,   49.4,  187.9
        RH24_minstens_0.3,   16.0,   14.2,   13.0,   11.3,   12.3,   12.4,   14.0,   13.7,   13.1,   15.1,   16.2,   16.4,   46.5,   36.6,   40.1,   44.4,  167.6
          RH24_minstens_1,   12.1,   11.2,    9.9,    8.4,   10.0,   10.1,   11.4,   11.6,   10.8,   11.7,   12.6,   12.9,   36.2,   28.3,   33.2,   35.1,  132.8
         RH24_minstens_10,    1.8,    1.4,    1.3,    0.7,    1.9,    1.8,    3.1,    3.3,    2.0,    2.2,    1.5,    2.1,    5.3,    3.9,    8.2,    5.7,   23.1
         RH24_minstens_15,    0.7,    0.4,    0.5,    0.3,    0.6,    0.9,    1.6,    1.7,    0.9,    1.2,    0.6,    0.6,    1.7,    1.4,    4.1,    2.7,    9.9
         RH24_minstens_20,    0.2,    0.1,    0.2,    0.1,    0.2,    0.4,    1.1,    0.7,    0.5,    0.4,    0.2,    0.2,    0.6,    0.5,    2.2,    1.0,    4.3
         RH24_minstens_25,    0.1,      .,    0.1,      .,    0.1,    0.2,    0.6,    0.4,    0.3,    0.1,    0.0,    0.1,    0.2,    0.2,    1.3,    0.5,    2.2
       RH24_niet_gelijk_0,   21.8,   18.5,   18.6,   16.3,   16.6,   17.2,   18.5,   19.0,   17.9,   19.5,   21.6,   22.4,   62.7,   51.5,   54.7,   59.0,  227.8
          waterbalans_som,   59.4,   41.6,   19.3,  -20.7,  -32.4,  -30.2,   -9.4,    8.4,   21.6,   48.1,   58.5,   67.5,  168.5,  -33.8,  -31.2,  128.2,  231.7
            SQ24_gelijk_0,    9.3,    5.9,    3.6,    1.3,    1.4,    0.6,    0.8,    0.7,    2.0,    3.5,    8.2,   10.9,   26.1,    6.3,    2.1,   13.7,   48.2
       SQ24_niet_gelijk_0,   21.7,   22.3,   27.4,   28.7,   29.6,   29.4,   30.2,   30.3,   28.0,   27.5,   21.8,   20.1,   64.1,   85.7,   89.9,   77.3,  317.0
           SQ24_gemiddeld,    2.1,    3.4,    4.7,    6.5,    7.3,    7.1,    7.2,    6.5,    5.2,    3.9,    2.3,    1.8,    2.4,    6.2,    6.9,    3.8,    4.8
         pctzon_gemiddeld,   25.9,   34.1,   39.4,   46.6,   46.6,   42.5,   44.1,   44.0,   41.0,   36.9,   26.0,   23.7,   27.9,   44.2,   43.5,   34.6,   37.6
      pctzon_hoogstens_20,   17.8,   12.9,   11.7,    6.9,    8.1,    8.0,    6.7,    6.7,    9.2,   11.4,   15.8,   18.3,   49.0,   26.7,   21.5,   36.4,  133.5
   pctzon_tussen_20_en_50,    6.2,    6.4,    7.1,    9.4,    8.2,   10.4,   11.3,   11.6,    9.0,    8.9,    7.9,    6.3,   18.9,   24.7,   33.3,   25.8,  102.6
   pctzon_tussen_50_en_80,    3.7,    4.7,    7.4,    8.4,    8.3,    7.5,    9.3,    9.7,    8.0,    7.6,    4.5,    4.3,   12.7,   24.1,   26.4,   20.1,   83.4
