# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 319:         3.861       51.226       1.70  WESTDORPE
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_319_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
                   TX_max,   12.6,   13.5,   17.8,   23.2,   26.9,   29.5,   31.8,   31.5,   26.3,   21.5,   16.4,   13.3,   14.7,   27.2,   33.7,   26.4,   33.7
             TX_beneden_0,    1.9,    1.2,    0.1,      .,      .,      .,      .,      .,      .,      .,    0.3,    1.4,    4.5,    0.1,      .,    0.3,    4.9
           TX_minstens_15,      .,    0.6,    4.2,   14.1,   23.5,   28.5,   30.9,   31.0,   28.8,   16.9,    2.4,    0.1,    0.7,   41.8,   90.4,   48.1,  181.1
           TX_minstens_20,      .,      .,    0.3,    4.5,   10.8,   16.7,   24.4,   26.0,   13.3,    2.3,    0.0,      .,      .,   15.6,   67.1,   15.7,   98.4
           TX_minstens_25,      .,      .,      .,    0.8,    3.0,    5.2,   10.2,    8.5,    2.5,    0.1,      .,      .,      .,    3.8,   23.9,    2.7,   30.4
           TX_minstens_30,      .,      .,      .,      .,    0.2,    0.8,    2.2,    2.4,    0.1,      .,      .,      .,      .,    0.2,    5.5,    0.1,    5.9
           TX_minstens_35,      .,      .,      .,      .,      .,      .,    0.2,    0.1,      .,      .,      .,      .,      .,      .,    0.4,      .,    0.4
           T10N_beneden_0,   13.1,   12.0,   11.2,    6.9,    2.1,    0.2,      .,      .,    0.2,    2.4,    5.9,   11.7,   36.8,   20.2,    0.2,    8.5,   65.8
             UG_gemiddeld,   86.8,   84.1,   80.3,   74.5,   75.6,   77.5,   78.0,   78.4,   82.4,   85.9,   89.0,   88.8,   86.6,   76.8,   78.0,   85.8,   81.8
            U12_gemiddeld,   83.8,   78.7,   71.5,   60.6,   62.3,   64.7,   64.2,   62.9,   68.4,   75.8,   83.7,   85.8,   82.8,   64.8,   63.9,   76.0,   71.9
            EEG_gemiddeld,    7.3,    7.3,    8.2,    9.1,   11.5,   14.0,   15.9,   16.0,   14.1,   11.9,    9.4,    7.9,    7.5,    9.6,   15.3,   11.8,   11.0
           EV24_gemiddeld,    0.3,    0.6,    1.2,    2.1,    2.9,    3.3,    3.2,    2.7,    1.8,    1.0,    0.4,    0.2,    0.4,    2.1,    3.1,    1.1,    1.6
                 EV24_som,    9.5,   16.7,   37.4,   64.2,   88.9,   98.1,   99.3,   84.7,   54.5,   30.0,   12.7,    7.4,   33.6,  190.5,  282.1,   97.2,  603.4
                DR24_duur,   65.0,   65.4,   54.7,   35.8,   42.3,   33.8,   37.3,   36.0,   44.8,   51.9,   68.1,   78.3,  208.7,  132.8,  107.1,  164.8,  613.4
            DR24_duur_pct,    8.7,    9.7,    7.4,    5.0,    5.7,    4.7,    5.0,    4.8,    6.2,    7.0,    9.5,   10.5,    9.7,    6.0,    4.9,    7.5,    7.0
             DR24_boven_0,   17.1,   15.8,   14.4,   12.7,   13.8,   12.4,   14.5,   14.0,   13.4,   15.2,   17.6,   18.5,   51.4,   40.9,   40.9,   46.3,  179.5
                 RH24_som,   66.1,   59.9,   53.8,   38.0,   55.5,   62.5,   74.9,   80.6,   69.5,   68.0,   73.9,   83.3,  209.3,  147.3,  218.0,  211.4,  786.0
                  RHX_max,    4.4,    3.7,    4.9,    3.9,    6.6,    9.7,    8.8,   11.8,    6.3,    5.6,    4.6,    3.9,    5.7,    8.4,   16.7,    7.8,   17.7
            RH24_gelijk_0,   10.1,   10.3,   14.1,   14.3,   14.9,   14.3,   13.4,   13.7,   13.6,   12.1,    9.4,    9.5,   29.9,   43.2,   41.4,   35.1,  149.6
        RH24_minstens_0.1,   17.1,   15.8,   14.4,   12.7,   13.8,   12.4,   14.5,   14.0,   13.4,   15.2,   17.6,   18.5,   51.4,   40.9,   40.9,   46.3,  179.5
        RH24_minstens_0.3,   14.9,   14.0,   12.5,   11.2,   12.3,   10.9,   12.7,   12.7,   12.1,   13.7,   15.9,   16.4,   45.3,   35.9,   36.2,   41.7,  159.2
          RH24_minstens_1,   11.8,   11.6,   10.4,    8.8,    9.7,    8.6,   10.1,   10.5,    9.7,   10.9,   12.6,   13.5,   36.9,   28.9,   29.2,   33.2,  128.3
         RH24_minstens_10,    1.8,    1.4,    1.0,    0.6,    1.4,    1.9,    2.2,    2.1,    2.1,    1.9,    2.1,    2.4,    5.6,    3.0,    6.2,    6.1,   20.9
         RH24_minstens_15,    0.7,    0.4,    0.3,    0.2,    0.5,    1.0,    1.4,    1.4,    1.1,    0.7,    0.7,    0.9,    2.1,    1.0,    3.7,    2.6,    9.3
         RH24_minstens_20,    0.3,    0.1,    0.1,      .,    0.1,    0.5,    0.6,    0.8,    0.6,    0.4,    0.4,    0.5,    0.9,    0.3,    1.9,    1.3,    4.5
         RH24_minstens_25,      .,      .,    0.1,      .,    0.1,    0.3,    0.4,    0.6,    0.2,    0.2,    0.1,    0.2,    0.2,    0.2,    1.2,    0.6,    2.2
       RH24_niet_gelijk_0,   20.9,   18.0,   16.9,   15.7,   16.1,   15.7,   17.6,   17.3,   16.4,   18.9,   20.6,   21.5,   60.4,   48.8,   50.6,   55.9,  215.6
          waterbalans_som,   56.4,   43.0,   16.3,  -26.6,  -32.7,  -35.8,  -24.6,   -4.0,   15.0,   37.9,   61.1,   75.9,  175.3,  -43.0,  -64.4,  114.0,  181.9
            SQ24_gelijk_0,    8.4,    5.4,    3.3,    1.1,    1.4,    0.7,    0.7,    0.6,    1.1,    3.2,    6.7,   10.2,   24.1,    5.8,    2.1,   11.1,   43.0
       SQ24_niet_gelijk_0,   22.6,   22.8,   27.7,   28.9,   29.6,   29.3,   30.3,   30.4,   28.9,   27.8,   23.3,   20.8,   66.2,   86.2,   89.9,   79.9,  322.2
           SQ24_gemiddeld,    2.3,    3.3,    4.7,    6.3,    7.0,    7.2,    6.9,    6.4,    5.3,    3.9,    2.5,    1.9,    2.5,    6.0,    6.8,    3.9,    4.8
         pctzon_gemiddeld,   27.3,   32.8,   39.7,   45.9,   45.2,   43.6,   42.8,   43.8,   41.8,   36.8,   28.1,   24.6,   28.2,   43.6,   43.4,   35.6,   37.7
      pctzon_hoogstens_20,   16.8,   12.9,   11.1,    7.0,    8.2,    7.7,    7.2,    6.5,    8.7,   11.4,   14.9,   18.4,   48.1,   26.3,   21.4,   35.0,  130.8
   pctzon_tussen_20_en_50,    6.8,    6.5,    8.2,    9.6,    9.1,   10.2,   11.1,   11.6,    9.7,    9.0,    8.0,    5.9,   19.3,   26.8,   32.9,   26.7,  105.7
   pctzon_tussen_50_en_80,    4.6,    5.1,    6.6,    8.5,    8.2,    8.1,    9.5,    9.7,    7.6,    7.5,    4.8,    3.9,   13.6,   23.3,   27.3,   19.9,   84.2
       pctzon_minstens_80,    2.8,    3.8,    5.0,    5.0,    5.4,    4.1,    3.2,    3.1,    4.0,    3.1,    2.3,    2.7,    9.3,   15.5,   10.4,    9.3,   44.5
                 SQ24_som,   71.3,   92.8,  146.3,  190.4,  218.4,  216.7,  213.8,  198.7,  159.3,  122.0,   75.6,   60.3,  224.4,  555.1,  629.2,  356.9, 1765.6
                  Q24_som,    8.0,   13.6,   27.9,   43.5,   55.1,   57.6,   56.2,   47.9,   32.8,   19.8,    9.3,    6.0,   27.6,  126.5,  161.7,   61.9,  377.7
             FG_gemiddeld,    5.1,    5.0,    4.8,    4.1,    4.0,    3.6,    3.5,    3.5,    3.5,    4.0,    4.3,    4.9,    5.0,    4.3,    3.5,    3.9,    4.2
                   FG_max,   10.2,   10.1,    9.5,    8.0,    7.6,    7.1,    6.7,    6.9,    7.4,    8.3,    8.9,    9.5,   11.3,    9.8,    7.8,    9.7,   11.7
            FHX_gemiddeld,    7.5,    7.4,    7.3,    6.7,    6.4,    5.8,    5.7,    5.7,    5.8,    6.2,    6.6,    7.2,    7.4,    6.8,    5.7,    6.2,    6.5
                  FHX_max,   14.4,   13.6,   13.5,   11.2,   11.2,   10.0,    9.4,   10.1,   10.5,   11.7,   12.5,   13.3,   15.9,   14.0,   11.1,   13.6,   16.6
        FHX_minstens_Bft4,   21.2,   19.0,   22.0,   19.9,   20.1,   16.1,   16.0,   15.6,   15.4,   17.7,   18.0,   20.4,   60.6,   61.9,   47.8,   51.1,  221.4
        FHX_minstens_Bft5,   13.9,   12.6,   12.7,    9.4,    8.2,    4.3,    4.3,    4.7,    5.6,    8.3,   10.1,   13.3,   39.8,   30.2,   13.3,   24.0,  107.4
        FHX_minstens_Bft6,    5.7,    4.9,    4.2,    1.6,    1.3,    0.4,    0.2,    0.6,    0.7,    1.7,    2.7,    4.9,   15.5,    7.0,    1.2,    5.1,   28.8
        FHX_minstens_Bft7,    1.3,    1.0,    0.8,    0.1,    0.1,    0.0,      .,      .,    0.1,    0.3,    0.4,    0.9,    3.2,    1.0,    0.0,    0.8,    5.1
            FXX_gemiddeld,   11.9,   12.1,   11.4,   10.8,   10.8,   10.2,   10.1,    9.9,    9.8,   10.6,   11.0,   11.7,   11.9,   11.0,   10.1,   10.5,   10.9
                  FXX_max,   23.1,   22.2,   21.1,   17.9,   18.3,   18.0,   16.7,   17.5,   18.0,   20.1,   20.7,   21.9,   26.4,   21.8,   19.6,   23.3,   27.3
          FXX_minstens_21,    1.9,    1.7,    1.2,    0.1,    0.3,    0.2,      .,    0.2,    0.2,    0.6,    0.8,    1.5,    5.1,    1.6,    0.4,    1.6,    8.8
          FXX_minstens_28,    0.2,    0.2,    0.1,      .,      .,      .,      .,      .,      .,    0.0,      .,    0.1,    0.5,    0.1,      .,    0.0,    0.6

