# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_260_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
                   TX_max,   12.1,   12.9,   17.4,   23.2,   26.7,   29.7,   31.0,   30.6,   25.7,   20.8,   15.9,   12.7,   14.3,   27.1,   33.0,   25.9,   33.0
             TX_beneden_0,    2.6,    1.5,    0.2,      .,      .,      .,      .,      .,      .,      .,    0.4,    1.8,    5.9,    0.2,      .,    0.4,    6.4
           TX_minstens_15,    0.0,    0.5,    3.5,   12.8,   23.1,   28.5,   30.9,   30.9,   28.4,   15.5,    1.8,    0.1,    0.6,   39.4,   90.3,   45.7,  176.0
           TX_minstens_20,      .,      .,    0.2,    4.5,   10.8,   16.2,   23.3,   24.2,   11.7,    1.9,      .,      .,      .,   15.5,   63.7,   13.7,   92.8
           TX_minstens_25,      .,      .,      .,    0.7,    3.6,    5.1,    9.2,    7.6,    2.1,    0.1,      .,      .,      .,    4.3,   21.9,    2.2,   28.4
           TX_minstens_30,      .,      .,      .,      .,    0.2,    0.8,    2.0,    1.9,    0.2,      .,      .,      .,      .,    0.2,    4.7,    0.2,    5.0
           TX_minstens_35,      .,      .,      .,      .,      .,      .,    0.2,    0.0,      .,      .,      .,      .,      .,      .,    0.2,      .,    0.2
           T10N_beneden_0,   14.9,   14.8,   15.3,   10.2,    2.8,    0.4,      .,      .,    0.3,    3.5,    9.5,   14.0,   43.7,   28.3,    0.4,   13.3,   85.7
       W1_code_minstens_1,    5.8,    5.1,    6.1,    6.7,    7.2,    6.1,    6.9,   10.3,   13.4,    9.8,    8.5,    7.4,   18.3,   20.0,   23.3,   31.8,   93.4
       W3_code_minstens_1,    4.6,    6.0,    3.1,    0.2,      .,      .,      .,      .,      .,    0.1,    0.7,    4.4,   14.9,    3.3,      .,    0.7,   18.9
             UG_gemiddeld,   86.7,   84.0,   79.4,   74.0,   73.7,   75.4,   76.5,   78.9,   83.4,   86.2,   89.0,   88.6,   86.4,   75.7,   76.9,   86.2,   81.3
            U12_gemiddeld,   82.2,   77.4,   69.4,   60.0,   60.2,   63.0,   63.7,   64.2,   69.1,   75.5,   82.5,   84.6,   81.4,   63.2,   63.6,   75.7,   71.0
            EEG_gemiddeld,    7.1,    7.0,    7.8,    8.9,   11.2,   13.7,   15.7,   15.9,   13.9,   11.4,    9.1,    7.6,    7.2,    9.3,   15.1,   11.5,   10.8
           EV24_gemiddeld,    0.3,    0.5,    1.1,    2.1,    2.8,    3.1,    3.2,    2.7,    1.7,    0.9,    0.4,    0.2,    0.3,    2.0,    3.0,    1.0,    1.6
                 EV24_som,    8.5,   15.5,   35.3,   62.4,   87.3,   93.9,   98.3,   82.7,   51.7,   28.0,   11.3,    6.5,   30.5,  185.0,  274.9,   91.0,  581.4
             PG_gemiddeld, 1016.4, 1016.2, 1015.8, 1014.5, 1015.9, 1016.1, 1015.3, 1015.2, 1016.0, 1014.7, 1013.6, 1015.4, 1016.0, 1015.4, 1015.5, 1014.8, 1015.4
                DR24_duur,   73.0,   66.2,   55.9,   39.1,   44.8,   41.1,   42.7,   43.1,   50.4,   60.4,   73.6,   81.4,  220.6,  139.8,  126.9,  184.4,  671.7
            DR24_duur_pct,    9.8,    9.8,    7.5,    5.4,    6.0,    5.7,    5.7,    5.8,    7.0,    8.1,   10.2,   10.9,   10.2,    6.3,    5.7,    8.4,    7.7
             DR24_boven_0,   17.5,   16.0,   15.1,   12.4,   13.5,   13.8,   14.8,   14.9,   14.1,   16.0,   18.8,   18.7,   52.2,   41.0,   43.5,   48.9,  185.6
                 RH24_som,   70.8,   63.1,   57.8,   41.6,   59.3,   70.5,   85.2,   83.6,   77.9,   81.1,   80.0,   83.8,  217.7,  158.7,  239.3,  239.0,  854.7
                  RHX_max,    4.2,    4.0,    4.2,    4.6,    7.1,   10.1,   12.9,   10.2,    8.5,    6.2,    4.8,    4.5,    5.8,    8.6,   17.9,    9.7,   19.4
            RH24_gelijk_0,    8.8,    8.3,   11.6,   13.1,   13.4,   12.1,   12.0,   11.8,   11.9,   10.6,    7.8,    8.0,   25.1,   38.1,   35.9,   30.3,  129.4
        RH24_minstens_0.1,   17.5,   16.0,   15.1,   12.4,   13.5,   13.8,   14.8,   14.9,   14.1,   16.0,   18.8,   18.7,   52.2,   41.0,   43.5,   48.9,  185.6
        RH24_minstens_0.3,   15.8,   14.0,   13.0,   10.6,   11.8,   12.0,   13.3,   13.2,   12.9,   14.3,   16.6,   16.8,   46.6,   35.4,   38.5,   43.8,  164.3
          RH24_minstens_1,   12.6,   11.0,   10.2,    8.4,    9.3,   10.0,   10.7,   11.4,   10.3,   11.5,   13.0,   13.6,   37.2,   27.9,   32.0,   34.8,  132.0
         RH24_minstens_10,    2.0,    1.6,    1.5,    0.7,    1.7,    2.2,    2.5,    2.7,    2.6,    2.5,    2.2,    2.5,    6.1,    3.9,    7.4,    7.3,   24.8
         RH24_minstens_15,    0.6,    0.6,    0.8,    0.2,    0.7,    1.0,    1.5,    1.1,    1.2,    1.1,    0.9,    0.9,    2.1,    1.7,    3.6,    3.2,   10.6
         RH24_minstens_20,    0.2,    0.2,    0.3,    0.1,    0.2,    0.5,    0.8,    0.7,    0.6,    0.5,    0.3,    0.4,    0.8,    0.6,    2.0,    1.4,    4.8
         RH24_minstens_25,    0.0,    0.1,    0.1,    0.1,    0.1,    0.2,    0.6,    0.4,    0.2,    0.2,    0.1,    0.1,    0.3,    0.2,    1.2,    0.5,    2.2
       RH24_niet_gelijk_0,   22.2,   20.0,   19.4,   16.9,   17.6,   17.9,   19.0,   19.2,   18.1,   20.4,   22.2,   23.0,   65.2,   53.9,   56.1,   60.7,  235.8
          waterbalans_som,   62.3,   47.6,   22.5,  -20.8,  -27.9,  -23.4,  -13.1,    0.9,   26.2,   53.1,   68.7,   77.3,  187.2,  -26.2,  -35.6,  148.0,  273.4
            SQ24_gelijk_0,   10.6,    6.6,    4.2,    1.1,    1.7,    1.0,    0.6,    1.0,    1.8,    3.8,    8.0,   11.3,   28.5,    6.9,    2.6,   13.6,   51.6
       SQ24_niet_gelijk_0,   20.4,   21.6,   26.8,   28.9,   29.3,   29.0,   30.4,   30.0,   28.2,   27.2,   22.0,   19.7,   61.7,   85.1,   89.4,   77.4,  313.6
           SQ24_gemiddeld,    2.2,    3.2,    4.5,    6.3,    7.0,    6.9,    6.9,    6.3,    5.1,    3.9,    2.2,    1.8,    2.4,    5.9,    6.7,    3.7,    4.7
         pctzon_gemiddeld,   25.7,   31.8,   37.8,   45.4,   44.8,   41.4,   42.6,   43.1,   40.1,   36.0,   25.3,   22.9,   26.8,   42.7,   42.4,   33.8,   36.4
      pctzon_hoogstens_20,   17.8,   13.4,   11.8,    7.5,    8.9,    8.4,    7.4,    6.9,    9.4,   11.8,   16.6,   19.2,   50.4,   28.2,   22.7,   37.8,  139.2
   pctzon_tussen_20_en_50,    5.9,    6.5,    7.9,    9.4,    8.3,   10.6,   11.8,   11.7,    9.3,    9.2,    7.2,    5.4,   17.8,   25.5,   34.1,   25.7,  103.2
   pctzon_tussen_50_en_80,    4.2,    4.6,    6.6,    8.1,    8.8,    7.1,    8.5,    9.4,    7.5,    6.6,    4.2,    4.3,   13.2,   23.4,   25.0,   18.3,   79.9
       pctzon_minstens_80,    3.1,    3.7,    4.7,    5.0,    5.0,    3.8,    3.4,    3.0,    3.8,    3.4,    2.0,    2.1,    8.9,   14.8,   10.2,    9.2,   43.0
                 SQ24_som,   66.6,   89.6,  139.4,  189.2,  217.5,  207.1,  213.9,  196.3,  152.8,  119.3,   67.4,   55.5,  211.7,  546.1,  617.3,  339.5, 1714.6
                  Q24_som,    7.3,   12.9,   26.7,   42.4,   54.2,   55.1,   55.3,   46.9,   31.4,   18.8,    8.4,    5.4,   25.6,  123.3,  157.3,   58.6,  364.8
             FG_gemiddeld,    4.3,    4.2,    4.0,    3.6,    3.4,    3.2,    3.1,    2.9,    3.0,    3.5,    3.6,    4.1,    4.2,    3.7,    3.1,    3.4,    3.6
                   FG_max,    8.1,    8.0,    7.8,    6.5,    6.1,    5.9,    5.6,    5.4,    5.8,    6.7,    7.0,    7.7,    9.1,    7.9,    6.4,    7.6,    9.4
            FHX_gemiddeld,    6.1,    6.1,    6.1,    5.7,    5.4,    5.1,    5.0,    4.9,    4.9,    5.3,    5.4,    5.9,    6.0,    5.7,    5.0,    5.2,    5.5
                  FHX_max,   11.2,   10.9,   10.9,    9.6,    9.0,    8.4,    8.2,    8.3,    8.4,    9.6,   10.1,   10.6,   12.7,   11.3,    9.4,   11.0,   13.3
        FHX_minstens_Bft4,   16.5,   14.3,   16.1,   13.7,   12.3,    9.4,    9.3,    7.8,    9.1,   12.1,   12.6,   15.9,   46.6,   42.1,   26.5,   33.8,  149.1
        FHX_minstens_Bft5,    7.2,    6.0,    6.0,    3.6,    2.2,    1.0,    0.9,    1.1,    1.3,    3.0,    3.8,    6.6,   19.7,   11.9,    3.0,    8.2,   42.8
        FHX_minstens_Bft6,    1.3,    1.0,    1.2,    0.1,    0.1,      .,    0.1,      .,    0.0,    0.3,    0.4,    1.0,    3.3,    1.4,    0.1,    0.7,    5.5
        FHX_minstens_Bft7,    0.2,    0.2,    0.1,    0.0,    0.0,      .,      .,      .,      .,    0.1,    0.0,    0.1,    0.5,    0.2,      .,    0.1,    0.8
            FXX_gemiddeld,   11.3,   11.6,   11.2,   10.6,   10.6,   10.2,   10.0,    9.8,    9.6,   10.3,   10.4,   11.2,   11.4,   10.8,   10.0,   10.1,   10.6
                  FXX_max,   21.3,   21.1,   20.3,   17.5,   18.3,   17.5,   16.7,   17.2,   17.1,   19.3,   20.0,   20.7,   25.1,   21.8,   19.4,   22.4,   26.4
          FXX_minstens_21,    1.0,    1.3,    0.8,    0.1,    0.3,    0.1,    0.1,    0.2,    0.1,    0.4,    0.5,    1.0,    3.3,    1.2,    0.4,    1.0,    6.0
          FXX_minstens_28,    0.2,    0.1,    0.1,      .,      .,      .,      .,      .,      .,    0.0,      .,    0.0,    0.4,    0.1,      .,    0.0,    0.5

