# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 270:         5.752       53.224       1.20  LEEUWARDEN
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_270_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
                   TX_max,   10.5,   11.0,   15.8,   21.5,   24.8,   28.1,   29.4,   29.3,   24.4,   19.3,   14.6,   11.3,   12.5,   25.5,   31.6,   24.5,   31.6
             TX_beneden_0,    3.1,    1.8,    0.2,      .,      .,      .,      .,      .,      .,      .,    0.3,    2.2,    7.0,    0.2,      .,    0.3,    7.5
           TX_minstens_15,      .,    0.1,    1.7,    8.7,   18.4,   26.5,   30.8,   30.9,   27.5,   11.5,    0.7,      .,    0.1,   28.9,   88.2,   39.7,  156.9
           TX_minstens_20,      .,      .,    0.0,    2.5,    6.8,   10.6,   18.5,   19.8,    7.4,    0.9,      .,      .,      .,    9.3,   48.9,    8.3,   66.5
           TX_minstens_25,      .,      .,      .,    0.2,    1.3,    2.4,    5.6,    4.7,    1.1,    0.0,      .,      .,      .,    1.5,   12.7,    1.1,   15.3
           TX_minstens_30,      .,      .,      .,      .,      .,    0.3,    1.0,    1.0,    0.0,      .,      .,      .,      .,      .,    2.3,    0.0,    2.4
           T10N_beneden_0,   14.2,   13.7,   12.3,    8.2,    2.2,    0.2,      .,      .,    0.1,    2.5,    6.4,   13.6,   41.5,   22.8,    0.2,    9.0,   73.5
             UG_gemiddeld,   89.0,   86.9,   83.3,   79.3,   78.4,   79.6,   80.1,   80.9,   84.1,   86.6,   90.1,   90.3,   88.7,   80.3,   80.2,   86.9,   84.0
            U12_gemiddeld,   86.2,   82.1,   74.5,   67.4,   67.1,   69.3,   69.3,   69.1,   72.9,   78.4,   86.0,   87.7,   85.3,   69.7,   69.2,   79.1,   75.8
            EEG_gemiddeld,    7.0,    6.9,    7.7,    9.0,   11.2,   13.6,   15.8,   15.9,   14.0,   11.3,    9.1,    7.5,    7.1,    9.3,   15.1,   11.5,   10.8
           EV24_gemiddeld,    0.3,    0.5,    1.2,    2.1,    2.9,    3.1,    3.2,    2.7,    1.7,    0.9,    0.4,    0.2,    0.3,    2.1,    3.0,    1.0,    1.6
                 EV24_som,    8.1,   15.1,   35.7,   62.1,   88.8,   93.6,   99.5,   83.0,   51.2,   27.2,   10.7,    6.2,   29.4,  186.6,  276.1,   89.1,  581.2
             PG_gemiddeld, 1015.2, 1015.2, 1015.2, 1014.5, 1015.9, 1015.8, 1014.9, 1014.7, 1015.4, 1014.1, 1012.7, 1014.2, 1014.9, 1015.2, 1015.1, 1014.1, 1014.8
                DR24_duur,   72.0,   61.4,   53.3,   38.7,   41.4,   41.6,   42.0,   42.6,   51.8,   63.2,   75.7,   79.6,  213.0,  133.4,  126.2,  190.7,  663.3
            DR24_duur_pct,    9.7,    9.1,    7.2,    5.4,    5.6,    5.8,    5.7,    5.7,    7.2,    8.5,   10.5,   10.7,    9.8,    6.0,    5.7,    8.7,    7.6
             DR24_boven_0,   18.7,   15.8,   15.2,   12.7,   13.5,   14.3,   14.7,   15.4,   15.7,   18.1,   19.7,   19.3,   53.8,   41.4,   44.4,   53.6,  193.2
                 RH24_som,   68.6,   55.5,   49.1,   39.1,   54.5,   69.9,   77.7,   93.7,   82.3,   79.6,   77.9,   81.5,  205.6,  142.7,  241.3,  239.8,  829.4
                  RHX_max,    3.9,    3.4,    3.7,    3.6,    5.8,   10.0,   10.8,   10.7,    7.0,    5.4,    4.3,    3.9,    4.9,    6.6,   17.2,    8.0,   17.7
            RH24_gelijk_0,    8.2,    8.9,   12.1,   13.8,   14.0,   12.4,   12.5,   11.4,   11.2,   10.1,    7.2,    8.1,   25.1,   39.9,   36.3,   28.5,  129.8
        RH24_minstens_0.1,   18.7,   15.8,   15.2,   12.7,   13.5,   14.3,   14.7,   15.4,   15.7,   18.1,   19.7,   19.3,   53.8,   41.4,   44.4,   53.6,  193.2
        RH24_minstens_0.3,   16.5,   14.0,   12.9,   11.1,   11.8,   12.7,   13.6,   13.8,   14.0,   16.3,   17.8,   17.6,   48.0,   35.8,   40.1,   48.2,  172.1
          RH24_minstens_1,   13.2,   11.0,   10.0,    8.4,    8.9,   10.3,   11.0,   11.4,   11.7,   13.1,   14.5,   14.2,   38.4,   27.2,   32.6,   39.3,  137.6
         RH24_minstens_10,    1.5,    1.2,    1.0,    0.7,    1.4,    1.8,    2.3,    3.1,    2.7,    2.4,    2.0,    2.3,    4.9,    3.1,    7.1,    7.1,   22.2
         RH24_minstens_15,    0.6,    0.5,    0.2,    0.1,    0.7,    1.0,    1.3,    1.7,    1.3,    0.9,    0.5,    0.8,    1.9,    1.1,    3.9,    2.7,    9.6
         RH24_minstens_20,    0.3,    0.1,    0.0,    0.0,    0.3,    0.5,    0.7,    0.9,    0.6,    0.4,    0.3,    0.2,    0.6,    0.4,    2.1,    1.3,    4.3
         RH24_minstens_25,    0.0,    0.0,      .,      .,    0.1,    0.3,    0.4,    0.6,    0.3,    0.1,    0.1,    0.0,    0.1,    0.1,    1.3,    0.5,    2.0
       RH24_niet_gelijk_0,   22.8,   19.4,   18.9,   16.2,   17.0,   17.6,   18.5,   19.6,   18.8,   20.9,   22.8,   22.9,   65.1,   52.1,   55.7,   62.5,  235.5
          waterbalans_som,   60.6,   40.5,   13.4,  -23.0,  -34.3,  -23.8,  -21.8,   10.7,   31.1,   52.4,   67.2,   75.3,  176.4,  -43.9,  -34.9,  150.7,  248.3
            SQ24_gelijk_0,    8.8,    5.7,    3.7,    1.4,    1.3,    0.8,    0.9,    0.7,    1.8,    3.8,    7.4,    9.8,   24.4,    6.4,    2.3,   12.9,   46.0
       SQ24_niet_gelijk_0,   22.2,   22.5,   27.3,   28.6,   29.7,   29.2,   30.1,   30.3,   28.2,   27.2,   22.6,   21.2,   65.9,   85.6,   89.7,   78.1,  319.3
           SQ24_gemiddeld,    2.2,    3.3,    4.8,    6.7,    7.5,    7.0,    7.3,    6.7,    5.2,    3.8,    2.2,    2.0,    2.5,    6.3,    7.0,    3.7,    4.9
         pctzon_gemiddeld,   26.9,   33.8,   40.7,   48.0,   47.2,   41.3,   44.4,   45.0,   40.7,   35.8,   25.7,   26.0,   28.9,   45.3,   43.6,   34.1,   38.0
      pctzon_hoogstens_20,   16.6,   12.5,   10.9,    7.1,    7.9,    8.1,    7.1,    6.3,    9.2,   11.8,   15.6,   17.2,   46.3,   25.8,   21.5,   36.6,  130.2
   pctzon_tussen_20_en_50,    7.0,    6.8,    7.5,    8.4,    8.4,   10.6,   10.6,   11.2,    9.5,    9.3,    8.4,    6.3,   20.1,   24.3,   32.4,   27.2,  104.0
   pctzon_tussen_50_en_80,    5.0,    5.4,    7.7,    8.7,    8.3,    7.4,    9.0,    9.9,    7.8,    6.7,    4.5,    5.4,   15.8,   24.8,   26.3,   18.9,   85.9
       pctzon_minstens_80,    2.4,    3.5,    4.9,    5.8,    6.4,    3.8,    4.4,    3.5,    3.5,    3.3,    1.5,    2.0,    8.0,   17.1,   11.7,    8.3,   45.1
                 SQ24_som,   68.0,   94.2,  149.9,  201.2,  231.5,  209.2,  226.1,  206.5,  155.6,  118.4,   67.2,   61.4,  223.6,  582.6,  641.8,  341.2, 1789.2
                  Q24_som,    7.0,   12.9,   27.8,   43.7,   56.8,   56.4,   57.1,   47.7,   31.2,   18.3,    8.1,    5.3,   25.2,  128.3,  161.2,   57.6,  372.3
             UP_gemiddeld,    5.8,    5.6,    5.5,    4.8,    4.7,    4.4,    4.2,    4.0,    4.2,    4.7,    5.0,    5.4,    5.6,    5.0,    4.2,    4.6,    4.9
             FG_gemiddeld,    5.6,    5.4,    5.4,    4.6,    4.5,    4.3,    4.1,    3.9,    4.1,    4.6,    4.8,    5.2,    5.4,    4.8,    4.1,    4.5,    4.7
                   FG_max,   11.0,   10.6,   10.5,    8.7,    8.0,    8.0,    7.1,    7.2,    8.0,    9.1,    9.2,   10.1,   12.1,   10.6,    8.5,   10.3,   12.4
            FHX_gemiddeld,    8.0,    7.9,    8.0,    7.2,    7.0,    6.7,    6.5,    6.4,    6.5,    6.9,    7.0,    7.5,    7.8,    7.4,    6.5,    6.8,    7.1
                  FHX_max,   14.6,   14.6,   14.4,   12.4,   11.4,   11.3,   10.6,   10.9,   12.0,   13.1,   12.8,   13.8,   16.2,   14.7,   12.3,   14.8,   17.2
        FHX_minstens_Bft4,   23.4,   21.7,   24.5,   22.8,   24.0,   21.2,   21.0,   19.7,   18.8,   21.3,   20.5,   21.9,   67.0,   71.3,   62.0,   60.6,  260.9
        FHX_minstens_Bft5,   15.0,   13.5,   15.5,   11.4,   11.0,    8.5,    8.6,    7.7,    8.9,   10.9,   11.3,   14.3,   42.8,   37.8,   24.8,   31.2,  136.6
        FHX_minstens_Bft6,    6.9,    5.6,    5.8,    2.7,    1.6,    1.1,    0.9,    0.8,    1.7,    2.7,    3.0,    5.2,   17.7,   10.1,    2.9,    7.4,   38.1
        FHX_minstens_Bft7,    1.8,    1.8,    1.4,    0.3,    0.1,    0.1,    0.0,    0.1,    0.1,    0.7,    0.5,    1.0,    4.6,    1.8,    0.2,    1.3,    8.0
            FXX_gemiddeld,   12.7,   12.8,   12.3,   11.3,   11.3,   10.9,   10.7,   10.5,   10.7,   11.8,   11.8,   12.5,   12.7,   11.6,   10.7,   11.4,   11.6
                  FXX_max,   22.4,   22.9,   22.1,   19.2,   18.3,   18.7,   17.4,   18.7,   19.5,   21.8,   21.4,   22.7,   26.3,   22.9,   20.3,   24.7,   27.9
          FXX_minstens_21,    2.3,    2.6,    1.7,    0.4,    0.2,    0.3,    0.2,    0.4,    0.4,    1.2,    1.2,    1.8,    6.7,    2.2,    0.8,    2.8,   12.6
          FXX_minstens_28,    0.1,    0.1,    0.0,      .,      .,      .,      .,      .,      .,    0.2,    0.1,    0.2,    0.4,    0.0,      .,    0.2,    0.6

