# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 235:         4.781       52.928       1.20  DE KOOY
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_235_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
                   TX_max,   10.5,   10.9,   14.8,   20.3,   24.0,   27.0,   28.6,   28.6,   23.7,   19.2,   14.8,   11.6,   12.6,   24.8,   31.0,   24.0,   31.0
             TX_beneden_0,    2.6,    1.5,    0.1,      .,      .,      .,      .,      .,      .,      .,    0.3,    1.5,    5.5,    0.1,      .,    0.3,    5.9
           TX_minstens_15,      .,    0.1,    1.0,    6.6,   15.9,   26.5,   30.9,   30.9,   27.8,   12.9,    1.0,    0.0,    0.1,   23.4,   88.3,   41.7,  153.6
           TX_minstens_20,      .,      .,    0.0,    1.3,    4.7,    7.8,   16.3,   18.4,    6.5,    0.9,      .,      .,      .,    6.1,   42.5,    7.3,   55.9
           TX_minstens_25,      .,      .,      .,    0.1,    0.7,    1.8,    4.0,    3.5,    0.7,    0.0,      .,      .,      .,    0.9,    9.3,    0.7,   10.9
           TX_minstens_30,      .,      .,      .,      .,    0.0,    0.3,    0.4,    0.5,    0.0,      .,      .,      .,      .,    0.0,    1.2,    0.0,    1.3
           T10N_beneden_0,   12.2,   12.0,    9.4,    4.8,    1.3,    0.1,      .,      .,      .,    1.2,    4.3,   10.3,   34.4,   15.5,    0.1,    5.5,   55.6
       W1_code_minstens_1,    5.4,    5.6,    6.1,    4.8,    3.4,    3.1,    2.3,    2.1,    4.1,    3.8,    4.6,    5.3,   16.2,   14.3,    7.4,   12.4,   50.3
       W3_code_minstens_1,    4.8,    5.8,    2.5,    0.3,    0.1,      .,      .,      .,      .,    0.1,    0.8,    3.1,   13.8,    2.8,      .,    0.9,   17.5
             UG_gemiddeld,   87.8,   86.3,   83.9,   80.5,   79.0,   79.1,   79.4,   79.1,   81.2,   83.3,   86.6,   87.5,   87.2,   81.1,   79.2,   83.7,   82.8
            U12_gemiddeld,   85.8,   82.8,   77.9,   72.4,   71.6,   72.1,   72.6,   71.3,   74.1,   77.6,   83.5,   85.7,   84.8,   74.0,   72.0,   78.4,   77.3
            EEG_gemiddeld,    7.3,    7.2,    7.9,    9.3,   11.5,   13.7,   15.9,   16.2,   14.2,   11.6,    9.3,    7.9,    7.5,    9.6,   15.3,   11.7,   11.0
           EV24_gemiddeld,    0.3,    0.6,    1.2,    2.2,    3.0,    3.4,    3.4,    2.9,    1.8,    0.9,    0.4,    0.2,    0.4,    2.1,    3.2,    1.0,    1.7
                 EV24_som,    8.6,   16.3,   37.6,   66.2,   94.2,  101.0,  106.1,   88.2,   54.2,   28.4,   11.3,    6.7,   31.6,  198.0,  295.3,   93.9,  618.8
             PG_gemiddeld, 1015.3, 1015.3, 1015.3, 1014.5, 1016.0, 1016.0, 1015.0, 1014.8, 1015.5, 1013.9, 1012.6, 1014.3, 1015.0, 1015.3, 1015.3, 1014.0, 1014.9
                DR24_duur,   66.6,   59.0,   49.3,   37.2,   36.7,   36.4,   37.2,   39.9,   51.5,   63.6,   72.5,   73.4,  199.0,  123.2,  113.5,  187.6,  623.3
            DR24_duur_pct,    8.9,    8.7,    6.6,    5.2,    4.9,    5.1,    5.0,    5.4,    7.2,    8.5,   10.1,    9.9,    9.2,    5.6,    5.1,    8.6,    7.1
             DR24_boven_0,   18.5,   15.7,   14.9,   12.4,   12.2,   12.8,   14.0,   14.6,   15.9,   17.7,   19.8,   19.3,   53.5,   39.5,   41.3,   53.4,  187.7
                 RH24_som,   65.6,   50.1,   43.7,   34.9,   42.0,   58.7,   62.5,   89.1,   84.7,   96.5,   83.5,   75.3,  191.0,  120.6,  210.3,  264.7,  786.6
                  RHX_max,    4.2,    2.8,    3.3,    3.1,    4.8,    8.6,    8.7,   11.0,    6.8,    7.5,    5.0,    4.3,    5.3,    5.5,   14.3,    9.5,   15.2
            RH24_gelijk_0,    8.1,    8.7,   12.1,   13.6,   14.8,   13.3,   13.1,   12.1,   10.8,    9.9,    7.4,    8.1,   25.0,   40.5,   38.5,   28.1,  132.2
        RH24_minstens_0.1,   18.5,   15.7,   14.9,   12.4,   12.2,   12.8,   14.0,   14.6,   15.9,   17.6,   19.8,   19.3,   53.5,   39.5,   41.3,   53.3,  187.7
        RH24_minstens_0.3,   16.3,   14.1,   12.8,   10.6,   10.8,   11.4,   12.3,   13.2,   14.1,   15.8,   17.8,   17.6,   47.9,   34.2,   36.9,   47.8,  166.8
          RH24_minstens_1,   12.1,   10.6,    9.0,    7.7,    8.2,    8.6,    9.4,   10.9,   11.8,   13.0,   14.3,   13.5,   36.2,   24.9,   28.9,   39.1,  129.1
         RH24_minstens_10,    1.5,    0.9,    0.7,    0.6,    1.0,    1.7,    1.7,    3.0,    2.6,    3.1,    2.3,    1.8,    4.2,    2.3,    6.4,    8.1,   20.9
         RH24_minstens_15,    0.7,    0.3,    0.1,    0.2,    0.3,    0.7,    0.9,    1.7,    1.4,    1.4,    0.9,    0.6,    1.6,    0.6,    3.2,    3.6,    9.1
         RH24_minstens_20,    0.2,    0.1,      .,    0.0,    0.1,    0.4,    0.6,    0.9,    0.8,    0.8,    0.3,    0.2,    0.5,    0.2,    1.9,    1.9,    4.4
         RH24_minstens_25,    0.1,      .,      .,      .,      .,    0.2,    0.3,    0.5,    0.4,    0.3,    0.1,    0.0,    0.1,      .,    1.0,    0.8,    1.9
       RH24_niet_gelijk_0,   22.9,   19.6,   18.9,   16.4,   16.2,   16.7,   17.9,   18.9,   19.2,   21.1,   22.6,   22.9,   65.3,   51.5,   53.5,   62.9,  233.1
          waterbalans_som,   57.0,   33.8,    6.1,  -31.3,  -52.2,  -42.3,  -43.6,    0.9,   30.6,   68.1,   72.1,   68.6,  159.4,  -77.4,  -85.0,  170.8,  167.8
            SQ24_gelijk_0,    8.2,    5.5,    3.2,    1.0,    1.4,    1.0,    0.9,    0.6,    1.7,    3.5,    6.3,    8.9,   22.7,    5.6,    2.5,   11.6,   42.4
       SQ24_niet_gelijk_0,   22.8,   22.7,   27.8,   29.0,   29.6,   29.0,   30.1,   30.4,   28.3,   27.5,   23.7,   22.1,   67.6,   86.4,   89.5,   79.4,  322.9
           SQ24_gemiddeld,    2.3,    3.5,    5.0,    7.2,    8.0,    7.7,    7.8,    7.1,    5.4,    3.9,    2.3,    2.0,    2.6,    6.7,    7.5,    3.9,    5.2
         pctzon_gemiddeld,   27.6,   35.0,   42.2,   51.3,   50.4,   45.7,   47.4,   48.0,   42.2,   36.9,   26.0,   25.5,   29.4,   48.0,   47.0,   35.0,   39.8
      pctzon_hoogstens_20,   16.4,   12.1,   10.5,    6.4,    7.2,    6.9,    6.1,    5.6,    9.0,   11.2,   15.5,   17.2,   45.6,   24.1,   18.5,   35.8,  124.1
   pctzon_tussen_20_en_50,    6.9,    6.8,    7.3,    6.9,    7.7,    9.7,   10.2,   10.8,    9.0,    9.5,    8.5,    7.1,   20.8,   22.0,   30.6,   27.0,  100.3
   pctzon_tussen_50_en_80,    5.2,    5.5,    7.5,   10.3,    8.4,    8.9,    9.5,   10.2,    8.0,    7.2,    4.9,    4.7,   15.4,   26.3,   28.5,   20.1,   90.3
       pctzon_minstens_80,    2.5,    3.9,    5.6,    6.3,    7.7,    4.6,    5.2,    4.5,    4.0,    3.1,    1.1,    2.0,    8.5,   19.6,   14.3,    8.2,   50.6
                 SQ24_som,   70.2,   97.8,  155.7,  214.5,  246.6,  230.4,  240.5,  219.7,  161.2,  122.1,   68.5,   60.6,  228.6,  616.8,  690.6,  351.8, 1887.8
                  Q24_som,    7.2,   13.5,   28.8,   46.3,   60.1,   60.6,   60.7,   50.2,   32.4,   18.7,    8.3,    5.4,   26.1,  135.2,  171.5,   59.4,  392.2
             UP_gemiddeld,    6.7,    6.4,    6.1,    5.3,    5.4,    5.1,    5.0,    4.9,    5.1,    5.8,    5.9,    6.4,    6.5,    5.6,    5.0,    5.6,    5.7
             FG_gemiddeld,    6.7,    6.4,    6.0,    5.3,    5.3,    5.0,    5.0,    4.8,    5.1,    5.8,    5.9,    6.4,    6.5,    5.5,    4.9,    5.6,    5.6
                   FG_max,   13.2,   12.2,   11.8,    9.8,    9.7,    9.8,    9.1,    9.3,   10.2,   11.5,   11.3,   12.4,   14.3,   12.1,   10.9,   12.7,   14.6
            FHX_gemiddeld,    9.4,    9.1,    8.6,    7.7,    7.6,    7.3,    7.4,    7.3,    7.5,    8.3,    8.5,    9.2,    9.2,    8.0,    7.3,    8.1,    8.2
                  FHX_max,   17.0,   16.0,   15.4,   13.2,   12.9,   12.8,   12.6,   12.6,   13.8,   15.4,   15.3,   16.4,   19.0,   16.0,   14.3,   17.3,   20.0
        FHX_minstens_Bft4,   25.7,   23.7,   25.6,   23.9,   25.6,   23.0,   24.0,   23.2,   22.2,   25.4,   24.4,   25.3,   74.7,   75.1,   70.2,   72.0,  291.9
        FHX_minstens_Bft5,   19.4,   17.4,   17.5,   13.8,   14.0,   11.7,   12.3,   12.6,   12.8,   17.0,   16.7,   19.3,   56.2,   45.3,   36.5,   46.6,  184.5
        FHX_minstens_Bft6,   11.5,    9.0,    8.2,    4.5,    3.5,    2.9,    3.0,    3.0,    4.2,    6.7,    7.8,   11.0,   31.6,   16.2,    9.0,   18.7,   75.5
        FHX_minstens_Bft7,    5.2,    4.1,    2.9,    0.4,    0.4,    0.5,    0.3,    0.5,    0.8,    2.1,    2.5,    4.1,   13.4,    3.7,    1.3,    5.4,   23.8
            FXX_gemiddeld,   14.0,   14.0,   12.7,   11.6,   11.8,   11.3,   11.4,   11.3,   11.7,   13.1,   13.3,   14.2,   14.1,   12.0,   11.3,   12.7,   12.5
                  FXX_max,   24.7,   23.7,   22.6,   19.3,   19.6,   19.8,   19.3,   19.7,   21.3,   23.7,   23.6,   24.3,   27.9,   23.7,   22.2,   26.8,   29.7
          FXX_minstens_21,    3.8,    3.6,    2.1,    0.3,    0.4,    0.5,    0.4,    0.5,    1.1,    2.4,    2.6,    3.9,   11.3,    2.8,    1.4,    6.2,   21.7
          FXX_minstens_28,    0.4,    0.4,    0.1,      .,      .,      .,      .,    0.0,    0.0,    0.2,    0.1,    0.3,    1.1,    0.1,    0.0,    0.3,    1.6

