# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 267:         5.384       52.898      -1.30  STAVOREN
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_267_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
                   TX_max,    9.6,   10.0,   14.9,   20.8,   24.8,   27.5,   29.0,   28.8,   23.8,   18.5,   13.8,   10.4,   11.6,   25.3,   31.2,   23.8,   31.3
             TX_beneden_0,    3.0,    1.7,    0.3,      .,      .,      .,      .,      .,      .,      .,    0.3,    2.1,    6.9,    0.3,      .,    0.3,    7.4
           TX_minstens_15,      .,    0.0,    1.0,    7.9,   18.0,   26.7,   30.9,   30.9,   27.2,   10.7,    0.5,      .,    0.0,   26.9,   88.6,   38.3,  153.8
           TX_minstens_20,      .,      .,      .,    2.0,    6.6,   10.4,   18.2,   19.8,    6.3,    0.5,      .,      .,      .,    8.6,   48.4,    6.9,   63.9
           TX_minstens_25,      .,      .,      .,    0.2,    1.7,    2.1,    4.9,    4.2,    0.7,      .,      .,      .,      .,    1.9,   11.3,    0.7,   13.9
           TX_minstens_30,      .,      .,      .,      .,    0.0,    0.3,    0.9,    0.8,    0.0,      .,      .,      .,      .,    0.0,    2.0,    0.0,    2.1
           TX_minstens_35,      .,      .,      .,      .,      .,      .,    0.1,      .,      .,      .,      .,      .,      .,      .,    0.1,      .,    0.1
           T10N_beneden_0,   11.9,   11.4,    8.7,    3.6,    0.3,      .,      .,      .,      .,    1.3,    4.4,   11.1,   34.4,   12.6,      .,    5.7,   52.7
       W1_code_minstens_1,    7.2,    6.6,    7.0,    4.8,    3.1,    2.3,    2.6,    3.4,    5.6,    5.8,    7.2,    8.3,   22.1,   14.9,    8.3,   18.6,   63.9
       W3_code_minstens_1,    5.6,    6.3,    3.0,    0.3,    0.1,      .,      .,      .,      .,    0.1,    0.7,    3.4,   15.3,    3.4,      .,    0.8,   19.5
             UG_gemiddeld,   90.6,   88.9,   85.6,   81.0,   78.9,   80.0,   80.3,   80.5,   84.0,   87.2,   90.7,   91.2,   90.2,   81.8,   80.3,   87.3,   84.9
            U12_gemiddeld,   88.6,   85.5,   79.9,   72.5,   70.3,   73.3,   72.9,   72.5,   76.2,   81.6,   88.2,   89.4,   87.8,   74.2,   72.9,   82.0,   79.2
            EEG_gemiddeld,    7.1,    7.0,    8.0,    9.5,   11.7,   14.3,   16.5,   16.6,   14.4,   11.7,    9.3,    7.6,    7.2,    9.7,   15.8,   11.8,   11.1
           EV24_gemiddeld,    0.3,    0.6,    1.2,    2.2,    3.0,    3.4,    3.4,    2.9,    1.8,    0.9,    0.4,    0.2,    0.4,    2.1,    3.2,    1.0,    1.7
                 EV24_som,    8.5,   16.0,   37.0,   66.1,   92.8,  100.8,  105.8,   88.2,   54.5,   28.6,   11.3,    6.7,   31.2,  195.9,  294.8,   94.4,  616.3
                DR24_duur,   67.9,   59.7,   51.7,   35.8,   39.3,   36.3,   38.0,   41.5,   49.9,   59.9,   66.1,   73.5,  201.1,  126.8,  115.8,  175.9,  619.6
            DR24_duur_pct,    9.1,    8.8,    6.9,    5.0,    5.3,    5.0,    5.1,    5.6,    6.9,    8.1,    9.2,    9.9,    9.3,    5.7,    5.2,    8.1,    7.0
             DR24_boven_0,   18.6,   15.7,   15.5,   12.7,   13.2,   13.7,   14.4,   15.5,   15.8,   17.1,   18.7,   19.3,   53.6,   41.4,   43.6,   51.6,  190.2
                 RH24_som,   65.9,   51.3,   46.7,   36.7,   49.5,   56.5,   65.9,   90.5,   76.2,   79.2,   67.7,   69.1,  186.3,  132.9,  212.9,  223.1,  755.2
                  RHX_max,    4.4,    2.9,    3.5,    3.3,    6.9,    7.1,    9.0,   12.3,    6.8,    5.5,    3.6,    4.0,    5.4,    7.3,   15.1,    7.8,   15.8
            RH24_gelijk_0,    8.9,    9.4,   12.5,   14.0,   14.6,   13.3,   13.0,   11.7,   11.5,   10.6,    8.1,    9.6,   27.9,   41.1,   37.9,   30.3,  137.2
        RH24_minstens_0.1,   18.3,   15.8,   15.6,   12.9,   13.1,   13.7,   14.3,   15.7,   15.7,   17.2,   19.0,   18.7,   52.8,   41.6,   43.6,   51.9,  189.9
        RH24_minstens_0.3,   15.6,   13.9,   13.6,   10.9,   11.3,   12.0,   12.9,   14.0,   13.9,   15.4,   16.9,   16.5,   46.0,   35.8,   38.8,   46.2,  166.8
          RH24_minstens_1,   12.0,   10.3,    9.6,    8.2,    8.9,    9.5,   10.2,   11.2,   11.1,   12.0,   13.6,   12.9,   35.2,   26.7,   30.9,   36.7,  129.5
